,timestamp_est,anonymous_id,language,question,detected_lang,cluster
1354,2020-03-22 13:33:58.798,1fc3566f-0b50-4b55-a2a6-8448e5fb5d15,en,How long does it stays on fabric,en,unclassified
1359,2020-03-22 13:27:59.058,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,which hospital takes the test for covid 19?,en,personal-testing
1360,2020-03-22 13:27:59.026,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,what treatments are available for covid-19?,en,covid-med
1367,2020-03-22 14:10:00.963,cb1fe817-b86b-4456-a3c5-2b517d983a67,es,It would possible to predict the time of this pandemic?,en,unclassified
1371,2020-03-22 13:27:58.964,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,how can I prevent to get infected?,en,personal-caution
1372,2020-03-22 16:49:42.339,d31625ef-010c-4926-b525-2e5ac23e63ec,en,How did this virus transmit?,en,covid-transmission
1375,2020-03-22 14:09:57.697,22e81fdf-1dd6-4f10-8072-281d0ca95d9b,en,What are the symptoms of COVID-19?,en,covid-symptoms
1376,2020-03-22 15:26:31.691,aa35e684-97f8-4569-bfe9-e87ee2e051e3,en,Do I need to be seen by a doctor,en,unclassified
1377,2020-03-22 16:26:57.21,f3d5f561-cf45-4a01-8aa7-aa77bf1f4619,en,Can we be contagious when we don't show symptoms?,en,covid-symptoms
1378,2020-03-22 13:27:59.066,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,does wearing mask protect me from covid 19?,en,personal-caution
1380,2020-03-22 13:30:48.1,93f115a2-f4eb-4faa-8f26-f56266065753,en,"What are the demographics of people infected, hospitalized and deceased in Quebec, ",en,covid-infection
1383,2020-03-22 13:40:18.822,7214a2c5-724d-4dcd-ac85-a78cd2d2fd46,en,Should I stay quarantined?,en,unclassified
1385,2020-03-22 13:27:59.024,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,"I feel I have fever, what should I do?",en,personal-symptoms
1386,2020-03-22 15:51:20.08,75667228-564b-46ff-86f7-82ba4efd6a0c,en,My  father is 80 years and food is delivered to him daily. Can food containers and food itself be contaminated by COVID,en,covid-life
1387,2020-03-22 14:09:57.973,22e81fdf-1dd6-4f10-8072-281d0ca95d9b,en,If someone survived COVID-19? Is he completely virus-free?,en,covid-life
1388,2020-03-22 13:27:58.982,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,what should I do if I think I have covid-19,en,personal-symptoms
1389,2020-03-22 14:09:57.944,22e81fdf-1dd6-4f10-8072-281d0ca95d9b,en,What is the meaning of COVID-19?,en,covid-what
1390,2020-03-22 13:27:58.944,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,what are corona virus symptoms?,en,covid-symptoms
1391,2020-03-22 16:51:20.359,154e1ba8-189a-4c64-adc3-cf76794d72fd,en,How it works?,en,unclassified
1393,2020-03-22 16:51:20.344,154e1ba8-189a-4c64-adc3-cf76794d72fd,en,Covid19,en,unclassified
1395,2020-03-22 13:00:55.382,162ca7e2-dcfc-4f8b-9144-a2e80699e6b4,fr,what is the death rate of the new corona virus,en,situation-stats
1398,2020-03-22 14:22:27.317,295c6bb4-9ed3-47d6-b405-5013ae0bae97,en,What are the symptoms ?,en,covid-symptoms
1400,2020-03-22 15:56:03.752,1cbbe05b-737e-4eba-ba3b-b11e565a27cb,en,Is the virus manufactured or naturally occurring? ,en,unclassified
1401,2020-03-22 12:26:33.138,db9e429b-7f6b-43f9-b611-a4bc709731c0,en,What is Covid19,en,covid-what
1404,2020-03-22 13:38:44.851,d8884f31-8b7d-43c8-b44e-c5f3ede233b9,en,Will herd immunity be the only means of eradicating COVID-19?,en,unclassified
1405,2020-03-22 15:58:31.863,2ecc0783-d1bf-44bd-a4ac-21821480e9b5,en,Define covid 18,en,unclassified
1408,2020-03-22 13:41:43.835,283caf34-28a4-40d1-8e39-344b1843cd33,en,How long does it take until a carrier of the virus can infect others?,en,unclassified
1409,2020-03-22 16:25:20.139,2423d5fd-2167-49da-8720-84f643754148,en,What is the death rate in South Carolina?,en,situation-stats
1415,2020-03-22 15:11:55.129,240da2c0-b4a2-462d-af36-25e114d89d45,en,How is it transmitted?,en,covid-transmission
1419,2020-03-22 12:17:29.972,8c996f47-0a26-4c87-a1d0-7591b30d016f,en,What is the total number of deaths ,en,situation-stats
1424,2020-03-22 15:40:23.555,dcc33a42-d9fc-4e7b-832e-406610f147a5,en,Is itchy throat sign of covid 19,en,unclassified
1426,2020-03-22 13:59:40.349,44e53980-fe10-4d87-98ae-a7c7873e1edf,en,"How long could the virus stay alive on doorknobs, traffic signal buttons, stair rails?",en,covid-life
1427,2020-03-22 13:30:48.102,93f115a2-f4eb-4faa-8f26-f56266065753,en,What are the most common symptoms in COViD-19,en,covid-symptoms
1429,2020-03-22 13:27:59.057,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,how many people tested?,en,situation-stats
1436,2020-03-22 15:15:16.401,e90e8f0c-f73b-4fe1-9fcb-bed2f01dacb1,ro,WHat is your name,en,unclassified
1441,2020-03-22 13:38:44.858,d8884f31-8b7d-43c8-b44e-c5f3ede233b9,en,Were there documented cases before January 2020?,en,situation-stats
1445,2020-03-22 17:42:01.896,c3299fdb-9b86-4066-9308-e3cc414fd1ca,en,how to know if i have corona,en,personal-symptoms
1453,2020-03-22 13:27:59.052,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,how many people died in canada?,en,situation-stats
1454,2020-03-22 15:54:40.645,040d1404-0a1f-45e0-b4b7-0bc213f66341,en,what is covid-19?what is covid-19?,en,covid-what
1458,2020-03-22 13:56:40.491,bc039a59-1c31-4da8-9ff2-42ae02335ec8,en,I do not have a fever but I have a cough and it all suddenly started after a day of chest pain. Do I have covid-19?,en,personal-symptoms
1461,2020-03-22 13:41:43.852,283caf34-28a4-40d1-8e39-344b1843cd33,en,What are effective immunity boosters?,en,unclassified
1462,2020-03-22 14:09:57.753,22e81fdf-1dd6-4f10-8072-281d0ca95d9b,en,What is the origin of COVID-19?,en,covid-what
1472,2020-03-22 14:09:57.957,22e81fdf-1dd6-4f10-8072-281d0ca95d9b,en,What are the treatments of COVID-19?,en,covid-med
1473,2020-03-22 13:56:42.626,b4f456a3-243b-4ba6-b09b-ba1f0a7599f3,en,What are the symptoms of covid19,en,covid-symptoms
1475,2020-03-22 13:38:45.008,d8884f31-8b7d-43c8-b44e-c5f3ede233b9,en,Will the largest commercial suppliers in the country be urged to provide necessities for each household for delivery? We have Sobey’s Loblaw Amazon Walmart and Intelcom who do this today but in an unconcerted way. ,en,covid-life
1476,2020-03-22 13:41:44.34,283caf34-28a4-40d1-8e39-344b1843cd33,en,Are masks efficient to prevent the one wearing from getting infected? What about infecting others?,en,personal-caution
1477,2020-03-22 14:54:11.827,33af74cd-368a-4dda-ae2c-c953585dc165,en,What if i got fever,en,personal-whatif
1481,2020-03-22 12:25:12.833,56d0db1e-e0bd-431f-bef5-42cd82d1fe2a,es,What is covid 29,en,covid-what
1482,2020-03-22 15:56:03.709,1cbbe05b-737e-4eba-ba3b-b11e565a27cb,en,How many people have it in my town?,en,situation-stats
1483,2020-03-22 13:27:59.034,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,what is canada quarantine policy?,en,unclassified
1487,2020-03-22 13:08:22.345,dc44373e-a58b-452c-a0af-5a6cd4d18442,en,Should I be moving house during a pandemic?,en,unclassified
1489,2020-03-22 13:33:58.8,1fc3566f-0b50-4b55-a2a6-8448e5fb5d15,en,How long will I be sick if I get the virus,en,personal-whatif
1490,2020-03-22 15:32:22.805,cdb73897-3211-4fca-9946-91ba51af1738,en,How long does it last once infected ?,en,covid-infection
1491,2020-03-22 16:15:14.315,ff98d901-ca76-477f-9b6f-fccacd3ed7d9,zh,Should I wear mask,en,covid-fight
1492,2020-03-22 13:20:11.758,f7d3845d-078d-4e97-928c-fbd7a3b508c8,en,Is covid-19 airborne?,en,covid-transmission
1496,2020-03-22 16:51:41.306,a5546d97-3b5c-42d3-b206-249e0847fc42,en,"How will Quebec make test centres accessible to people who cannot drive, and are not allowed to take public transport or taxis?",en,personal-testing
1497,2020-03-22 14:01:47.534,22e81fdf-1dd6-4f10-8072-281d0ca95d9b,en,what do you know about COVID-19?,en,unclassified
1501,2020-03-22 15:11:55.196,240da2c0-b4a2-462d-af36-25e114d89d45,en,How do I go grocery shopping? ,en,unclassified
1503,2020-03-22 16:18:27.883,1714860b-df06-4c07-aa5c-031b08b4f70d,en,When do symptoms like short breath shows up,en,covid-symptoms
1507,2020-03-22 13:27:58.936,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,what are covid 19 symptoms?,en,covid-symptoms
1509,2020-03-22 13:27:58.974,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,what is self monitoring?,en,unclassified
1511,2020-03-22 13:38:45.006,d8884f31-8b7d-43c8-b44e-c5f3ede233b9,en,If a shelter in place order comes in and a person in place is not a resident but lives in another municipality of the same province can they be provided provisions should rationing begin?,en,covid-life
1512,2020-03-22 16:50:40.774,9552da69-8edc-4a5c-b643-c03b5b8c26fe,en,What are the symptoms ?,en,covid-symptoms
1513,2020-03-22 14:09:57.981,22e81fdf-1dd6-4f10-8072-281d0ca95d9b,en,Will I die if I have COVID-19?,en,personal-symptoms
1516,2020-03-22 13:35:20.909,a0c4ed51-7464-449b-bdca-6186b9a1bff6,en,I feel lonely from isolation.,en,personal-isolation
1521,2020-03-22 16:55:09.281,9ab06c55-9cde-4653-ac4b-923f425adaf0,en,what are the symptoms of COVID-19?,en,covid-symptoms
1522,2020-03-22 12:53:15.715,e84cb4b5-9e76-41f5-8c2a-04c6413dd1fd,fr,Does Quebec Health Public System have the capacity to fight this COVID-19 outbreak ?,en,covid-symptoms
1523,2020-03-22 13:27:59.042,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,how to prepare for spread of covid 19?,en,covid-transmission
1525,2020-03-22 12:10:58.39,590dfeb1-319c-4489-b97e-f4ab3c88a171,en,I have cold for couple of weeks. Have cough over night and regular mucous during day and night. Feel a bit hot but not fever that can be feel. Sometimes ear pain for infection. Some times get stressed on having corona. Does any of these symptoms suggest that? I have quarantined myself for over 10 days  ,en,personal-symptoms
1530,2020-03-22 15:04:47.462,658119eb-3ad7-4b89-bbe7-2335adca37c3,en,"Given that the mild symptoms for COVID-19 may resemble the common cold, at what point in the expression of symptoms should you attempt to get tested for the virus?",en,personal-testing
1531,2020-03-22 13:27:59.012,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,how is corona virus diagnosed?,en,unclassified
1532,2020-03-22 15:26:31.763,aa35e684-97f8-4569-bfe9-e87ee2e051e3,en,Do I need to be quarantined from my family in my home,en,unclassified
1536,2020-03-22 14:14:56.905,d716b8f5-2e2c-491b-9bb5-5814818226c1,en,When will Canada be on quarantine?,en,unclassified
1537,2020-03-22 13:52:52.016,85dc72f9-855b-4401-9f4f-5e95795c2d01,en,What is corona,en,covid-what
1538,2020-03-22 16:18:27.883,1714860b-df06-4c07-aa5c-031b08b4f70d,en,Is fever the main symptom for vivid-19,en,covid-symptoms
1539,2020-03-22 13:38:45.083,d8884f31-8b7d-43c8-b44e-c5f3ede233b9,en,When will the municipalities post heat maps to identify hot spots for Covid positive residents?,en,personal-whatif
1544,2020-03-22 13:44:57.275,785eb07c-1ce2-41db-8462-d593fa321feb,en,How do I know if I have Covid-19,en,personal-symptoms
1545,2020-03-22 13:27:59.037,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,should I worry about covid 19?,en,unclassified
1546,2020-03-22 12:52:26.493,e84cb4b5-9e76-41f5-8c2a-04c6413dd1fd,fr,What is coronavirus ?,en,covid-what
1547,2020-03-22 14:58:02.578,e4032e9d-54a0-4074-b1ed-5998736dab15,en,What are the first symptoms ,en,covid-symptoms
1552,2020-03-22 16:09:27.229,7b3dc9a1-a6aa-468a-bd30-c392438e0c17,en,How long does it takes to get first symptom of Covid-19 ,en,covid-symptoms
1561,2020-03-22 13:27:59.069,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,when covid 19 is going to stop?,en,unclassified
1563,2020-03-22 14:09:57.951,22e81fdf-1dd6-4f10-8072-281d0ca95d9b,en,What is the nearest hospital to go to if I have a COVID-19?,en,personal-symptoms
1564,2020-03-22 15:45:28.887,8f58eee6-91a0-4456-bf3e-e7bc55e70281,en,What’s COVID-19?,en,covid-what
1567,2020-03-22 13:27:59.007,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,Is there a vaccine for corona virus?,en,covid-med
1571,2020-03-22 13:10:45.373,b35c0693-be4e-4f13-ad1b-d714c6994918,en,Will there be any changes in PGWP?,en,unclassified
1572,2020-03-22 13:27:58.921,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,should I wear a mask?,en,covid-fight
1574,2020-03-22 14:09:57.981,22e81fdf-1dd6-4f10-8072-281d0ca95d9b,en,What should I eat or drink to avoid or to battle COVID-19?,en,covid-what
1575,2020-03-22 13:37:30.469,39eeb6fe-9cbd-4ab4-9c1c-e78a60c138f1,en,Symptoms,en,covid-symptoms
1576,2020-03-22 14:51:49.196,9943a63e-5fbb-4bfb-bcbf-a1ea626cddde,en,What are the symptoms of vivid 19?,en,covid-symptoms
1578,2020-03-22 15:11:55.196,240da2c0-b4a2-462d-af36-25e114d89d45,en,Do I need to wear a mask? I heard it’s worse if you touch your face,en,covid-fight
1579,2020-03-22 13:24:48.173,f1bef181-40fb-46f7-97dd-1ccb61052e16,en,"If my son if suppose to get tested tomorrow, but just starting to feel better. Can I cancel or should we still go?",en,personal-whatif
1581,2020-03-22 17:15:05.887,81462647-ac3c-4d40-8efa-e58aaeea78f5,en,What is Covid 19,en,covid-what
1582,2020-03-22 12:19:41.323,903c4ed7-a05b-4746-97fe-7c8dbb5f3343,en,How dangerous is it for me?,en,covid-contagious
1584,2020-03-22 14:51:49.214,9943a63e-5fbb-4bfb-bcbf-a1ea626cddde,en,Should I not touch my mail?,en,unclassified
1585,2020-03-22 14:09:57.984,22e81fdf-1dd6-4f10-8072-281d0ca95d9b,en,How to protect my family from COVID-19?,en,personal-caution
1586,2020-03-22 13:27:58.888,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,What is corona virus?,en,covid-what
1595,2020-03-22 15:56:03.731,1cbbe05b-737e-4eba-ba3b-b11e565a27cb,en,How many days can you be contagious without showing symptoms?,en,covid-symptoms
1596,2020-03-22 15:29:50.712,3ef439a6-e430-4034-9aae-e2f33edd633d,nl,What are you symtoms of covid? ,en,covid-symptoms
1598,2020-03-22 16:12:16.882,e121f604-2c4f-4ebd-be26-914a7b2d2a1a,en,How should I keep my family safe during covid-19?,en,personal-caution
1602,2020-03-22 12:27:23.747,9a0457ab-5aaa-4114-a7d1-e2151a4cb72d,en,What is virus?,en,unclassified
1603,2020-03-22 13:30:48.092,93f115a2-f4eb-4faa-8f26-f56266065753,en,What are the essential services? ,en,unclassified
1605,2020-03-22 14:59:26.286,4f0491c9-bcc3-4ac2-ab92-fff2349511ed,en,Why is Trudeau asleep?,en,unclassified
1610,2020-03-22 15:54:40.636,040d1404-0a1f-45e0-b4b7-0bc213f66341,en,what is covid-19 ?,en,covid-what
1613,2020-03-22 15:45:28.898,8f58eee6-91a0-4456-bf3e-e7bc55e70281,en,How can I get tested ?,en,personal-testing
1616,2020-03-22 15:03:24.233,2e1e637d-fdaa-49be-84df-9bee02ba6abb,en,what are the risks for someone aged 65?,en,covid-contagious
1617,2020-03-22 12:35:43.784,95b4de1f-3df5-4e20-a0da-1e1993a7bb77,en,how many people die for cover?,en,situation-stats
1619,2020-03-22 14:59:26.108,4f0491c9-bcc3-4ac2-ab92-fff2349511ed,en,How many young adults are being hospitalised? Like in percentage?,en,unclassified
1620,2020-03-22 13:59:40.335,44e53980-fe10-4d87-98ae-a7c7873e1edf,en,How long does the virus stay in paper money and coins?,en,covid-life
1621,2020-03-22 16:30:06.701,7c8825a7-ca29-4a23-b453-9f6f6f1f64d1,en,what is covid 19,en,covid-what
1627,2020-03-22 13:30:51.926,e2d240a6-18c7-4cf1-98b1-e9345426b593,en,What are the symptoms of corona virus,en,covid-symptoms
1628,2020-03-22 13:33:58.827,1fc3566f-0b50-4b55-a2a6-8448e5fb5d15,en,"If I cross someone on the street, how are the chance to catch the virus ?",en,personal-whatif
1630,2020-03-22 13:20:18.214,34485090-7397-4a7f-8580-65c6e45f00fb,en,what the name of the virus,en,unclassified
1631,2020-03-22 16:13:17.334,39732da4-4dbc-4f38-9fa9-bfb374fb963f,en,Wich are Covid-19 synthoms?,en,covid-symptoms
1633,2020-03-22 14:22:27.327,295c6bb4-9ed3-47d6-b405-5013ae0bae97,en,What should I do if i think that i'm infected ?,en,personal-whatif
1635,2020-03-22 13:11:45.491,58b49517-abdc-4c17-9398-0359753a23ec,ko,South korea,en,unclassified
1639,2020-03-22 14:47:26.536,615a052a-e878-419f-86a8-8a2d0e1c233f,en,How does COVID-19 affect lungs? And how do you see this pandemic will impact the world's economy?,en,unclassified
1641,2020-03-22 12:39:14.011,49657b82-3317-4a8a-bf4c-acc87f55aea5,en,How are you,en,unclassified
1645,2020-03-22 13:55:41.206,a14cbbab-e5ab-4fa0-a9b2-8cf0f42f9499,en,How are you?,en,unclassified
1646,2020-03-22 12:10:11.219,52b38c2c-aded-40d7-bbe0-e0fe883000b2,en,what are covid symptoms,en,covid-symptoms
1654,2020-03-22 14:22:10.804,41193338-3d30-48c7-8559-7f0d9a51a63e,vi,how many people positive with Covid-19 in the world?,en,situation-stats
1657,2020-03-22 12:19:41.324,903c4ed7-a05b-4746-97fe-7c8dbb5f3343,en,How fast does it spread?,en,covid-transmission
1658,2020-03-22 12:48:15.756,0ba1e485-4ea9-47d8-9f76-ee9ed31e920d,en,what is canada's situation right now?,en,unclassified
1659,2020-03-22 16:26:19.007,3935f50d-604f-45b2-a14b-23eda2c556a6,en,When will be done?,en,situation-future
1661,2020-03-22 13:27:58.992,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,Is there any treatment for covid 19?,en,covid-med
1662,2020-03-22 16:34:39.551,4b388591-5ea5-401f-b387-9a4e6be70a91,pt,Does the virus spread by rain?,en,covid-transmission
1667,2020-03-22 12:37:53.136,823b1c91-8d2a-44a2-9b40-2e904ecdc542,en,Is ACE Inhibitor harmful ,en,unclassified
1672,2020-03-22 14:09:57.743,22e81fdf-1dd6-4f10-8072-281d0ca95d9b,en,What do I do if someone with COVID-19 spotted?,en,personal-whatif
1673,2020-03-22 13:38:44.933,d8884f31-8b7d-43c8-b44e-c5f3ede233b9,en,If I inhale a high concentration of soap bubbles would that kill the virus on contact in my lungs?,en,personal-whatif
1675,2020-03-22 16:33:37.798,4899e034-c079-4885-b492-e5079780136e,en,When will the drug for CoViD 19 be ready? ,en,unclassified
1679,2020-03-22 13:51:27.568,71f3db97-87c3-4d0d-8343-e15053ec3b65,en,covid symptoms,en,covid-symptoms
1685,2020-03-22 12:18:33.806,af8daa2f-2609-4f7a-b0e4-0ea610116216,en,Why corona is so dangerous ,en,covid-contagious
1690,2020-03-22 16:26:57.206,f3d5f561-cf45-4a01-8aa7-aa77bf1f4619,en,How long will we have to stay inside?,en,unclassified
1693,2020-03-22 16:49:03.76,d31625ef-010c-4926-b525-2e5ac23e63ec,en,When will this end,en,situation-future
1696,2020-03-22 13:08:22.321,dc44373e-a58b-452c-a0af-5a6cd4d18442,en,Can my cat get the virus?,en,covid-animals
1698,2020-03-22 13:38:45.084,d8884f31-8b7d-43c8-b44e-c5f3ede233b9,en,Will people on LTD (Long Term Disability) drill receive their payments?,en,unclassified
1699,2020-03-22 14:09:57.952,22e81fdf-1dd6-4f10-8072-281d0ca95d9b,en,What is COVID-19 test?,en,personal-testing
1700,2020-03-22 16:13:17.333,39732da4-4dbc-4f38-9fa9-bfb374fb963f,en,How do I know if my chest is hurt because lung damage or another cause?,en,personal-whatif
1701,2020-03-22 13:59:40.318,44e53980-fe10-4d87-98ae-a7c7873e1edf,en,"I am a 62-year-old female currently in excellent health. I have had a history of chronic bronchitis and pneumonia, but it’s been over a decade since my last issue. I have two adult children who may have to move back home. How do I protect myself against what they my bring home?",en,personal-caution
1703,2020-03-22 16:50:40.798,9552da69-8edc-4a5c-b643-c03b5b8c26fe,en,How is it going to last ?,en,unclassified
1708,2020-03-22 18:29:19.484,72a4386d-442e-4d58-b2aa-87a8728c8d04,en,How to differentiate between coronavirus and simple flu?,en,personal-whatif
1710,2020-03-22 19:06:03.097,a245370e-481d-439b-ad2b-d5d10262c63e,en,What is covid-19?,en,covid-what
1713,2020-03-22 23:40:40.015,f23b8417-8435-4e7f-a675-af511d9fd996,en,"Let's say I go for a walk and I wear the same leggings a few times before washing them, can clothing potentially pass on the virus?  ",en,situation-lockdown
1714,2020-03-22 23:14:24.72,96874ddc-b0a3-4b88-81da-660395818439,en,What is the longest known asymptomatic incubation period?,en,covid-incubation
1716,2020-03-22 18:33:11.646,39852222-a723-45a3-9306-9233354e633c,en,Is sore throat a symptom?,en,covid-symptoms
1717,2020-03-22 17:44:00.353,8a39efd4-58d4-4c8f-a13b-a5c61dc0c151,en,Does covid-19 spread in warm weather?,en,covid-transmission
1718,2020-03-22 21:50:44,db15e1ea-346b-41f2-ad01-26a449e1a49e,en,How long is COVID-19 staying on surfaces?,en,covid-life
1721,2020-03-22 18:41:36.362,cee73333-a003-47bb-8007-e29c33445947,en,What the different between corona and COVID_19?,en,personal-whatif
1726,2020-03-22 23:04:43.293,a9d6676a-7c95-480f-993a-b69152436c48,en,"I am currently in Montreal (Quebec), however I have a health card from another province. Will I get free medical help with OHIP card?",en,covid-med
1728,2020-03-22 17:14:34.394,81462647-ac3c-4d40-8efa-e58aaeea78f5,en,What are the symptoms,en,covid-symptoms
1731,2020-03-22 19:39:22.856,b0be5180-0e5f-473f-86f5-d8144876b1ae,en,Do I have to ask a sclerotic question about traveling or something to get an answer ,en,personal-symptoms
1732,2020-03-22 18:17:03.578,69fce199-cc33-43ab-ae18-363671aec6df,en,Do I have covid?,en,personal-symptoms
1740,2020-03-22 20:25:08.443,3c90028c-0687-4e48-96d6-40cfdbcb5cbe,en,Would I get Corona ,en,unclassified
1743,2020-03-22 21:15:02.508,9a4d12a5-a1f1-410a-8870-a875a5e0b251,en,Do I have to wear a mask all the time if I am not infected?,en,covid-fight
1745,2020-03-22 18:38:09.464,352ad638-846c-430b-97b8-83a92a3264dd,en,how many cases are there in Washington state,en,situation-stats
1747,2020-03-22 23:14:24.727,96874ddc-b0a3-4b88-81da-660395818439,en,How does COVID-19 kill its victims?,en,unclassified
1748,2020-03-23 01:48:29.367,51ce5bab-7e28-4a02-b2c9-6c56f068a9d2,fr,Symptômes??,en,covid-symptoms
1754,2020-03-22 19:39:22.856,b0be5180-0e5f-473f-86f5-d8144876b1ae,en,In the air?,en,unclassified
1755,2020-03-23 00:36:47.769,dc2db1f5-b33d-452f-b567-58d12d00c152,en,What are the top symptoms ,en,covid-symptoms
1756,2020-03-23 00:36:47.759,dc2db1f5-b33d-452f-b567-58d12d00c152,en,What are the top,en,unclassified
1757,2020-03-22 21:56:33.475,f753f60e-53cf-4e33-8acb-f024257b093f,en,How many cases of Covid 19 are declared in Quebec as of today?,en,situation-stats
1758,2020-03-22 17:41:40.859,22029677-d6ef-42f1-bb73-96da675b9624,en,What is the first symptom of the virus?,en,covid-symptoms
1761,2020-03-22 20:36:01.535,36d0a626-9e6a-448d-ab35-3997a6393094,en,what is covid-2019,en,covid-what
1767,2020-03-22 19:53:39.741,9410efa1-ed15-44ed-a9c9-314a8eaf641e,en,when is this pandemic going to end?,en,unclassified
1769,2020-03-22 20:03:53.192,28914ffd-2639-472a-828a-6352da947b8f,fr,Have there been any deceased children so far?,en,unclassified
1772,2020-03-22 22:41:07.611,cc8d9a63-3ef9-468b-a011-d14d5d227676,en,Where can we find ventilator?,en,unclassified
1773,2020-03-22 20:35:21.956,10bd6bb9-f50f-4d65-943a-5b1de75be3df,en,"Do we have this virus, past and future viruses, in a big part because of 5G, the upgraded satellites we now have in space which are causing too much electricity in our bodies, per Dr. Thomas Cowan, M.D.?",en,unclassified
1780,2020-03-22 19:32:08.015,98c7dd99-ea3b-44e5-8804-3dda91c53982,en,What is COVID-1,en,covid-what
1781,2020-03-22 18:46:09.767,78f60672-d37b-4259-9082-168abb98a851,en,What are the sympthoms of covid-19?,en,covid-symptoms
1783,2020-03-22 22:38:48.689,7825a83d-5731-44be-acd7-1df1abaf9823,en,Can dogs transfer the virus?,en,covid-animals
1786,2020-03-22 23:04:43.41,a9d6676a-7c95-480f-993a-b69152436c48,en,I recently relocated to Quebec. Can I request RAMQ card with visiting the RAMQ office?,en,unclassified
1791,2020-03-22 20:48:42.624,b66ae773-a18d-4129-ab8c-6e90e00f4a65,en,"How long the sickens last, m",en,unclassified
1792,2020-03-22 17:14:34.37,81462647-ac3c-4d40-8efa-e58aaeea78f5,en,Am I infected,en,covid-infection
1793,2020-03-22 19:29:26.695,e479e81f-506d-488f-bbfa-c1e7ce998ac5,en,Are all soaps effective when washing hands for 20 seconds?,en,unclassified
1795,2020-03-22 22:41:21.623,0a6a5e0d-173b-4e6d-af43-63ffae0ae849,en,What are symptoms ,en,covid-symptoms
1798,2020-03-22 18:25:40.178,0de5bb28-0dea-48ea-9179-4f6f724d6525,en,i have some headeche,en,personal-symptoms
1799,2020-03-22 17:41:40.859,22029677-d6ef-42f1-bb73-96da675b9624,en,"I have a sore throat, could that be Covid-19?",en,personal-symptoms
1800,2020-03-22 21:46:40.909,80599841-9130-444d-9128-453781e0d680,es,What is the incubation period for COVID-19?,en,covid-incubation
1802,2020-03-22 19:02:57.04,810aa05f-3958-4dd8-82d1-2c2ad87c2114,en,how long would it take for the virus to disappear ? ,en,unclassified
1805,2020-03-22 20:23:26.285,7671d78f-dd94-43b2-adc1-7cc74066da67,en,how many people positive result with COVID-19,en,situation-stats
1807,2020-03-22 23:23:31.291,d2ae08fd-3403-48ad-8741-d808763d7561,en,how many people died so far,en,situation-stats
1811,2020-03-22 18:25:31.096,36ba28c8-f161-4fa5-91a3-73cd25e7e219,en,what is the symptoms?,en,covid-symptoms
1813,2020-03-22 20:32:47.494,9812b4f4-1aea-41e8-b382-cfd3d2a5a516,en,My son ic,en,unclassified
1815,2020-03-22 23:34:22.389,471b3700-f8b9-4447-9f0f-4b2bae67d786,en,Where can someone get tested?,en,personal-testing
1820,2020-03-22 21:56:33.462,f753f60e-53cf-4e33-8acb-f024257b093f,en,Should I stay home?,en,unclassified
1822,2020-03-22 18:26:50.639,2a82f766-4d64-49dc-bcf4-0e61c23838ea,en,Is the virus deadly?,en,situation-stats
1824,2020-03-23 00:39:44.015,83b1549c-a83e-42a9-945a-9372ecc521de,en,"If I was traveling abroad recently, what should I do when coming back home?",en,personal-whatif
1829,2020-03-22 18:29:19.479,72a4386d-442e-4d58-b2aa-87a8728c8d04,en,How do I know if I have coronavirus?,en,personal-symptoms
1831,2020-03-22 23:46:13.483,8d6b6d24-dc70-40a3-bdcb-66af83cd8916,en,What is the likelihood of having covid if only showing one symptoms for example dry cough,en,personal-whatif
1834,2020-03-22 20:44:40.589,b3923f7c-ea90-4af2-94c5-5ee8736975fd,ko,"My COVID-19 test results are pending, and my temperature reached 40C. What should I do?",en,personal-testing
1835,2020-03-22 19:29:26.702,e479e81f-506d-488f-bbfa-c1e7ce998ac5,en,"If I have symptoms and I am told to stay home, can I take Tylenol?",en,personal-symptoms
1837,2020-03-22 21:56:33.472,f753f60e-53cf-4e33-8acb-f024257b093f,en,"If I catch the virus, will I be immune from getting it again?   ",en,personal-whatif
1838,2020-03-22 19:39:22.849,b0be5180-0e5f-473f-86f5-d8144876b1ae,en,Where are you,en,unclassified
