,cluster_#0,cluster_#1,cluster_#2,cluster_#3,cluster_#4,cluster_#5,cluster_#6,cluster_#7,cluster_#8,cluster_#9,cluster_#10,cluster_#11,cluster_#12,cluster_#13,cluster_#14
193,-,Will the pandemic affect university research?,-,-,-,-,-,-,-,-,-,-,-,-,-
194,-,"If I have symptoms and I am told to stay home, can I take Tylenol?",-,-,-,-,-,-,-,-,-,-,-,-,-
195,-,Can you get the virus twice ? ,-,-,-,-,-,-,-,-,-,-,-,-,-
196,-,Can you smoke cannabis during Covid?,-,-,-,-,-,-,-,-,-,-,-,-,-
197,-,Will people on LTD (Long Term Disability) drill receive their payments?,-,-,-,-,-,-,-,-,-,-,-,-,-
198,-,Can I run outside,-,-,-,-,-,-,-,-,-,-,-,-,-
199,-,Are there any risk for the foetus? ,-,-,-,-,-,-,-,-,-,-,-,-,-
200,-,"Would it help to ensure there is a warehouse already filled with protective gear for health professionals worldwide, instead of scrambling, or ordering these last minute, and also have enough hospitals built, because if we don't do that, we'll have to do what China did and build a hospital at the last minute?",-,-,-,-,-,-,-,-,-,-,-,-,-
201,-,Can we be contagious when we don't show symptoms?,-,-,-,-,-,-,-,-,-,-,-,-,-
202,-,When will we be back to work?,-,-,-,-,-,-,-,-,-,-,-,-,-
203,-,What is self-isolation?,-,-,-,-,-,-,-,-,-,-,-,-,-
204,-,I recently relocated to Quebec. Can I request RAMQ card with visiting the RAMQ office?,-,-,-,-,-,-,-,-,-,-,-,-,-
205,-,"In this time of crisis, is it okay to feed the raccoons",-,-,-,-,-,-,-,-,-,-,-,-,-
206,-,Do I need to wash my vegetables and fruits?,-,-,-,-,-,-,-,-,-,-,-,-,-
207,-,Doeas the software is automatic in English because I use an English device? If I ask in French the answer will be in French?,-,-,-,-,-,-,-,-,-,-,-,-,-
208,-,WHat is your name,-,-,-,-,-,-,-,-,-,-,-,-,-
209,-,When will the pandemic end? ,-,-,-,-,-,-,-,-,-,-,-,-,-
210,-,What to do when i gave cough,-,-,-,-,-,-,-,-,-,-,-,-,-
211,-,How are you?,-,-,-,-,-,-,-,-,-,-,-,-,-
212,-,Number of cases in Inida,-,-,-,-,-,-,-,-,-,-,-,-,-
213,-,How did this virus transmit?,-,-,-,-,-,-,-,-,-,-,-,-,-
214,-,Is it ok to go outside to get fresh air?,-,-,-,-,-,-,-,-,-,-,-,-,-
215,-,What's happen for country near the Ecuador with a lot of hot? ,-,-,-,-,-,-,-,-,-,-,-,-,-
216,-,"On a recent study published in ""Nature"" ,it says that the severity of symptoms of COVID-19 infection depends on how much is your Angiotensin converting enzyme 2 gene is expressed ,my question is ,on what factors does the rate of ACE2 gene expression depends? I",-,-,-,-,-,-,-,-,-,-,-,-,-
217,-,"im sneezing, should i be worried?",-,-,-,-,-,-,-,-,-,-,-,-,-
218,-,Do the symptoms start suddenly or they progress slowly from one day to another? ,-,-,-,-,-,-,-,-,-,-,-,-,-
219,-,what is self isolation?,-,-,-,-,-,-,-,-,-,-,-,-,-
220,-,Do I need to be seen by a doctor,-,-,-,-,-,-,-,-,-,-,-,-,-
221,-,If I inhale a high concentration of soap bubbles would that kill the virus on contact in my lungs?,-,-,-,-,-,-,-,-,-,-,-,-,-
222,-,Can I fo,-,-,-,-,-,-,-,-,-,-,-,-,-
223,-,"What measures can I take, if someone I know is effected with the virus",-,-,-,-,-,-,-,-,-,-,-,-,-
224,-,What is your name,-,-,-,-,-,-,-,-,-,-,-,-,-
225,-,"If I catch the virus, will I be immune from getting it again?   ",-,-,-,-,-,-,-,-,-,-,-,-,-
226,-,what is my level of risk?,-,-,-,-,-,-,-,-,-,-,-,-,-
227,-,What will be th impact on international students?,-,-,-,-,-,-,-,-,-,-,-,-,-
228,-,Can I go out after recovery even if I am still in quarantine time?,-,-,-,-,-,-,-,-,-,-,-,-,-
229,-,Would using heated-vapor humidifier help with sanitizing the sinuses of the covid-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
230,-,Shall we stay where we are or travel to our home country?,-,-,-,-,-,-,-,-,-,-,-,-,-
231,-,"Why does the government think that we don't need to wear face masks when clearly citizens from countries that are able to contain the virus are all wearing face masks, regardless if they are sick or not",-,-,-,-,-,-,-,-,-,-,-,-,-
232,-,What is the situation right now in the world?,-,-,-,-,-,-,-,-,-,-,-,-,-
233,-,Define covid 18,-,-,-,-,-,-,-,-,-,-,-,-,-
234,-,What's the current count in India,-,-,-,-,-,-,-,-,-,-,-,-,-
235,-,Why didn't you answer my first question?,-,-,-,-,-,-,-,-,-,-,-,-,-
236,-,"What is the difference between a pandemic & epidemic? Why did WHO declare this a pandemic? What is the difference between social distancing, self-isolating and quarantine? To what extent is social distancing helpful? Why should I do this? When should you self-isolate? Will the virus be less effective when we get warmer weather?  When should I go to the hospital? Should I get tested if I was in contact with someone who has or is suspected of having covid19 (but do not have any symptoms)? Should I stop taking medications that suppress my immune system?  When someone in the household is coming and going (for work), how can we keep the home a safe place? Can the virus be transmitted through Air Conditioning? (from outside or from within the home) How long does the virus last on inanimate objects (plastic, glass, cardboard, metal)? What have we learned from countries like China, South Korea and Singapore that have been dealing with this for a longer period of time and have slowed the spread?",-,-,-,-,-,-,-,-,-,-,-,-,-
237,-,How do i knew if i got covid,-,-,-,-,-,-,-,-,-,-,-,-,-
238,-,Does soap really kill the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
239,-,My son is flying from Kansas to England on the 30th April. He is flying into Heathrow and then travelling home to Manchester by train,-,-,-,-,-,-,-,-,-,-,-,-,-
240,-,What do I have to expect after the disease?,-,-,-,-,-,-,-,-,-,-,-,-,-
241,-,What is an Asymptomatic Carrier?,-,-,-,-,-,-,-,-,-,-,-,-,-
242,-,"What are the daily death rates in Italy, that are Not from COVID19?",-,-,-,-,-,-,-,-,-,-,-,-,-
243,-,When should I go to the hospital ,-,-,-,-,-,-,-,-,-,-,-,-,-
244,-,Is there any medication to take to help?,-,-,-,-,-,-,-,-,-,-,-,-,-
245,-,I have a headache for the past 3 days should I be tested ? ,-,-,-,-,-,-,-,-,-,-,-,-,-
246,-,hat should I do if my 2 year old child starts having a runny nose?,-,-,-,-,-,-,-,-,-,-,-,-,-
247,-,Is it safe to go outside for a walk (social distancing from others)?,-,-,-,-,-,-,-,-,-,-,-,-,-
248,-,Which are its first symptoms?,-,-,-,-,-,-,-,-,-,-,-,-,-
249,-,What should i do if i am short of breath?,-,-,-,-,-,-,-,-,-,-,-,-,-
250,-,"If my son if suppose to get tested tomorrow, but just starting to feel better. Can I cancel or should we still go?",-,-,-,-,-,-,-,-,-,-,-,-,-
251,-,When will the municipalities post heat maps to identify hot spots for Covid positive residents?,-,-,-,-,-,-,-,-,-,-,-,-,-
252,-,Is sore throats a symptom ,-,-,-,-,-,-,-,-,-,-,-,-,-
253,-,Have there been any deceased children so far?,-,-,-,-,-,-,-,-,-,-,-,-,-
254,-,Should I use Sudafed?,-,-,-,-,-,-,-,-,-,-,-,-,-
255,-,From the infected worldwide population what is the ratio that will need medical attention (eg. ICU or ventilators)?,-,-,-,-,-,-,-,-,-,-,-,-,-
256,-,When this virus terminated?,-,-,-,-,-,-,-,-,-,-,-,-,-
257,-,Suffering from trout echiting,-,-,-,-,-,-,-,-,-,-,-,-,-
258,-,i have some headeche,-,-,-,-,-,-,-,-,-,-,-,-,-
259,-,It would possible to predict the time of this pandemic?,-,-,-,-,-,-,-,-,-,-,-,-,-
260,-,What the size,-,-,-,-,-,-,-,-,-,-,-,-,-
261,-,Is the virus deadly?,-,-,-,-,-,-,-,-,-,-,-,-,-
262,-,"If I'm in self-quarantine with mild symptoms of some sort of respiratory thing, when can I stop self-quarantining?",-,-,-,-,-,-,-,-,-,-,-,-,-
263,-,I had a bronchitis last month and I'm still having trouble with my breathing a month later but I don't have a fever. Could it be corona virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
264,-,what are the symtoms,-,-,-,-,-,-,-,-,-,-,-,-,-
265,-,Is it dangerous to go for a walk?,-,-,-,-,-,-,-,-,-,-,-,-,-
266,-,is the liquor store open?,-,-,-,-,-,-,-,-,-,-,-,-,-
267,-,Mortality rate today,-,-,-,-,-,-,-,-,-,-,-,-,-
268,-,Does washing clothes in the  washing machine prevent transmission ? ,-,-,-,-,-,-,-,-,-,-,-,-,-
269,-,When will it stop spreading? Is 2 weeks enough? ,-,-,-,-,-,-,-,-,-,-,-,-,-
270,-,How are you ,-,-,-,-,-,-,-,-,-,-,-,-,-
271,-,Sorry I het enter before I was done.. am I just being paranoid and giving myself an ulcer.. my husband has pulmonary fibrosis so I’m really worried about him ,-,-,-,-,-,-,-,-,-,-,-,-,-
272,-,Is the virus airborne ,-,-,-,-,-,-,-,-,-,-,-,-,-
273,-,"If this is really deep learning, how deep is your model😂",-,-,-,-,-,-,-,-,-,-,-,-,-
274,-,Does the amount of virus one is exposed to change the severity of the symptoms?,-,-,-,-,-,-,-,-,-,-,-,-,-
275,-,what has caused it,-,-,-,-,-,-,-,-,-,-,-,-,-
276,-,Is it transmissible through anal sex ?,-,-,-,-,-,-,-,-,-,-,-,-,-
277,-,Should I be moving house during a pandemic?,-,-,-,-,-,-,-,-,-,-,-,-,-
278,-,when will germany reach the peak?,-,-,-,-,-,-,-,-,-,-,-,-,-
279,-,Should I visit my parents in a seniors home?,-,-,-,-,-,-,-,-,-,-,-,-,-
280,-,Impacts of it,-,-,-,-,-,-,-,-,-,-,-,-,-
281,-,how can one fight the virus ,-,-,-,-,-,-,-,-,-,-,-,-,-
282,-,How many will lose their jobs due to the chinese virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
283,-,Is ordering food from a restaurant discouraged?,-,-,-,-,-,-,-,-,-,-,-,-,-
284,-,Can I still go out for grocery shopping even if I'm just getting back from vacations,-,-,-,-,-,-,-,-,-,-,-,-,-
285,-,What's the capital of Palestine?,-,-,-,-,-,-,-,-,-,-,-,-,-
286,-,What is the total number of deaths ,-,-,-,-,-,-,-,-,-,-,-,-,-
287,-,What should I buy from the stores now that I feel sick?,-,-,-,-,-,-,-,-,-,-,-,-,-
288,-,When is the vaccine available ?,-,-,-,-,-,-,-,-,-,-,-,-,-
289,-,When can I go to my cabin?,-,-,-,-,-,-,-,-,-,-,-,-,-
290,-,What is the difference between a bacteria and a virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
291,-,is it made by human or by nature,-,-,-,-,-,-,-,-,-,-,-,-,-
292,-,How does it take to recover from the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
293,-,"If I was traveling abroad recently, what should I do when coming back home?",-,-,-,-,-,-,-,-,-,-,-,-,-
294,-,"To get an idea of how widespread the virus is, why don't we simply test a random sample of people?",-,-,-,-,-,-,-,-,-,-,-,-,-
295,-,How deadly is the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
296,-,How is it transmitted?,-,-,-,-,-,-,-,-,-,-,-,-,-
297,-,How many days does it take to see the symptoms,-,-,-,-,-,-,-,-,-,-,-,-,-
298,-,What is the situation now in my country?,-,-,-,-,-,-,-,-,-,-,-,-,-
299,-,I have asthma. How at risk am I about the possibility of complications?,-,-,-,-,-,-,-,-,-,-,-,-,-
300,-,My employer is not implementing social distancing or safety measures in my workplace. What recourse do I have?,-,-,-,-,-,-,-,-,-,-,-,-,-
301,-,Can you see friends if you stick to the social distancing guidelines?,-,-,-,-,-,-,-,-,-,-,-,-,-
302,-,How much the quarantine process has a positive impact on reducing contamination spread?,-,-,-,-,-,-,-,-,-,-,-,-,-
303,-,What should you do if you dont have water and soap and sanitizer?,-,-,-,-,-,-,-,-,-,-,-,-,-
304,-,Does covid transfer through air?,-,-,-,-,-,-,-,-,-,-,-,-,-
305,-,how i can test if i have the diease?,-,-,-,-,-,-,-,-,-,-,-,-,-
306,-,Does Wearing gloves help?,-,-,-,-,-,-,-,-,-,-,-,-,-
307,-,I am feeling itchy around my body. Is it a symptom of covid? ,-,-,-,-,-,-,-,-,-,-,-,-,-
308,-,If I have diabetes am I at a higher risk? ,-,-,-,-,-,-,-,-,-,-,-,-,-
309,-,is it dangerous to travel,-,-,-,-,-,-,-,-,-,-,-,-,-
310,-,Can I move in with family if we have all been symptom free for 14 days?,-,-,-,-,-,-,-,-,-,-,-,-,-
311,-,"should I call to find out more, it’s the coughing and difficulty breathing and fatigue that worries me",-,-,-,-,-,-,-,-,-,-,-,-,-
312,-,How contagious is the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
313,-,what is this rainbow thing that people are talking about,-,-,-,-,-,-,-,-,-,-,-,-,-
314,-,could we have done better?,-,-,-,-,-,-,-,-,-,-,-,-,-
315,-,What is the death rate in South Carolina?,-,-,-,-,-,-,-,-,-,-,-,-,-
316,-,I have a sore throat. Is that a sign of Covid19?,-,-,-,-,-,-,-,-,-,-,-,-,-
317,-,Is it safe to take a walk outside with my child?,-,-,-,-,-,-,-,-,-,-,-,-,-
318,-,What is the likelihood of having covid if only showing one symptoms for example dry cough,-,-,-,-,-,-,-,-,-,-,-,-,-
319,-,Can I get Ovid 19 if someone pets my dog and then I pet her? ,-,-,-,-,-,-,-,-,-,-,-,-,-
320,-,How to stay safe,-,-,-,-,-,-,-,-,-,-,-,-,-
321,-,how painful will it be if I got the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
322,-,Should I stay home?,-,-,-,-,-,-,-,-,-,-,-,-,-
323,-,How can I protect myself ,-,-,-,-,-,-,-,-,-,-,-,-,-
324,-,Does eating Oranges daily help to fight this virus,-,-,-,-,-,-,-,-,-,-,-,-,-
325,-,If you start showing flu symptoms should you consult a doctor or stay home?,-,-,-,-,-,-,-,-,-,-,-,-,-
326,-,What are the top symptoms ,-,-,-,-,-,-,-,-,-,-,-,-,-
327,-,"If I cross someone on the street, how are the chance to catch the virus ?",-,-,-,-,-,-,-,-,-,-,-,-,-
