,timestamp_est,anonymous_id,language,question,detected_lang,text,statistics,open,airborne,caution,viruslife,viruskill,virusfight,treatment,incubation,nextsteps,hospital,lockdown,infection,test,isolation,dangerisk,transmission,symptom,about,future,past,total,cluster
944,2020-03-22T11:14:44.101Z,db73fd7b-ca2f-4183-956f-b949e5ba4266,en,"I am having difficulty of breathing, do I have coronavirus",en,I am having difficulty of breathing do I have coronavirus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,nextsteps
948,2020-03-22T12:02:10.779Z,2e417d41-ac22-4577-8923-c62a7efbcccb,en,How’s the condition in Singapore ?,en,How s the condition in Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
949,2020-03-22T09:45:32.888Z,93e77e53-231e-452a-888f-19fe67b711a8,en,Who can I make the difference between a cold and covid19?,en,Who can I make the difference between a cold and covid19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
950,2020-03-22T10:48:17.475Z,369aaaf4-82db-4e01-85dd-da912c45fa1f,en,When will life get back to normal?,en,When will life get back to normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
951,2020-03-22T11:44:02.868Z,f20aad66-6a33-4b9e-a153-a3e7dc6c3e26,en,How many cases of coronavirus in Madagascar,en,How many cases of coronavirus in Madagascar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,statistics
954,2020-03-22T11:00:44.52Z,69117396-cbe3-4744-ac56-14564fd84194,en,How can I protect myself?,en,How can I protect myself,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,caution
957,2020-03-22T11:00:44.526Z,69117396-cbe3-4744-ac56-14564fd84194,en,How long does it take to recover?,en,How long does it take to recover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
958,2020-03-22T10:48:17.478Z,369aaaf4-82db-4e01-85dd-da912c45fa1f,en,I have cough. Does that mean I might be infected?,en,I have cough Does that mean I might be infected,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,infection
961,2020-03-22T05:21:43.544Z,81d81a03-ec7a-4f12-98b6-a1d0bbb179e5,es,What is COVID-19?,en,What is COVID 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,about
962,2020-03-22T11:50:40.118Z,710e23d7-7a6a-42ed-bd1b-526db8c8c2f8,en,Who are you,en,Who are you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
963,2020-03-22T09:19:12.019Z,9652758a-fdec-4d0e-9df3-7afb387acfda,en,Is the virus infectious during incubation period?,en,Is the virus infectious during incubation period,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,incubation
964,2020-03-22T09:41:14.777Z,a6b15f80-e21f-4c35-8743-deb4d193deb7,fr,Can I infect someone if I don't have symptoms?,en,Can I infect someone if I don t have symptoms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
965,2020-03-22T02:08:31.294Z,7a39c38d-c315-4a22-9563-c4e98a653ac9,fr,Does taking high doses of vitamin C and D help fighting the disease? As an immune system booster! Is there any study on that?,en,Does taking high doses of vitamin C and D help fighting the disease As an immune system booster Is there any study on that,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
969,2020-03-22T08:24:01.735Z,e1467c89-10ef-4ce1-9351-378287cf2c89,en,symptoms of covid-19,en,symptoms of covid 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
971,2020-03-22T09:11:51.093Z,57ee50ff-753d-4130-868c-032e16fa526d,en,Can I run outside,en,Can I run outside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
972,2020-03-22T06:09:09.79Z,cdd8ce59-c8fd-46f5-96bb-ead47dce4abc,vi,Which country infected ? ,en,Which country infected,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,infection
974,2020-03-22T11:50:40.141Z,710e23d7-7a6a-42ed-bd1b-526db8c8c2f8,en,What is the situation now in my country?,en,What is the situation now in my country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
977,2020-03-22T06:27:08.013Z,6a11a88c-f506-4824-89e5-a49aaeb434d7,en,What is the main symptoms of the disease related to new coronavirus,en,What is the main symptoms of the disease related to new coronavirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,about
979,2020-03-22T09:58:47.638Z,af684ff8-b8d1-467b-a434-1bce1ca2b463,en,How  Can I get answer for my questions??,en,How Can I get answer for my questions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
980,2020-03-22T11:12:37.412Z,61c83b3d-a930-47dc-ab83-5118cee03b84,en,"To get an idea of how widespread the virus is, why don't we simply test a random sample of people?",en,To get an idea of how widespread the virus is why don t we simply test a random sample of people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,transmission
983,2020-03-22T12:04:09.963Z,bbca283a-dbd7-462e-894f-ccc311231e12,en,My employer is not implementing social distancing or safety measures in my workplace. What recourse do I have?,en,My employer is not implementing social distancing or safety measures in my workplace What recourse do I have,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,isolation
986,2020-03-22T11:24:07.614Z,7977f4b9-e495-45f7-a5ca-841359f618ac,es,What's covid19?,en,What s covid19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,about
987,2020-03-22T09:53:10.147Z,4508c214-cc94-4d85-9e93-ac1c77bac593,en,What should I use to disinfect grocery bags and grocery items? ,en,What should I use to disinfect grocery bags and grocery items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
990,2020-03-22T11:12:23.92Z,db73fd7b-ca2f-4183-956f-b949e5ba4266,en,"I have a fever, what should I do now?",en,I have a fever what should I do now,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,nextsteps
991,2020-03-22T06:05:35.159Z,f82b7385-b640-4e24-ad47-47188da99a82,vi,Which country infected ? ,en,Which country infected,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,infection
993,2020-03-22T11:14:44.094Z,db73fd7b-ca2f-4183-956f-b949e5ba4266,en,How many days does it take to see the symptoms,en,How many days does it take to see the symptoms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
995,2020-03-22T12:35:43.792Z,95b4de1f-3df5-4e20-a0da-1e1993a7bb77,en,how many people died?,en,how many people died,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,statistics
999,2020-03-22T11:56:15.742Z,02909506-2fad-4062-bce6-cb73b87115a9,en,What is the advice surrounding outdoor exercise/sport?,en,What is the advice surrounding outdoor exercise sport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1000,2020-03-22T11:50:40.136Z,710e23d7-7a6a-42ed-bd1b-526db8c8c2f8,en,Who should I call to get help?,en,Who should I call to get help,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1003,2020-03-22T08:24:51.473Z,e1467c89-10ef-4ce1-9351-378287cf2c89,en,treatment for covid 19,en,treatment for covid 19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,treatment
1004,2020-03-22T09:05:28.723Z,ae5ee9d3-6830-4a23-9b6f-da44fcfcafd9,en,List of Canadian hospitals treating (not testing) patients with COVID-19?,en,List of Canadian hospitals treating not testing patients with COVID 19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,test
1007,2020-03-22T11:38:18.234Z,f909e2a0-26a0-43af-8fa3-ab3a1b32cd00,en,What are the symptoms,en,What are the symptoms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
1011,2020-03-22T06:54:58.146Z,8228b488-6ce7-4bcc-935f-e1a8f3ca480b,en,What to do when i gave cough,en,What to do when i gave cough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1013,2020-03-22T09:20:34.283Z,5c7817ec-a9dc-4bf4-af68-c88c3ab4cf67,en,Can you smoke cannabis during Covid?,en,Can you smoke cannabis during Covid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1014,2020-03-22T10:20:13.812Z,24bd2a20-fa56-4420-949c-25a83c5a52f1,en,I'm feeling dizzy with fever do I have corona? ,en,I m feeling dizzy with fever do I have corona,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,nextsteps
1015,2020-03-22T10:24:55.86Z,7690e3a4-6bdd-4a81-90d6-38df7303c4a0,en,Should I go out for a walk in the park everyday?,en,Should I go out for a walk in the park everyday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,lockdown
1017,2020-03-22T02:08:31.045Z,7a39c38d-c315-4a22-9563-c4e98a653ac9,fr,"Does Pneumonia vaccine, which is for a bacterial infections, helps the immune system to deal with the viral infection of Covid-19 more easily? By removing the possibility of bacterial infection and just focusing on viral infection!",en,Does Pneumonia vaccine which is for a bacterial infections helps the immune system to deal with the viral infection of Covid 19 more easily By removing the possibility of bacterial infection and just focusing on viral infection,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,symptom
1020,2020-03-22T09:55:27.585Z,ae2c7a92-e8ec-48d4-afce-ecd02536f702,en,Has the virus evolved,en,Has the virus evolved,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1022,2020-03-22T10:59:00.515Z,dea201d2-23b5-46b6-af60-8dd3a419c809,en,What should I do if I start feeling sick with similar symptoms as in covid19?,en,What should I do if I start feeling sick with similar symptoms as in covid19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,about
1027,2020-03-22T09:11:51.104Z,57ee50ff-753d-4130-868c-032e16fa526d,en,Does COVID 19 cause stomach issues,en,Does COVID 19 cause stomach issues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
1028,2020-03-22T04:58:19.96Z,0ee780e7-7bc7-4198-bddb-b29040634c05,en,What is the cause of death in this pandamic?,en,What is the cause of death in this pandamic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,statistics
1031,2020-03-22T08:31:07.499Z,3103c5f4-aecc-4d3d-8f52-ecb8d84afca7,en,I am in self isolation.   Is it ok to let in family members who must continue to go to work?,en,I am in self isolation Is it ok to let in family members who must continue to go to work,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,isolation
1032,2020-03-22T10:24:27.453Z,35a8785b-58b8-4043-b31b-60afd2faeb32,en,"If I have covid-19, how long will I be contagious?",en,If I have covid 19 how long will I be contagious,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,nextsteps
1035,2020-03-22T06:09:09.819Z,cdd8ce59-c8fd-46f5-96bb-ead47dce4abc,vi,How many cases in Canada now ? ,en,How many cases in Canada now,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,statistics
1036,2020-03-22T09:55:27.447Z,ae2c7a92-e8ec-48d4-afce-ecd02536f702,en,How long do you think we will have to be in a lockdown ,en,How long do you think we will have to be in a lockdown,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,lockdown
1041,2020-03-22T09:35:47.331Z,13b14987-413a-4d47-8e56-3af43f79db8a,en,How many death in Quebec?,en,How many death in Quebec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,statistics
1042,2020-03-22T02:20:59.698Z,9159ddd8-f891-418b-8739-547e2433adce,en,How is the corona virus being spread,en,How is the corona virus being spread,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,transmission
1047,2020-03-22T10:24:27.442Z,35a8785b-58b8-4043-b31b-60afd2faeb32,en,What is the incubation time of covid-19 by age,en,What is the incubation time of covid 19 by age,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,about
1048,2020-03-22T09:35:47.335Z,13b14987-413a-4d47-8e56-3af43f79db8a,en,How long does the virus stay on surfaces?,en,How long does the virus stay on surfaces,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,viruslife
1051,2020-03-22T11:54:26.169Z,6173618c-7291-45d0-8b5c-ca71a8e2e4ff,en,Can the Covid survive in the air?,en,Can the Covid survive in the air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1052,2020-03-22T11:52:38.877Z,14b82f93-ec9b-4064-bf60-19a38c452a05,en,What are the Symptom for covid19,en,What are the Symptom for covid19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
1054,2020-03-22T12:30:23.268Z,584b2f48-550f-4537-a49a-874eb246809f,en,How effective is the new drug manufactured by Fujifilm Toyama Chemicals in treating COVID-19?,en,How effective is the new drug manufactured by Fujifilm Toyama Chemicals in treating COVID 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1055,2020-03-22T12:30:23.283Z,584b2f48-550f-4537-a49a-874eb246809f,en,Does COVID-19 spread by means of gametes?,en,Does COVID 19 spread by means of gametes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,transmission
1056,2020-03-22T09:35:47.313Z,13b14987-413a-4d47-8e56-3af43f79db8a,en,How deadly is the virus? ,en,How deadly is the virus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,statistics
1057,2020-03-22T11:54:26.137Z,6173618c-7291-45d0-8b5c-ca71a8e2e4ff,en,How many people died in Belgium?,en,How many people died in Belgium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,statistics
1058,2020-03-22T11:13:38.184Z,353f4f5e-d358-4aad-a256-5a93400045ec,en,Will high temperature kill coronavirus?,en,Will high temperature kill coronavirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1059,2020-03-22T09:45:57.928Z,90055b1e-cd4c-43aa-8914-1b8b2a531841,fr,How long do we need social distanciation for the virus to be less of a threat? ,en,How long do we need social distanciation for the virus to be less of a threat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,isolation
1061,2020-03-22T03:37:37.571Z,0d90e6a2-f7f5-4317-afc9-b8a87d4df68d,en,Why name it Corona?,en,Why name it Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1065,2020-03-22T11:52:38.758Z,14b82f93-ec9b-4064-bf60-19a38c452a05,en,Symptoms,en,Symptoms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
1067,2020-03-22T09:20:34.267Z,5c7817ec-a9dc-4bf4-af68-c88c3ab4cf67,en,How long will it last?,en,How long will it last,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,future
1070,2020-03-22T11:32:16.171Z,ebd2c3a6-3ede-4898-88e9-e6b9010417d8,en,What to do if i am infected ?,en,What to do if i am infected,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,infection
1072,2020-03-22T09:55:27.584Z,ae2c7a92-e8ec-48d4-afce-ecd02536f702,en,Is there a different varient of virus which is spreading across the world,en,Is there a different varient of virus which is spreading across the world,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,transmission
1073,2020-03-22T08:21:05.389Z,dd5f4300-766c-404b-97bd-80b1b0afb126,en,How is it transmitted?,en,How is it transmitted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,transmission
1076,2020-03-22T11:55:42.612Z,ec8bee28-f4bc-41b9-9979-ae91895c5b4b,en,Impacts of it,en,Impacts of it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1080,2020-03-22T09:27:27.109Z,ab15cd38-711a-47f4-910f-cc6e0a99850e,fr,I have a bit of nausea and headache. Do i have covid-19?,en,I have a bit of nausea and headache Do i have covid 19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,nextsteps
1085,2020-03-22T03:12:45.282Z,c5a8ec79-cd48-4ca2-8854-66347187d566,en,What is the estimated population that will be infected by the covid-19 virus?,en,What is the estimated population that will be infected by the covid 19 virus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,about
1089,2020-03-22T09:11:51.116Z,57ee50ff-753d-4130-868c-032e16fa526d,en,Can I go for a walk,en,Can I go for a walk,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,lockdown
1090,2020-03-22T03:37:37.571Z,0d90e6a2-f7f5-4317-afc9-b8a87d4df68d,en,Why Covid 19?,en,Why Covid 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1096,2020-03-21T15:44:24.109Z,0ad487b2-a4ae-4137-a487-831f7af8827b,en,Is it true that warm kills Coronavirus?,en,Is it true that warm kills Coronavirus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,viruskill
1097,2020-03-22T11:52:13.191Z,5b6e972e-eb6f-4119-8c4f-adf1156feb3d,en,what is my age,en,what is my age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1098,2020-03-22T10:38:20.947Z,130cb7de-7199-4f4e-8c62-801d11f3f37e,es,Whatbare the symptoms,en,Whatbare the symptoms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
1099,2020-03-22T10:59:39.726Z,2f5d2576-910e-4767-a805-142346281b9f,en,Which are the sintoms?,en,Which are the sintoms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
1100,2020-03-22T11:59:24.529Z,3ed2effb-1953-428a-adde-fe0dae015914,en,How many people died in NYC,en,How many people died in NYC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,statistics
1102,2020-03-22T07:51:35.53Z,bc3185f1-77e3-4f23-8925-9bdaef6f3f38,en,when will germany reach the peak?,en,when will germany reach the peak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1103,2020-03-22T05:44:14.063Z,1e287eb4-f227-41bf-a41d-48863f99468d,en,What is covid,en,What is covid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,about
1104,2020-03-22T09:04:04.803Z,7ef7e361-c61a-410f-bd5a-83e59077a8ab,en,How does Covid-19 spread?,en,How does Covid 19 spread,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,transmission
1105,2020-03-22T11:58:27.828Z,7db9c038-4c49-43c7-a8d1-435820e231d9,en,How to take care of infected people ,en,How to take care of infected people,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,infection
1108,2020-03-22T10:02:12.715Z,daaba43f-5775-4b04-a4c5-d63eb2006767,en,Where should I go?,en,Where should I go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1109,2020-03-22T11:51:57.551Z,6f7c9aaf-45e7-4349-bd12-0af2c4e58f9a,vi,how many people in America?,en,how many people in America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1110,2020-03-22T03:12:45.292Z,c5a8ec79-cd48-4ca2-8854-66347187d566,en,From the infected worldwide population what will be the ratio of asymptomatic people,en,From the infected worldwide population what will be the ratio of asymptomatic people,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,symptom
1111,2020-03-22T11:56:15.757Z,02909506-2fad-4062-bce6-cb73b87115a9,en,Will NHS workers be even more isolated because they are exposed to the virus on a daily basis?,en,Will NHS workers be even more isolated because they are exposed to the virus on a daily basis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,isolation
1112,2020-03-22T11:33:58.553Z,e0521f0d-4e1b-493b-afdb-b9da4f1b57b1,en,are hospital bed saturated in province of quebec,en,are hospital bed saturated in province of quebec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1113,2020-03-22T09:41:14.833Z,a6b15f80-e21f-4c35-8743-deb4d193deb7,fr,Can I get infected from food or grocery delivery?,en,Can I get infected from food or grocery delivery,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,infection
1117,2020-03-22T03:12:45.323Z,c5a8ec79-cd48-4ca2-8854-66347187d566,en,From the infected worldwide population what is the ratio that will need medical attention (eg. ICU or ventilators)?,en,From the infected worldwide population what is the ratio that will need medical attention eg ICU or ventilators,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,infection
1118,2020-03-22T06:54:02.826Z,7cf63134-49e1-4473-8b14-09502b95d7ea,vi,Is covid very dangerous,en,Is covid very dangerous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,dangerisk
1120,2020-03-22T11:33:58.608Z,e0521f0d-4e1b-493b-afdb-b9da4f1b57b1,en,is coughing phlem a symptom?,en,is coughing phlem a symptom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
1122,2020-03-22T07:21:03.398Z,4e4f4496-fe6e-43e3-9e9b-c6ceb0d98885,en,What are the age groups of people likely to die from COVID-19,en,What are the age groups of people likely to die from COVID 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1123,2020-03-22T10:20:13.844Z,24bd2a20-fa56-4420-949c-25a83c5a52f1,en,"I was in contact with a person who had coronavirus, what should I do? ",en,I was in contact with a person who had coronavirus what should I do,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,about
1126,2020-03-22T11:12:29.231Z,0ad487b2-a4ae-4137-a487-831f7af8827b,en,Is it true that warm kills Coronavirus?,en,Is it true that warm kills Coronavirus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,viruskill
1128,2020-03-22T11:34:31.975Z,616e3fe0-cace-40fc-b66d-be3d4e3e8f69,es,What is the covid?,en,What is the covid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,about
1131,2020-03-22T10:24:55.843Z,7690e3a4-6bdd-4a81-90d6-38df7303c4a0,en,Do I need to wear mask?,en,Do I need to wear mask,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1136,2020-03-22T12:24:22.35Z,88eb9c72-80fe-4a99-9c0b-4902cfb33220,en,"As of today, can we gather only 2",en,As of today can we gather only 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1138,2020-03-22T08:12:33.663Z,79180b89-beb6-4db6-b8ec-cab972c58bb1,en,When should I go to the hospital ,en,When should I go to the hospital,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,lockdown
1139,2020-03-22T09:06:09.138Z,fcc729d0-cced-4bee-8bcd-12a7f5e994b5,en,I lost my sense of taste. Does this mean I have Coronavirus?,en,I lost my sense of taste Does this mean I have Coronavirus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,nextsteps
1140,2020-03-22T11:54:26.174Z,6173618c-7291-45d0-8b5c-ca71a8e2e4ff,en,When is the peak expected in the USA?,en,When is the peak expected in the USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1143,2020-03-22T04:22:42.325Z,06f1b603-754b-45e6-9d8d-8b2db599327b,en,My son is flying from Kansas to England on the 30th April. He is flying into Heathrow and then travelling home to Manchester by train,en,My son is flying from Kansas to England on the 30th April He is flying into Heathrow and then travelling home to Manchester by train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1144,2020-03-22T10:55:43.72Z,d5fc1e93-51a3-48cb-8685-204933fa42ef,en,How many cases are in the US?,en,How many cases are in the US,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,statistics
1145,2020-03-22T11:33:45.497Z,ff357aeb-b1c5-4de8-b2a9-ee9b8fb7fd6c,en,What are the symptoms of corona virus,en,What are the symptoms of corona virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
1147,2020-03-22T10:47:15.527Z,a63f43c0-b672-4292-ade8-89fa4494a91e,en,I think I have COVID,en,I think I have COVID,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,nextsteps
1148,2020-03-22T03:37:37.562Z,0d90e6a2-f7f5-4317-afc9-b8a87d4df68d,en,Why is called COVID-19,en,Why is called COVID 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1150,2020-03-22T09:35:47.321Z,13b14987-413a-4d47-8e56-3af43f79db8a,en,How many cases in Quebec? ,en,How many cases in Quebec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,statistics
1152,2020-03-22T11:56:15.755Z,02909506-2fad-4062-bce6-cb73b87115a9,en,Can you see friends if you stick to the social distancing guidelines?,en,Can you see friends if you stick to the social distancing guidelines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,isolation
1153,2020-03-22T15:54:40.628Z,040d1404-0a1f-45e0-b4b7-0bc213f66341,en,what is covid-19?,en,what is covid 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,about
1154,2020-03-22T09:45:57.944Z,90055b1e-cd4c-43aa-8914-1b8b2a531841,fr,Do we see a future where this virus won't be such a threat anymore? ,en,Do we see a future where this virus won t be such a threat anymore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1156,2020-03-22T09:18:50.348Z,bcd29986-5e46-441c-921c-061ee2623526,es,How's the shortness of breath?,en,How s the shortness of breath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1157,2020-03-22T07:54:48.086Z,57b33f9c-7b7c-4c6d-9722-2698f9e5ec17,en,"When having covid-19, What are the next possible symptoms for a 4 years old child",en,When having covid 19 What are the next possible symptoms for a 4 years old child,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
1158,2020-03-22T11:59:24.534Z,3ed2effb-1953-428a-adde-fe0dae015914,en,How many cases in India,en,How many cases in India,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,statistics
