,cluster_#0,cluster_#1,cluster_#2,cluster_#3,cluster_#4,cluster_#5,cluster_#6,cluster_#7,cluster_#8,cluster_#9,cluster_#10,cluster_#11,cluster_#12,cluster_#13
224,"If you recover from the virus, can you still be a carrier ",-,-,-,-,-,-,-,-,-,-,-,-,-
225,"if someone had pneumonia before, are they more at risk?",-,-,-,-,-,-,-,-,-,-,-,-,-
226,I am in self isolation.   Is it ok to let in family members who must continue to go to work?,-,-,-,-,-,-,-,-,-,-,-,-,-
227,How long does the virus survive on a surface like a doorknob?,-,-,-,-,-,-,-,-,-,-,-,-,-
228,what is the risk for a pregnent woman ?,-,-,-,-,-,-,-,-,-,-,-,-,-
229,treatment for covid 19,-,-,-,-,-,-,-,-,-,-,-,-,-
230,When will life get back to normal?,-,-,-,-,-,-,-,-,-,-,-,-,-
231,Will the pandemic affect university research?,-,-,-,-,-,-,-,-,-,-,-,-,-
232,"If I have symptoms and I am told to stay home, can I take Tylenol?",-,-,-,-,-,-,-,-,-,-,-,-,-
233,Can you get the virus twice ? ,-,-,-,-,-,-,-,-,-,-,-,-,-
234,Can you smoke cannabis during Covid?,-,-,-,-,-,-,-,-,-,-,-,-,-
235,Will people on LTD (Long Term Disability) drill receive their payments?,-,-,-,-,-,-,-,-,-,-,-,-,-
236,Can I run outside,-,-,-,-,-,-,-,-,-,-,-,-,-
237,What are the covid simptons?,-,-,-,-,-,-,-,-,-,-,-,-,-
238,Are there any risk for the foetus? ,-,-,-,-,-,-,-,-,-,-,-,-,-
239,"Would it help to ensure there is a warehouse already filled with protective gear for health professionals worldwide, instead of scrambling, or ordering these last minute, and also have enough hospitals built, because if we don't do that, we'll have to do what China did and build a hospital at the last minute?",-,-,-,-,-,-,-,-,-,-,-,-,-
240,What do I do if someone with COVID-19 spotted?,-,-,-,-,-,-,-,-,-,-,-,-,-
241,How long can the virus stay in the air,-,-,-,-,-,-,-,-,-,-,-,-,-
242,Can we be contagious when we don't show symptoms?,-,-,-,-,-,-,-,-,-,-,-,-,-
243,When will we be back to work?,-,-,-,-,-,-,-,-,-,-,-,-,-
244,What is self-isolation?,-,-,-,-,-,-,-,-,-,-,-,-,-
245,I recently relocated to Quebec. Can I request RAMQ card with visiting the RAMQ office?,-,-,-,-,-,-,-,-,-,-,-,-,-
246,"In this time of crisis, is it okay to feed the raccoons",-,-,-,-,-,-,-,-,-,-,-,-,-
247,Does COVID-19 spread by means of gametes?,-,-,-,-,-,-,-,-,-,-,-,-,-
248,Do I need to wash my vegetables and fruits?,-,-,-,-,-,-,-,-,-,-,-,-,-
249,How can i cure covid-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
250,What COVID-19 stands for?,-,-,-,-,-,-,-,-,-,-,-,-,-
251,Doeas the software is automatic in English because I use an English device? If I ask in French the answer will be in French?,-,-,-,-,-,-,-,-,-,-,-,-,-
252,WHat is your name,-,-,-,-,-,-,-,-,-,-,-,-,-
253,When will the pandemic end? ,-,-,-,-,-,-,-,-,-,-,-,-,-
254,How are you?,-,-,-,-,-,-,-,-,-,-,-,-,-
255,How did this virus transmit?,-,-,-,-,-,-,-,-,-,-,-,-,-
256,Is it ok to go outside to get fresh air?,-,-,-,-,-,-,-,-,-,-,-,-,-
257,"If you contract COVID-19, how do you treat yourself at home?",-,-,-,-,-,-,-,-,-,-,-,-,-
258,What's happen for country near the Ecuador with a lot of hot? ,-,-,-,-,-,-,-,-,-,-,-,-,-
259,List of Canadian hospitals treating (not testing) patients with COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
260,What is the meaning of COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
261,how to prepare for spread of covid 19?,-,-,-,-,-,-,-,-,-,-,-,-,-
262,"On a recent study published in ""Nature"" ,it says that the severity of symptoms of COVID-19 infection depends on how much is your Angiotensin converting enzyme 2 gene is expressed ,my question is ,on what factors does the rate of ACE2 gene expression depends? I",-,-,-,-,-,-,-,-,-,-,-,-,-
263,"im sneezing, should i be worried?",-,-,-,-,-,-,-,-,-,-,-,-,-
264,Do the symptoms start suddenly or they progress slowly from one day to another? ,-,-,-,-,-,-,-,-,-,-,-,-,-
265,what is self isolation?,-,-,-,-,-,-,-,-,-,-,-,-,-
266,Do I need to be seen by a doctor,-,-,-,-,-,-,-,-,-,-,-,-,-
267,If I inhale a high concentration of soap bubbles would that kill the virus on contact in my lungs?,-,-,-,-,-,-,-,-,-,-,-,-,-
268,Can I fo,-,-,-,-,-,-,-,-,-,-,-,-,-
269,What is your name,-,-,-,-,-,-,-,-,-,-,-,-,-
270,"If I catch the virus, will I be immune from getting it again?   ",-,-,-,-,-,-,-,-,-,-,-,-,-
271,What are you symtoms of covid? ,-,-,-,-,-,-,-,-,-,-,-,-,-
272,How long can the virus live?,-,-,-,-,-,-,-,-,-,-,-,-,-
273,what is my level of risk?,-,-,-,-,-,-,-,-,-,-,-,-,-
274,What will be th impact on international students?,-,-,-,-,-,-,-,-,-,-,-,-,-
275,Can I go out after recovery even if I am still in quarantine time?,-,-,-,-,-,-,-,-,-,-,-,-,-
276,what treatments are available for covid-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
277,Is there more than one strain of COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
278,How long has the virus been spreading in Canada?,-,-,-,-,-,-,-,-,-,-,-,-,-
279,Would using heated-vapor humidifier help with sanitizing the sinuses of the covid-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
280,Shall we stay where we are or travel to our home country?,-,-,-,-,-,-,-,-,-,-,-,-,-
281,What colour is covid 19?,-,-,-,-,-,-,-,-,-,-,-,-,-
282,"Why does the government think that we don't need to wear face masks when clearly citizens from countries that are able to contain the virus are all wearing face masks, regardless if they are sick or not",-,-,-,-,-,-,-,-,-,-,-,-,-
283,What is the situation right now in the world?,-,-,-,-,-,-,-,-,-,-,-,-,-
284,Define covid 18,-,-,-,-,-,-,-,-,-,-,-,-,-
285,What's the current count in India,-,-,-,-,-,-,-,-,-,-,-,-,-
286,Why didn't you answer my first question?,-,-,-,-,-,-,-,-,-,-,-,-,-
287,"What is the difference between a pandemic & epidemic? Why did WHO declare this a pandemic? What is the difference between social distancing, self-isolating and quarantine? To what extent is social distancing helpful? Why should I do this? When should you self-isolate? Will the virus be less effective when we get warmer weather?  When should I go to the hospital? Should I get tested if I was in contact with someone who has or is suspected of having covid19 (but do not have any symptoms)? Should I stop taking medications that suppress my immune system?  When someone in the household is coming and going (for work), how can we keep the home a safe place? Can the virus be transmitted through Air Conditioning? (from outside or from within the home) How long does the virus last on inanimate objects (plastic, glass, cardboard, metal)? What have we learned from countries like China, South Korea and Singapore that have been dealing with this for a longer period of time and have slowed the spread?",-,-,-,-,-,-,-,-,-,-,-,-,-
288,Infomation about covid,-,-,-,-,-,-,-,-,-,-,-,-,-
289,Does soap really kill the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
290,My son is flying from Kansas to England on the 30th April. He is flying into Heathrow and then travelling home to Manchester by train,-,-,-,-,-,-,-,-,-,-,-,-,-
291,What do I have to expect after the disease?,-,-,-,-,-,-,-,-,-,-,-,-,-
292,What is an Asymptomatic Carrier?,-,-,-,-,-,-,-,-,-,-,-,-,-
293,When should I go to the hospital ,-,-,-,-,-,-,-,-,-,-,-,-,-
294,Is there any medication to take to help?,-,-,-,-,-,-,-,-,-,-,-,-,-
295,I have a headache for the past 3 days should I be tested ? ,-,-,-,-,-,-,-,-,-,-,-,-,-
296,hat should I do if my 2 year old child starts having a runny nose?,-,-,-,-,-,-,-,-,-,-,-,-,-
297,Is it safe to go outside for a walk (social distancing from others)?,-,-,-,-,-,-,-,-,-,-,-,-,-
298,Which are its first symptoms?,-,-,-,-,-,-,-,-,-,-,-,-,-
299,I was very sick with covid symptoms in late February and still coughing . Should I go get tested,-,-,-,-,-,-,-,-,-,-,-,-,-
300,"If my son if suppose to get tested tomorrow, but just starting to feel better. Can I cancel or should we still go?",-,-,-,-,-,-,-,-,-,-,-,-,-
301,When will the municipalities post heat maps to identify hot spots for Covid positive residents?,-,-,-,-,-,-,-,-,-,-,-,-,-
302,Is sore throats a symptom ,-,-,-,-,-,-,-,-,-,-,-,-,-
303,Is it possible to have Covid-19 if you only have one of the symptoms?,-,-,-,-,-,-,-,-,-,-,-,-,-
304,Have there been any deceased children so far?,-,-,-,-,-,-,-,-,-,-,-,-,-
305,Should I use Sudafed?,-,-,-,-,-,-,-,-,-,-,-,-,-
306,From the infected worldwide population what is the ratio that will need medical attention (eg. ICU or ventilators)?,-,-,-,-,-,-,-,-,-,-,-,-,-
307,When this virus terminated?,-,-,-,-,-,-,-,-,-,-,-,-,-
308,When will covid end? ,-,-,-,-,-,-,-,-,-,-,-,-,-
309,Suffering from trout echiting,-,-,-,-,-,-,-,-,-,-,-,-,-
310,What places of laval has covid-19,-,-,-,-,-,-,-,-,-,-,-,-,-
311,i have some headeche,-,-,-,-,-,-,-,-,-,-,-,-,-
312,It would possible to predict the time of this pandemic?,-,-,-,-,-,-,-,-,-,-,-,-,-
313,What the size,-,-,-,-,-,-,-,-,-,-,-,-,-
314,Is the virus deadly?,-,-,-,-,-,-,-,-,-,-,-,-,-
315,I have a lot of stress regarding COVID-19,-,-,-,-,-,-,-,-,-,-,-,-,-
316,"If I'm in self-quarantine with mild symptoms of some sort of respiratory thing, when can I stop self-quarantining?",-,-,-,-,-,-,-,-,-,-,-,-,-
317,What can you do?,-,-,-,-,-,-,-,-,-,-,-,-,-
318,what are the symtoms,-,-,-,-,-,-,-,-,-,-,-,-,-
319,Is it dangerous to go for a walk?,-,-,-,-,-,-,-,-,-,-,-,-,-
320,is the liquor store open?,-,-,-,-,-,-,-,-,-,-,-,-,-
321,What's a waiting time to get covid-19 results?,-,-,-,-,-,-,-,-,-,-,-,-,-
322,Mortality rate today,-,-,-,-,-,-,-,-,-,-,-,-,-
323,Does washing clothes in the  washing machine prevent transmission ? ,-,-,-,-,-,-,-,-,-,-,-,-,-
324,When will it stop spreading? Is 2 weeks enough? ,-,-,-,-,-,-,-,-,-,-,-,-,-
325,How are you ,-,-,-,-,-,-,-,-,-,-,-,-,-
326,I have a bit of nausea and headache. Do i have covid-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
327,Sorry I het enter before I was done.. am I just being paranoid and giving myself an ulcer.. my husband has pulmonary fibrosis so I’m really worried about him ,-,-,-,-,-,-,-,-,-,-,-,-,-
328,Is the virus airborne ,-,-,-,-,-,-,-,-,-,-,-,-,-
329,"If this is really deep learning, how deep is your model😂",-,-,-,-,-,-,-,-,-,-,-,-,-
330,Why is called COVID-19,-,-,-,-,-,-,-,-,-,-,-,-,-
331,Can I still see my friends?,-,-,-,-,-,-,-,-,-,-,-,-,-
332,Does the amount of virus one is exposed to change the severity of the symptoms?,-,-,-,-,-,-,-,-,-,-,-,-,-
333,what has caused it,-,-,-,-,-,-,-,-,-,-,-,-,-
334,Is it transmissible through anal sex ?,-,-,-,-,-,-,-,-,-,-,-,-,-
335,Should I be moving house during a pandemic?,-,-,-,-,-,-,-,-,-,-,-,-,-
336,when will germany reach the peak?,-,-,-,-,-,-,-,-,-,-,-,-,-
337,Should I visit my parents in a seniors home?,-,-,-,-,-,-,-,-,-,-,-,-,-
338,What is most usual symptom of Covid-19 ,-,-,-,-,-,-,-,-,-,-,-,-,-
339,Impacts of it,-,-,-,-,-,-,-,-,-,-,-,-,-
340,how can one fight the virus ,-,-,-,-,-,-,-,-,-,-,-,-,-
341,What about the researches with respect to treatment of COVID-19,-,-,-,-,-,-,-,-,-,-,-,-,-
342,How many will lose their jobs due to the chinese virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
343,What are the side-effects of hydroxychloroquine for treating COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
344,Is ordering food from a restaurant discouraged?,-,-,-,-,-,-,-,-,-,-,-,-,-
345,Can I still go out for grocery shopping even if I'm just getting back from vacations,-,-,-,-,-,-,-,-,-,-,-,-,-
346,COVID-19 stands for what?,-,-,-,-,-,-,-,-,-,-,-,-,-
347,What's the capital of Palestine?,-,-,-,-,-,-,-,-,-,-,-,-,-
348,What is the total number of deaths ,-,-,-,-,-,-,-,-,-,-,-,-,-
349,"Once you are cured from Covid-19, can you catch it again?",-,-,-,-,-,-,-,-,-,-,-,-,-
350,How to prevent the spread of COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
351,What should I buy from the stores now that I feel sick?,-,-,-,-,-,-,-,-,-,-,-,-,-
352,When is the vaccine available ?,-,-,-,-,-,-,-,-,-,-,-,-,-
353,When can I go to my cabin?,-,-,-,-,-,-,-,-,-,-,-,-,-
354,What is the difference between a bacteria and a virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
355,is it made by human or by nature,-,-,-,-,-,-,-,-,-,-,-,-,-
356,How does it take to recover from the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
357,"If I was traveling abroad recently, what should I do when coming back home?",-,-,-,-,-,-,-,-,-,-,-,-,-
358,"To get an idea of how widespread the virus is, why don't we simply test a random sample of people?",-,-,-,-,-,-,-,-,-,-,-,-,-
359,What to do if I think I have covid 19?,-,-,-,-,-,-,-,-,-,-,-,-,-
360,How deadly is the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
361,How is it transmitted?,-,-,-,-,-,-,-,-,-,-,-,-,-
362,What is the situation now in my country?,-,-,-,-,-,-,-,-,-,-,-,-,-
363,"My COVID-19 test results are pending, and my temperature reached 40C. What should I do?",-,-,-,-,-,-,-,-,-,-,-,-,-
364,I have asthma. How at risk am I about the possibility of complications?,-,-,-,-,-,-,-,-,-,-,-,-,-
365,My employer is not implementing social distancing or safety measures in my workplace. What recourse do I have?,-,-,-,-,-,-,-,-,-,-,-,-,-
366,Can you see friends if you stick to the social distancing guidelines?,-,-,-,-,-,-,-,-,-,-,-,-,-
367,What are covid-19 test centres location in Montreal?,-,-,-,-,-,-,-,-,-,-,-,-,-
368,How much the quarantine process has a positive impact on reducing contamination spread?,-,-,-,-,-,-,-,-,-,-,-,-,-
369,What should you do if you dont have water and soap and sanitizer?,-,-,-,-,-,-,-,-,-,-,-,-,-
370,Does covid transfer through air?,-,-,-,-,-,-,-,-,-,-,-,-,-
371,how i can test if i have the diease?,-,-,-,-,-,-,-,-,-,-,-,-,-
372,"When having covid-19, What are the next possible symptoms for a 4 years old child",-,-,-,-,-,-,-,-,-,-,-,-,-
373,Does Wearing gloves help?,-,-,-,-,-,-,-,-,-,-,-,-,-
374,I am feeling itchy around my body. Is it a symptom of covid? ,-,-,-,-,-,-,-,-,-,-,-,-,-
375,If I have diabetes am I at a higher risk? ,-,-,-,-,-,-,-,-,-,-,-,-,-
376,is it dangerous to travel,-,-,-,-,-,-,-,-,-,-,-,-,-
377,Can I move in with family if we have all been symptom free for 14 days?,-,-,-,-,-,-,-,-,-,-,-,-,-
378,How contagious is the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
379,what is this rainbow thing that people are talking about,-,-,-,-,-,-,-,-,-,-,-,-,-
380,could we have done better?,-,-,-,-,-,-,-,-,-,-,-,-,-
381,What is the death rate in South Carolina?,-,-,-,-,-,-,-,-,-,-,-,-,-
382,Is it safe to take a walk outside with my child?,-,-,-,-,-,-,-,-,-,-,-,-,-
383,What is the likelihood of having covid if only showing one symptoms for example dry cough,-,-,-,-,-,-,-,-,-,-,-,-,-
384,What can we do to protect ourselves from COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
385,Is it safe to jog/run outside?,-,-,-,-,-,-,-,-,-,-,-,-,-
386,Can I get Ovid 19 if someone pets my dog and then I pet her? ,-,-,-,-,-,-,-,-,-,-,-,-,-
387,How to stay safe,-,-,-,-,-,-,-,-,-,-,-,-,-
388,How dangerous is the COV-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
389,how painful will it be if I got the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
390,Should I stay home?,-,-,-,-,-,-,-,-,-,-,-,-,-
391,How can I protect myself ,-,-,-,-,-,-,-,-,-,-,-,-,-
392,Does eating Oranges daily help to fight this virus,-,-,-,-,-,-,-,-,-,-,-,-,-
393,If you start showing flu symptoms should you consult a doctor or stay home?,-,-,-,-,-,-,-,-,-,-,-,-,-
394,should I worry about covid 19?,-,-,-,-,-,-,-,-,-,-,-,-,-
395,What are the top symptoms ,-,-,-,-,-,-,-,-,-,-,-,-,-
396,"If I cross someone on the street, how are the chance to catch the virus ?",-,-,-,-,-,-,-,-,-,-,-,-,-
