,question,ahc_label
913,What is the nearest hospital to go to if I have a COVID-19?,79
1753,What is corona,80
1834,What is corona,80
842,What is COVID-19,81
8,what is covid-19,81
1261,About COVID-19,81
538,What is covid 19?,81
1825,What’s COVID-19?,81
1290,what is covid-19,81
470,Covid-19,81
603,What is COVID 19?,81
1163,What is covid-19?,81
1273,What is COVID-19?,81
356,what's is COVID-19?,81
790,what is covid-19 ?,81
23,What is Covid-19?,81
1497,What is covid-19?,81
45,What is the COVID-19?,81
1510,What is COVID-19?,81
1031,what is covid 19,81
1534,what is covid-19,81
1025,Why Covid 19?,81
1240,What is COVID 19,81
1609,Covid-19,81
1131,What is Covid 19,81
1309,How long has the virus been spreading in Canada?,82
1566,What should I do if I have Coronavirus symptoms?,83
1419,what are the symptoms of coronavirus,83
1702,How many cases of coronavirus in Madagascar,84
252,may I know what is corona?,85
1175,how to know that somebody have a corona,85
160,how is going,86
1391,When should I go to the hospital ,86
536,should I go to the hospital?,86
321,Where should I go?,86
1,When should I go to the hospital?,86
213,How does it spread ?,87
223,How long are you contagious if you have Coronavirus?,88
