index,0,1,2
1649,What's the capital of Palestine?,-,-
1650,What is the total number of deaths ,-,-
1652,Can I get the virus from breathing infected airborn particules,-,-
1653,What are the symptoms of corona virus,-,-
1654,How covid-19 virus infected?,-,-
1655,How to know if I get COVID-19 or not?,-,-
1657,How do I know when to get tested?,-,-
1661,how many case positive with COVID-19 ?,-,-
1662,"Once you are cured from Covid-19, can you catch it again?",-,-
1667,"If I have covid-19, how long will I be contagious?",-,-
1668,How to prevent the spread of COVID-19?,-,-
1670,What should I buy from the stores now that I feel sick?,-,-
1673,how many people positive with Covid-19 in the world?,-,-
1674,When is the vaccine available ?,-,-
1676,When can I go to my cabin?,-,-
1681,What is the difference between a bacteria and a virus?,-,-
1686,how much fever should i tolerate before going to the doctor? ,-,-
1688,what is coronavirus,-,-
1691,is it made by human or by nature,-,-
1693,How does it take to recover from the virus?,-,-
1696,"If I was traveling abroad recently, what should I do when coming back home?",-,-
1702,How many cases of coronavirus in Madagascar,-,-
1703,"To get an idea of how widespread the virus is, why don't we simply test a random sample of people?",-,-
1704,What to do if I think I have covid 19?,-,-
1706,How deadly is the virus?,-,-
1707,How is it transmitted?,-,-
1708,What are the symptoms I should feel if I am infected with Corona virus?,-,-
1711,How many days does it take to see the symptoms,-,-
1716,How long is this expected to last?,-,-
1717,What is the situation now in my country?,-,-
1718,"My COVID-19 test results are pending, and my temperature reached 40C. What should I do?",-,-
1722,I have asthma. How at risk am I about the possibility of complications?,-,-
1725,My employer is not implementing social distancing or safety measures in my workplace. What recourse do I have?,-,-
1729,Can you see friends if you stick to the social distancing guidelines?,-,-
1735,How is the corona virus being spread,-,-
1736,What are covid-19 test centres location in Montreal?,-,-
1739,How much the quarantine process has a positive impact on reducing contamination spread?,-,-
1741,What should you do if you dont have water and soap and sanitizer?,-,-
1743,Why corona is so dangerous ,-,-
1746,how many people died so far?,-,-
1747,Does covid transfer through air?,-,-
1748,how i can test if i have the diease?,-,-
1753,What is corona,-,-
1756,"When having covid-19, What are the next possible symptoms for a 4 years old child",-,-
1760,Does Wearing gloves help?,-,-
1765,I am feeling itchy around my body. Is it a symptom of covid? ,-,-
1768,How long after testing do you receive your COVID-19 results? ,-,-
1773,is it dangerous to travel,-,-
1775,Can I move in with family if we have all been symptom free for 14 days?,-,-
1779,"should I call to find out more, it’s the coughing and difficulty breathing and fatigue that worries me",-,-
1780,How contagious is the virus?,-,-
1787,what is this rainbow thing that people are talking about,-,-
1788,could we have done better?,-,-
1794,What is the death rate in South Carolina?,-,-
1796,I have a sore throat. Is that a sign of Covid19?,-,-
1798,Is it safe to take a walk outside with my child?,-,-
1800,What is the likelihood of having covid if only showing one symptoms for example dry cough,-,-
1801,What can we do to protect ourselves from COVID-19?,-,-
1802,Can you die from contracting covid?,-,-
1812,How to stay safe,-,-
1813,How dangerous is the COV-19?,-,-
1815,From the infected worldwide population what will be the ratio of asymptomatic people,-,-
1817,how painful will it be if I got the virus?,-,-
1819,Should I stay home?,-,-
1821,How can I protect myself ,-,-
1822,Does eating Oranges daily help to fight this virus,-,-
1823,If you start showing flu symptoms should you consult a doctor or stay home?,-,-
1825,-,What’s COVID-19?,-
1831,should I worry about covid 19?,-,-
1832,-,-,What are the symptoms
1834,What is corona,-,-
1838,What are the top symptoms ,-,-
1845,How long do the symptoms of COVID-19 last for?,-,-
1846,Is there a vaccine for corona virus?,-,-
1847,Is the phlegm color suggestive of coronavirus? ,-,-
1848,how many people related covid-19,-,-
1849,How COVID-19 is infecting?,-,-
1852,"If I cross someone on the street, how are the chance to catch the virus ?",-,-
