,question,ahc_label,cluster
591,What is the difference between a pandemic epidemic Why did WHO declare this a pandemic What is the difference between social distancing self isolating and quarantine To what extent is social distancing helpful Why should I do this When should you self isolate Will the virus be less effective when we get warmer weather When should I go to the hospital Should I get tested if I was in contact with someone who has or is suspected of having covid19 but do not have any symptoms Should I stop taking medications that suppress my immune system When someone in the household is coming and going for work how can we keep the home a safe place Can the virus be transmitted through Air Conditioning from outside or from within the home How long does the virus last on inanimate objects plastic glass cardboard metal What have we learned from countries like China South Korea and Singapore that have been dealing with this for a longer period of time and have slowed the spread,,about
592,I ve have mild cough and not the continuous one And symptoms of fever like burning eyes but not the temperature What do I do,,symptom
593,what is the symptoms,,symptom
594,symptoms of covid 19,,symptom
595,Do I have covid,,nextsteps
596,Can antibiotics deal with viral infection,,infection
597,what are covid 19 symptoms,,symptom
598,What do I have to expect after the disease,,nextsteps
599,What is an Asymptomatic Carrier,,symptom
600,what are covid symptoms,,symptom
601,I have a fever what should I do now,,nextsteps
602,What are the daily death rates in Italy that are Not from COVID19,,cases
603,What are the Symptom for covid19,,symptom
604,When should I go to the hospital,,hospital
605,I have a headache for the past 3 days should I be tested,,nextsteps
606,Is it safe to go outside for a walk social distancing from others,,isolation
607,Is it possible to be infected again,,infection
608,Which are its first symptoms,,symptom
609,Can I get infected from food or grocery delivery,,infection
610,How many people died in NYC,,cases
611,I was very sick with covid symptoms in late February and still coughing Should I go get tested,,test
612,What is the main symptoms of the disease related to new coronavirus,,symptom
613,what are the symptoms of coronavirus,,symptom
614,If my son if suppose to get tested tomorrow but just starting to feel better Can I cancel or should we still go,,test
615,How do I know I have covid,,nextsteps
616,can you please tell me symptoms of corona virus,,symptom
617,Is sore throats a symptom,,symptom
618,How many people died in Belgium,,cases
619,What are the symptoms,,symptom
620,Is it possible to have Covid 19 if you only have one of the symptoms,,symptom
621,How do I know if I have been infected,,nextsteps
622,From the infected worldwide population what is the ratio that will need medical attention eg ICU or ventilators,,infection
623,how many new cases,,cases
624,i have some headeche,,nextsteps
625,What is covid 19,,about
626,how many people have died,,cases
627,I have a lot of stress regarding COVID 19,,nextsteps
628,If I m in self quarantine with mild symptoms of some sort of respiratory thing when can I stop self quarantining,,symptom
629,What is COVID 19,,about
630,what are the symtoms,,symptom
631,What are the symptoms of COVID 19,,symptom
632,if i think i have it should i got get tested,,nextsteps
633,What are the symptoms,,symptom
634,what is covid 19,,about
635,What s a waiting time to get covid 19 results,,about
636,What are the confirmed symptoms of COVID19,,symptom
637,How to take care of infected people,,infection
638,I have a bit of nausea and headache Do i have covid 19,,nextsteps
639,If someone was infected once can they be reinfected Can they still carry the virus and infect others,,infection
640,What should I do if I have Coronavirus symptoms,,nextsteps
641,what should I do if I think I infected by corona virus,,infection
642,How long does this virus incubate,,incubation
643,Does the amount of virus one is exposed to change the severity of the symptoms,,symptom
644,Does Pneumonia vaccine which is for a bacterial infections helps the immune system to deal with the viral infection of Covid 19 more easily By removing the possibility of bacterial infection and just focusing on viral infection,,infection
645,What is most usual symptom of Covid 19,,symptom
646,where can I get tested,,test
647,Can I still go out for grocery shopping even if I m just getting back from vacations,,can
648,I m feeling dizzy with fever do I have corona,,nextsteps
649,What is the total number of deaths,,cases
650,Can I get the virus from breathing infected airborn particules,,infection
651,What are the symptoms of corona virus,,symptom
652,How covid 19 virus infected,,infection
653,How do I know when to get tested,,test
654,If I have covid 19 how long will I be contagious,,nextsteps
655,When can I go to my cabin,,can
656,what is coronavirus,,about
657,If I was traveling abroad recently what should I do when coming back home,,about
658,How many cases of coronavirus in Madagascar,,cases
659,To get an idea of how widespread the virus is why don t we simply test a random sample of people,,test
660,What to do if I think I have covid 19,,nextsteps
661,What are the symptoms I should feel if I am infected with Corona virus,,infection
662,How many days does it take to see the symptoms,,symptom
663,My COVID 19 test results are pending and my temperature reached 40C What should I do,,test
664,I have asthma How at risk am I about the possibility of complications,,nextsteps
665,My employer is not implementing social distancing or safety measures in my workplace What recourse do I have,,nextsteps
666,Can you see friends if you stick to the social distancing guidelines,,isolation
667,What are covid 19 test centres location in Montreal,,test
668,how many people died so far,,cases
669,how i can test if i have the diease,,nextsteps
670,What is corona,,about
671,When having covid 19 What are the next possible symptoms for a 4 years old child,,symptom
672,I am feeling itchy around my body Is it a symptom of covid,,symptom
673,How long after testing do you receive your COVID 19 results,,test
674,If I have diabetes am I at a higher risk,,nextsteps
675,Can I move in with family if we have all been symptom free for 14 days,,symptom
676,What is the death rate in South Carolina,,cases
677,I have a sore throat Is that a sign of Covid19,,nextsteps
678,What is the likelihood of having covid if only showing one symptoms for example dry cough,,symptom
679,From the infected worldwide population what will be the ratio of asymptomatic people,,infection
680,If you start showing flu symptoms should you consult a doctor or stay home,,symptom
681,What s COVID 19,,about
682,What are the symptoms,,symptom
683,What is corona,,about
684,What are the top symptoms,,symptom
685,How long do the symptoms of COVID 19 last for,,symptom
