,timestamp_est,anonymous_id,language,question,detected_lang,symptom,about,cases,incubation,infection,nextsteps,test,total,cluster,can,hospital,isolation
505,2020-03-21 21:26:33.673,3b58140a-f53e-491f-a3dd-79f0416bab56,en,what are the main symptoms,en,1,0,0,0,0,0,0,1,symptom,0,0,0
512,2020-03-22 14:59:26.286,4f0491c9-bcc3-4ac2-ab92-fff2349511ed,en,Why is Trudeau asleep,en,0,0,0,0,0,0,0,0,,0,0,0
516,2020-03-23 22:52:35.33,ea0c35cd-949f-4cd9-a1bf-6db97c776cc0,en,Will the groceries shut down,en,0,0,0,0,0,0,0,0,,0,0,0
520,2020-03-23 17:00:06.41,f6641a31-4118-4710-aad7-7c0f8071c367,en,How is covid transmitted,en,0,0,0,0,0,0,0,0,,0,0,0
522,2020-03-22 06:46:58.641,9f5a3b2d-e64c-48a0-bcbb-973251c8ad14,en,What is covid,en,0,1,0,0,0,0,0,1,about,0,0,0
525,2020-03-22 12:37:53.136,823b1c91-8d2a-44a2-9b40-2e904ecdc542,en,Is ACE Inhibitor harmful,en,0,0,0,0,0,0,0,0,,0,0,0
530,2020-03-21 20:43:52.514,ba043e5a-e24c-49bc-a618-4ad18524d032,fr,Can I go outside,en,0,0,0,0,0,0,0,1,can,1,0,0
531,2020-03-23 11:40:28.924,f2c35a0b-1566-401d-9186-8a5fa1e7e2b5,en,I heard hydroxychloroquine is a good treatment for COVID 19 Where can I get it,en,0,0,0,0,0,0,0,0,,0,0,0
534,2020-03-23 10:49:12.312,8a734a0c-55ca-404a-b9c4-c31c95ba78c4,en,Do I need to disinfect things I buy like groceries and supplies,en,0,0,0,0,0,0,0,0,,0,0,0
536,2020-03-23 12:12:13.436,db468922-6c47-498f-b498-ebc957ae7092,en,should I go to the hospital,en,0,0,0,0,0,0,0,1,hospital,0,1,0
537,2020-03-21 12:03:39.463,0d1368ad-6269-497a-92be-bef48c314dcd,en,Are research fundings going to be cut as a result of the virus,en,0,0,0,0,0,0,0,0,,0,0,0
538,2020-03-23 05:00:56.002,e1ca6693-5cd5-4a07-8869-bffa04b32e07,en,What is covid 19,en,0,1,0,0,0,0,0,1,about,0,0,0
542,2020-03-23 11:58:03.019,3f0ba3be-0884-4acc-a501-59ae99120336,en,Does a mask actually help if I m not sick,en,0,0,0,0,0,0,0,0,,0,0,0
544,2020-03-23 08:28:21.54,7ed7d294-a7b7-4274-894f-66d929d56bb8,en,What is covid,en,0,1,0,0,0,0,0,1,about,0,0,0
546,2020-03-21 09:22:36.563,507092f6-fee4-47e3-89a1-39c932ac23ae,en,age wise statistics for covid 19,en,0,0,0,0,0,0,0,0,,0,0,0
547,2020-03-23 02:09:17.809,edca87c0-f788-4e40-a74c-b78860bc95f3,en,Will 1 meter distancing safe,en,0,0,0,0,0,0,0,0,,0,0,0
550,2020-03-21 12:40:08.923,17a0efa7-9250-48eb-8b2e-32ea3f85abaf,en,Must the fever symptom related to COVID 19 be a continuous fever or is it possible that the fever is short lived,en,1,0,0,0,0,0,0,1,symptom,0,0,0
553,2020-03-22 14:47:26.536,615a052a-e878-419f-86a8-8a2d0e1c233f,en,How does COVID 19 affect lungs And how do you see this pandemic will impact the world s economy,en,0,0,0,0,0,0,0,0,,0,0,0
555,2020-03-22 02:08:31.294,7a39c38d-c315-4a22-9563-c4e98a653ac9,fr,Does taking high doses of vitamin C and D help fighting the disease As an immune system booster Is there any study on that,en,1,0,0,0,0,0,0,1,symptom,0,0,0
556,2020-03-21 21:03:00.692,a57f2090-8fc3-441f-a292-0297d3919fd1,en,How to protect myself on a plane,en,0,0,0,0,0,0,0,0,,0,0,0
557,2020-03-22 06:54:02.826,7cf63134-49e1-4473-8b14-09502b95d7ea,vi,Is covid very dangerous,en,0,0,0,0,0,0,0,0,,0,0,0
563,2020-03-23 07:01:03.674,36572d47-44d6-45c6-99a6-b446bdd271a7,en,How can I differ between covid and normal flu,en,0,0,0,0,0,0,0,0,,0,0,0
564,2020-03-22 13:10:45.373,b35c0693-be4e-4f13-ad1b-d714c6994918,en,Will there be any changes in PGWP,en,0,0,0,0,0,0,0,0,,0,0,0
567,2020-03-21 19:14:49.91,9973a414-c87b-4aca-ae1a-2b4ea5290674,en,What are the symptoms of SARS COV 2,en,1,0,0,0,0,0,0,1,symptom,0,0,0
570,2020-03-22 19:39:22.856,b0be5180-0e5f-473f-86f5-d8144876b1ae,en,Do I have to ask a sclerotic question about traveling or something to get an answer,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
572,2020-03-19 14:16:05.351,f264fd4b-de03-4dc0-8531-fa9d0a1b0633,en,I d love to know how long I can be contagious,en,0,0,0,0,0,0,0,0,,0,0,0
573,2020-03-21 13:39:10.948,d90b7754-a540-47f2-a90c-7cbc35def960,en,what are cov19 symptoms,en,1,0,0,0,0,0,0,1,symptom,0,0,0
576,2020-03-23 06:06:24.495,f1f3e9ed-c400-4bd7-9fb2-83d415e3ec13,en,how to protect myself from it,en,0,0,0,0,0,0,0,0,,0,0,0
578,2020-03-22 13:27:59.034,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,what is canada quarantine policy,en,0,0,0,0,0,0,0,0,,0,0,0
579,2020-03-21 21:35:22.318,9edf7174-72b7-4dc7-8132-9db0ddf80b5d,en,Covid,en,0,0,0,0,0,0,0,0,,0,0,0
583,2020-03-22 15:51:20.155,75667228-564b-46ff-86f7-82ba4efd6a0c,en,My sister in law is pregnant and lives in a house with extended family where one member is isolated due to possible contact with someone with COVID 19 Are the risks for pregnant woman Higher How can she protect,en,0,0,0,0,0,0,0,1,isolation,0,0,1
586,2020-03-23 12:32:11.232,d2f4cdac-66d9-4677-ab98-4063315c9ca8,en,Will the virus affect my sexual ability,en,0,0,0,0,0,0,0,0,,0,0,0
589,2020-03-22 10:57:07.618,237153d0-5b82-48de-a333-2a20dd5cedd0,en,What have you implemented to help older people who do not know how to use the internet phone to obtain their groceries and medicine,en,0,0,0,0,0,0,0,0,,0,0,0
590,2020-03-23 08:28:59.961,2d64239a-f451-4838-86fb-35823642e700,en,When will the cure be available,en,0,0,0,0,0,0,0,0,,0,0,0
592,2020-03-21 16:15:49.283,3eb07cc6-e9a7-40d0-9609-553a07823637,en,Should I go to the ER or my physician directly if I m infected,en,0,0,0,0,1,0,0,1,infection,0,0,0
593,2020-03-22 06:09:09.79,cdd8ce59-c8fd-46f5-96bb-ead47dce4abc,vi,Which country infected,en,0,0,0,0,1,0,0,1,infection,0,0,0
594,2020-03-21 18:19:33.609,a228afbc-c07b-4266-884a-a49171468666,en,what are the main symptoms of coronavirus,en,1,0,0,0,0,0,0,1,symptom,0,0,0
595,2020-03-21 12:53:58.397,66c7bd79-e62c-428a-adac-f69fb087691c,en,when will the pandemic end,en,0,0,0,0,0,0,0,0,,0,0,0
599,2020-03-22 12:22:18.089,1bb436b8-0a1f-47fa-8f22-61b727444e2e,en,How deadly is the virus,en,0,0,0,0,0,0,0,0,,0,0,0
600,2020-03-21 09:45:35.457,fdb9ea21-a2c4-4562-b182-b28ff01f256b,en,How do I know if I have the corona virus,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
603,2020-03-23 17:02:17.333,82161cb9-4de6-4fee-a707-da959233f06e,en,What is COVID 19,en,0,1,0,0,0,0,0,1,about,0,0,0
607,2020-03-23 20:22:49.151,7dec897c-85c1-48c7-8b6d-1cc9512fe9e2,en,How long before symptoms start to show,en,1,0,0,0,0,0,0,1,symptom,0,0,0
608,2020-03-22 16:23:01.035,69b5daca-3217-47bf-9eac-efc910db0d77,en,what is this site,en,0,0,0,0,0,0,0,0,,0,0,0
609,2020-03-22 13:33:13.737,a7fd890a-ead1-4e61-9f43-a1dfedc5e767,en,What is covid,en,0,1,0,0,0,0,0,1,about,0,0,0
615,2020-03-21 19:33:18.95,d1cd6b3b-f233-4177-b1e0-90381ca24617,en,Is it useful to wear a mask if we are not sick,en,0,0,0,0,0,0,0,0,,0,0,0
616,2020-03-22 13:27:58.907,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,what is social distancing,en,0,0,0,0,0,0,0,1,isolation,0,0,1
617,2020-03-21 18:17:44.631,ab8bd375-aec4-4fc1-9e01-2b0b2e7d758e,en,How many cases in Montreal,en,0,0,1,0,0,0,0,1,cases,0,0,0
619,2020-03-22 21:46:40.909,80599841-9130-444d-9128-453781e0d680,es,What is the incubation period for COVID 19,en,0,1,0,1,0,0,0,2,incubation,0,0,0
621,2020-03-23 11:58:03.025,3f0ba3be-0884-4acc-a501-59ae99120336,en,If I m below the age of 30 will I notice symptoms if I m sick,en,1,0,0,0,0,0,0,1,symptom,0,0,0
623,2020-03-22 16:49:03.76,d31625ef-010c-4926-b525-2e5ac23e63ec,en,When will this end,en,0,0,0,0,0,0,0,0,,0,0,0
625,2020-03-23 09:23:14.822,8b406219-107c-4ebf-a9dd-e924d185ab80,en,Are there any federal or provincial services to help senior citizens get grocery safely,en,0,0,0,0,0,0,0,0,,0,0,0
627,2020-03-22 09:45:57.928,90055b1e-cd4c-43aa-8914-1b8b2a531841,fr,How long do we need social distanciation for the virus to be less of a threat,en,0,0,0,0,0,0,0,1,isolation,0,0,1
628,2020-03-22 13:44:03.936,3269129f-c2bc-4dfb-a541-27c55450044e,en,how many deaths are in Italy as of March 21,en,0,0,1,0,0,0,0,1,cases,0,0,0
629,2020-03-23 18:41:12.821,a0abd62a-d530-4d21-bed6-281fc8c1710b,en,I am having sore throat cold cough temperature is not stable continuously increases and decreases So Do I need to go for a test,en,0,0,0,0,0,0,1,1,test,0,0,0
630,2020-03-22 10:38:20.947,130cb7de-7199-4f4e-8c62-801d11f3f37e,es,Whatbare the symptoms,en,1,0,0,0,0,0,0,1,symptom,0,0,0
631,2020-03-21 11:51:21.207,5b925b2f-4861-464c-837c-d8656bedfdcc,en,How long does it last,en,0,0,0,0,0,0,0,0,,0,0,0
632,2020-03-22 16:13:17.333,39732da4-4dbc-4f38-9fa9-bfb374fb963f,en,How do I know if my chest is hurt because lung damage or another cause,en,0,0,0,0,0,0,0,0,,0,0,0
633,2020-03-21 11:42:59.473,5fb9b2b2-2fd7-4f6a-811f-b96aaf99b279,en,Is it safe to order food during the COVID 19 pandemic,en,0,0,0,0,0,0,0,0,,0,0,0
635,2020-03-22 12:44:15.333,1afd94e2-4f37-41d4-9bbb-8b06a9a051e4,en,What should I do,en,0,0,0,0,0,0,0,0,,0,0,0
639,2020-03-22 01:12:16.112,dab8ab73-7e69-407c-8262-b5a22da25a04,en,How do I know if I have the flu or coronavirus,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
642,2020-03-23 17:03:28.595,db4f4e0b-18a8-4b7a-8d3b-17207bd6da51,en,I feel heaviness in my chest nothing else from last 2 week,en,0,0,0,0,0,0,0,0,,0,0,0
643,2020-03-22 15:56:03.731,1cbbe05b-737e-4eba-ba3b-b11e565a27cb,en,How many days can you be contagious without showing symptoms,en,1,0,0,0,0,0,0,1,symptom,0,0,0
646,2020-03-22 18:22:29.996,bc8b4606-4450-46f3-b321-f3343666c5e5,en,Can anti viral drugs be used to treat the coronavirus,en,0,0,0,0,0,0,0,0,,0,0,0
649,2020-03-23 18:27:39.386,1d8da525-46d8-4536-9c64-e31dda99df00,en,Where is the closest testing facility to me,en,0,0,0,0,0,0,1,1,test,0,0,0
650,2020-03-19 14:40:42.773,4c2c5c1b-2327-45d5-8c63-901cac28ea30,en,Can I go for a run Does running exercise compromise my immune system,en,1,0,0,0,0,0,0,2,can,1,0,0
653,2020-03-22 11:53:13.652,f66463e5-5496-4320-97b3-2cffd609a270,en,where did it start,en,0,0,0,0,0,0,0,0,,0,0,0
654,2020-03-21 23:14:22.422,e03f3e0a-a889-43d4-a506-4af32cbee107,en,How many case in montreal,en,0,0,0,0,0,0,0,0,,0,0,0
659,2020-03-24 00:24:36.463,88c77c4a-9baa-466b-bc57-34b0f0a6c83f,en,What s the incubation period,en,0,0,0,1,0,0,0,1,incubation,0,0,0
663,2020-03-22 09:44:37.243,9e54b55c-c933-407a-9b9c-4012632ca387,en,how are you,en,0,0,0,0,0,0,0,0,,0,0,0
664,2020-03-21 09:58:36.66,cd7d48a5-e664-4b53-bfc4-0135570a8865,en,When will it be ok to go outside,en,0,0,0,0,0,0,0,0,,0,0,0
666,2020-03-22 12:49:37.435,0ed83b36-309e-4cb3-9e4f-1c31ce359e61,pt,What is the probability of dying,en,0,0,0,0,0,0,0,0,,0,0,0
669,2020-03-23 05:40:53.009,8b377bca-d8b9-4717-832f-9422b632b727,en,Can you explain to me what is the covid19,en,0,1,0,0,0,0,0,1,about,0,0,0
674,2020-03-22 11:51:57.551,6f7c9aaf-45e7-4349-bd12-0af2c4e58f9a,vi,how many people in America,en,0,0,0,0,0,0,0,0,,0,0,0
678,2020-03-22 15:32:22.805,cdb73897-3211-4fca-9946-91ba51af1738,en,How long does it last once infected,en,0,0,0,0,1,0,0,1,infection,0,0,0
679,2020-03-22 13:39:44.267,bf50ad57-d102-4cfc-9249-af751cd960eb,en,Whats corona,en,0,1,0,0,0,0,0,1,about,0,0,0
680,2020-03-23 09:35:01.785,38d47da7-99a9-46a9-8d52-7fe967121edb,vi,What is the number of Covid19 cases in the wold,en,0,1,1,0,0,0,0,2,cases,0,0,0
681,2020-03-21 23:29:02.407,ec41dbc0-8a1c-436a-855c-53583f9b34bf,en,How Covid 19 started,en,0,0,0,0,0,0,0,0,,0,0,0
683,2020-03-22 13:41:43.877,283caf34-28a4-40d1-8e39-344b1843cd33,en,I need to take a blood test Is there a large risk for infection,en,0,0,0,0,1,0,1,2,infection,0,0,0
687,2020-03-23 15:07:45.746,253f115d-8fe4-4782-aae2-c247d6da2032,en,Are vet clinics still open,en,0,0,0,0,0,0,0,0,,0,0,0
694,2020-03-22 15:56:03.709,1cbbe05b-737e-4eba-ba3b-b11e565a27cb,en,How many people have it in my town,en,0,0,0,0,0,0,0,0,,0,0,0
695,2020-03-22 21:05:06.957,6a5ce2c7-e4cb-462a-b0b3-26173e7e22cf,en,How long does the virus live on clothes,en,0,0,0,0,0,0,0,0,,0,0,0
696,2020-03-21 17:39:34.393,83f51718-d521-4b00-9f0e-01e5b2f5d68f,en,What is the mortality rate,en,0,0,0,0,0,0,0,0,,0,0,0
700,2020-03-22 09:11:51.104,57ee50ff-753d-4130-868c-032e16fa526d,en,Does COVID 19 cause stomach issues,en,1,0,0,0,0,0,0,1,symptom,0,0,0
702,2020-03-23 16:19:09.977,89379363-f6e0-48cd-b7e3-d95c974a009b,en,Will it get better in summer with higher temperatures,en,0,0,0,0,0,0,0,0,,0,0,0
706,2020-03-22 14:22:27.327,295c6bb4-9ed3-47d6-b405-5013ae0bae97,en,What should I do if i think that i m infected,en,0,0,0,0,1,0,0,1,infection,0,0,0
709,2020-03-22 23:14:24.714,96874ddc-b0a3-4b88-81da-660395818439,en,What are the early symptoms of COVID 19,en,1,0,0,0,0,0,0,1,symptom,0,0,0
710,2020-03-22 07:54:48.107,57b33f9c-7b7c-4c6d-9722-2698f9e5ec17,en,When should I consult after the vomitting symptoms for a 4 y o child,en,1,0,0,0,0,0,0,1,symptom,0,0,0
711,2020-03-22 13:09:02.01,efadf5dd-c279-4ad3-9522-7e7fa841941f,en,How does it die in asymptomatic people,en,1,0,0,0,0,0,0,1,symptom,0,0,0
712,2020-03-23 05:23:45.623,ff36e21c-f99a-4015-8fa0-bf1e7cceb028,es,What is the period of incubation,en,0,0,0,1,0,0,0,1,incubation,0,0,0
713,2020-03-23 19:31:01.431,cb5dabf4-8e13-41b1-b08d-0581796807f5,en,How do I know if I have the covid 19,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
714,2020-03-22 09:55:27.409,ae2c7a92-e8ec-48d4-afce-ecd02536f702,en,What is the incubation period,en,0,0,0,1,0,0,0,1,incubation,0,0,0
716,2020-03-22 17:47:29.055,092c1833-7388-4ea6-ab81-1ab90d3c337d,fr,Hypertension,en,0,0,0,0,0,0,0,0,,0,0,0
720,2020-03-24 01:11:14.865,293ecd38-ee35-49c4-aace-267971b6b14e,en,how much does corona virus stay on each kind of surfaces,en,0,0,0,0,0,0,0,0,,0,0,0
722,2020-03-22 21:56:33.502,f753f60e-53cf-4e33-8acb-f024257b093f,en,Could stores open a few hours a week for the elderly,en,0,0,0,0,0,0,0,0,,0,0,0
723,2020-03-22 01:27:35.296,a3032e99-ff0f-4481-897e-9d6f66fb784f,en,if i have symptoms should i go to the ER or should I call a doctor,en,1,0,0,0,0,1,0,2,nextsteps,0,0,0
727,2020-03-22 13:59:40.335,44e53980-fe10-4d87-98ae-a7c7873e1edf,en,How long does the virus stay in paper money and coins,en,0,0,0,0,0,0,0,0,,0,0,0
728,2020-03-22 12:30:23.268,584b2f48-550f-4537-a49a-874eb246809f,en,How effective is the new drug manufactured by Fujifilm Toyama Chemicals in treating COVID 19,en,0,0,0,0,0,0,0,0,,0,0,0
733,2020-03-23 08:43:50.612,be2a9080-aa95-4db5-a92e-d0b5985d86f5,en,Is a cough but no fever a symptom,en,1,0,0,0,0,0,0,1,symptom,0,0,0
734,2020-03-22 13:38:44.849,d8884f31-8b7d-43c8-b44e-c5f3ede233b9,en,If I fully recover from COVID 19 would I still be considered a carrier and transmit the virus,en,0,0,0,0,0,0,0,0,,0,0,0
735,2020-03-22 09:20:34.281,5c7817ec-a9dc-4bf4-af68-c88c3ab4cf67,en,What are the symptoms of Covid 19,en,1,0,0,0,0,0,0,1,symptom,0,0,0
736,2020-03-22 07:13:26.019,304f700e-8ffc-4274-8439-61d6d34322b9,en,What are the real symptoms of covid 19,en,1,0,0,0,0,0,0,1,symptom,0,0,0
740,2020-03-22 09:11:51.126,57ee50ff-753d-4130-868c-032e16fa526d,en,How long am I infectious for,en,0,0,0,0,0,0,0,0,,0,0,0
742,2020-03-22 08:12:33.657,79180b89-beb6-4db6-b8ec-cab972c58bb1,en,Should I take the metro,en,0,0,0,0,0,0,0,0,,0,0,0
743,2020-03-22 02:08:31.402,7a39c38d-c315-4a22-9563-c4e98a653ac9,fr,Is the virus vulnerable to high temperature Does steam cleaning the surfaces and cloths kills the virus,en,0,0,0,0,0,0,0,0,,0,0,0
744,2020-03-21 22:20:23.412,26cfe891-6fb7-4104-9560-51b684ad79e8,en,Is it safe to get a new job that deals with the public,en,0,0,0,0,0,0,0,0,,0,0,0
753,2020-03-22 01:27:35.248,a3032e99-ff0f-4481-897e-9d6f66fb784f,en,is fever a symptom of coronavirus,en,1,0,0,0,0,0,0,1,symptom,0,0,0
754,2020-03-22 11:52:38.758,14b82f93-ec9b-4064-bf60-19a38c452a05,en,Symptoms,en,1,0,0,0,0,0,0,1,symptom,0,0,0
755,2020-03-22 13:20:11.78,f7d3845d-078d-4e97-928c-fbd7a3b508c8,en,How long until an infected person shows symptoms,en,1,0,0,0,1,0,0,2,infection,0,0,0
756,2020-03-21 22:55:38.102,71b819ce-1f25-4416-b19c-5878ebf16455,en,I am coughing but I don t have fever Could I have covid 19,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
757,2020-03-21 16:35:48.448,461b0490-15e2-4780-a3cf-cc24c5029b2b,en,Can you catch covid 19 after having had it before,en,0,0,0,0,0,0,0,0,,0,0,0
760,2020-03-22 18:22:30.033,bc8b4606-4450-46f3-b321-f3343666c5e5,en,What are the symptoms of Corona,en,1,0,0,0,0,0,0,1,symptom,0,0,0
765,2020-03-22 10:51:16.186,9b5ae332-0fdb-4def-a7b9-bfa2a2bf2364,es,How can I protect myself from the covid 19,en,0,0,0,0,0,0,0,0,,0,0,0
767,2020-03-22 13:56:42.626,b4f456a3-243b-4ba6-b09b-ba1f0a7599f3,en,What are the symptoms of covid19,en,1,0,0,0,0,0,0,1,symptom,0,0,0
772,2020-03-22 21:28:20.486,0cfafa09-b4e2-465b-adc2-897b23630b9a,en,who can you do,en,0,0,0,0,0,0,0,0,,0,0,0
773,2020-03-22 09:45:32.884,93e77e53-231e-452a-888f-19fe67b711a8,en,What are the symptoms of covid19,en,1,0,0,0,0,0,0,1,symptom,0,0,0
775,2020-03-22 09:45:57.914,90055b1e-cd4c-43aa-8914-1b8b2a531841,fr,Can I be contagious even if I don t have symptoms,en,1,0,0,0,0,0,0,1,symptom,0,0,0
776,2020-03-22 03:37:37.562,0d90e6a2-f7f5-4317-afc9-b8a87d4df68d,en,Why is it called Corona virus,en,0,0,0,0,0,0,0,0,,0,0,0
780,2020-03-24 00:16:32.22,04d8887f-99ab-4148-a615-cfc89f9917e0,en,Does my neighbour have covid 19 symptoms,en,1,0,0,0,0,0,0,1,symptom,0,0,0
781,2020-03-23 16:48:53.549,f579a48c-4b42-41a9-b4e3-1fbc08c93c1f,en,How long can the covid 19 survive outside the body,en,0,0,0,0,0,0,0,0,,0,0,0
789,2020-03-22 09:55:27.585,ae2c7a92-e8ec-48d4-afce-ecd02536f702,en,Has the virus evolved,en,0,0,0,0,0,0,0,0,,0,0,0
790,2020-03-22 15:54:40.636,040d1404-0a1f-45e0-b4b7-0bc213f66341,en,what is covid 19,en,0,1,0,0,0,0,0,1,about,0,0,0
797,2020-03-22 11:46:17.208,5101f879-aa2c-4bca-a1d4-7158924a3215,en,How do we best organize people so that duplicate work is not being done,en,0,0,0,0,0,0,0,0,,0,0,0
798,2020-03-23 11:40:28.912,f2c35a0b-1566-401d-9186-8a5fa1e7e2b5,en,Can this virus infect me in an airborne fashion,en,0,0,0,0,0,0,0,0,,0,0,0
800,2020-03-22 13:40:18.826,7214a2c5-724d-4dcd-ac85-a78cd2d2fd46,en,Where can I get tested,en,0,0,0,0,0,0,1,1,test,0,0,0
802,2020-03-22 16:50:40.789,9552da69-8edc-4a5c-b643-c03b5b8c26fe,en,How dangerous it is for pregnant womens,en,0,0,0,0,0,0,0,0,,0,0,0
809,2020-03-23 20:21:23.836,8367cf83-39f0-4e75-be06-c50ae0a04f82,en,How am I supposed to work while I have two young children at home,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
812,2020-03-23 10:49:12.317,8a734a0c-55ca-404a-b9c4-c31c95ba78c4,en,Where do I go if I have mild symptoms,en,1,0,0,0,0,1,0,2,nextsteps,0,0,0
813,2020-03-21 23:21:56.634,8e750805-9fc2-4702-a244-0b7e67cf29ad,vi,How many thing you do not understand,en,0,0,0,0,0,0,0,0,,0,0,0
814,2020-03-22 20:35:21.991,10bd6bb9-f50f-4d65-943a-5b1de75be3df,en,Do we have this epidemic and many more to come because we re not taking care of the earth we re destroying more and more trees and humans are eating more wild animals that have viruses per a talk from Alanna Shaikh,en,0,0,0,0,0,0,0,0,,0,0,0
815,2020-03-22 21:15:02.568,9a4d12a5-a1f1-410a-8870-a875a5e0b251,en,What shall I do if I have to go out to buy things to protect myself from corona virus,en,0,1,0,0,0,1,0,2,nextsteps,0,0,0
817,2020-03-23 04:07:59.588,0e63225e-5304-42ba-a67f-9d72e363f156,en,When this will ever end,en,0,0,0,0,0,0,0,0,,0,0,0
820,2020-03-21 21:28:01.186,f613f0e1-117b-4343-9e77-4fb4b9b168a4,en,waht are thenoptiin to disinfect hands and surfaces other than soap and alcohol,en,0,0,0,0,0,0,0,0,,0,0,0
821,2020-03-23 11:40:28.886,f2c35a0b-1566-401d-9186-8a5fa1e7e2b5,en,what kind of protective gear do i need to wear,en,0,0,0,0,0,0,0,0,,0,0,0
822,2020-03-22 20:03:53.169,28914ffd-2639-472a-828a-6352da947b8f,fr,My head hurts my body aches a little and I feel a cold coming How do I know if this is Covid 19 or just an ordinary cold,en,0,0,0,0,0,0,0,0,,0,0,0
824,2020-03-21 19:10:45.242,76dcbfcb-fbd4-4b7d-a0ad-bfb5c27087f2,en,Where did COVID 19 come from,en,0,0,0,0,0,0,0,0,,0,0,0
825,2020-03-22 09:35:47.335,13b14987-413a-4d47-8e56-3af43f79db8a,en,Who is most at risk,en,0,0,0,0,0,0,0,0,,0,0,0
829,2020-03-22 00:57:11.402,e1ea90be-e552-4d26-a067-376d0de0ed20,en,how many people have died in the US,en,0,0,1,0,0,0,0,1,cases,0,0,0
830,2020-03-22 22:35:25.258,c6c8c28a-b213-4e28-941a-b57f1e4a7db8,es,Symptom,en,1,0,0,0,0,0,0,1,symptom,0,0,0
835,2020-03-21 21:38:31.936,ed48fde9-b52a-450a-873c-af9d36b3a5dc,en,If I am starting to breath heavily should I get it checked out,en,0,0,0,0,0,0,0,0,,0,0,0
842,2020-03-21 20:27:40.432,9b75dedf-19e7-4eb4-9ffd-5cec8f5752d3,en,What is COVID 19,en,0,1,0,0,0,0,0,1,about,0,0,0
844,2020-03-21 21:48:07.401,289f44ad-e5dc-4dcc-8aab-d597c46631c9,en,What is the covid 19 symptoms,en,1,1,0,0,0,0,0,2,symptom,0,0,0
846,2020-03-22 13:56:42.612,b4f456a3-243b-4ba6-b09b-ba1f0a7599f3,en,What s covid19,en,0,1,0,0,0,0,0,1,about,0,0,0
849,2020-03-22 15:03:24.233,2e1e637d-fdaa-49be-84df-9bee02ba6abb,en,what are the risks for someone aged 65,en,0,0,0,0,0,0,0,0,,0,0,0
851,2020-03-22 14:09:57.753,22e81fdf-1dd6-4f10-8072-281d0ca95d9b,en,What is the origin of COVID 19,en,0,1,0,0,0,0,0,1,about,0,0,0
854,2020-03-23 16:19:09.957,89379363-f6e0-48cd-b7e3-d95c974a009b,en,What precautions should I take with things delivered at home,en,0,0,0,0,0,0,0,0,,0,0,0
857,2020-03-23 06:31:54.724,9e72e312-8716-49c2-a5e1-382832278734,en,Option to run the questions for children,en,0,0,0,0,0,0,0,0,,0,0,0
863,2020-03-22 08:21:05.544,dd5f4300-766c-404b-97bd-80b1b0afb126,en,How long is the treatment,en,0,0,0,0,0,0,0,0,,0,0,0
865,2020-03-22 13:27:58.95,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,who needs to be isolated,en,0,0,0,0,0,0,0,1,isolation,0,0,1
868,2020-03-22 14:51:49.214,9943a63e-5fbb-4bfb-bcbf-a1ea626cddde,en,Should I not touch my mail,en,0,0,0,0,0,0,0,0,,0,0,0
869,2020-03-22 09:55:27.584,ae2c7a92-e8ec-48d4-afce-ecd02536f702,en,Is there a different varient of virus which is spreading across the world,en,0,0,0,0,0,0,0,0,,0,0,0
871,2020-03-23 09:19:32.001,5e6eb356-0de6-4e9b-888c-978692b94fb0,en,How many patients are across the globe,en,0,0,0,0,0,0,0,0,,0,0,0
872,2020-03-22 11:45:44.22,a3d22572-8617-4045-916e-0982a9528807,fr,How i know that i m ill,en,0,0,0,0,0,0,0,0,,0,0,0
876,2020-03-23 22:31:21.903,74791eb5-0f37-46f7-80a4-82f686c14c7c,en,How long does it take to recover,en,0,0,0,0,0,0,0,0,,0,0,0
880,2020-03-22 20:36:01.535,36d0a626-9e6a-448d-ab35-3997a6393094,en,what is covid 2019,en,0,1,0,0,0,0,0,1,about,0,0,0
882,2020-03-22 11:50:42.455,6f7c9aaf-45e7-4349-bd12-0af2c4e58f9a,vi,how old are you,en,0,0,0,0,0,0,0,0,,0,0,0
883,2020-03-22 21:15:02.549,9a4d12a5-a1f1-410a-8870-a875a5e0b251,en,If there are kids around me do I have to worry if they are infected and I do not know,en,0,0,0,0,1,1,0,2,nextsteps,0,0,0
888,2020-03-23 16:55:40.392,85e7cc80-701e-46e3-9193-c3d74c1987eb,en,Isn t the economy impact and the panic reaction going to kill more than the virus It seems the virus only kills 1 while over 30 of the population might lose their jobs,en,0,0,0,0,0,0,0,0,,0,0,0
890,2020-03-22 03:12:45.282,c5a8ec79-cd48-4ca2-8854-66347187d566,en,What is the estimated population that will be infected by the covid 19 virus,en,0,1,0,0,1,0,0,2,infection,0,0,0
892,2020-03-23 12:09:12.409,23c56e61-ac8f-4498-90b9-8c44d93eb624,en,Does the virus stay on clothing,en,0,0,0,0,0,0,0,0,,0,0,0
