,question,ahc_label,ahc_label_lv2
1597,"Does Pneumonia vaccine, which is for a bacterial infections, helps the immune system to deal with the viral infection of Covid-19 more easily? By removing the possibility of bacterial infection and just focusing on viral infection!",0,21.0
1613,Is it transmissible through anal sex ?,0,21.0
1696,"If I was traveling abroad recently, what should I do when coming back home?",0,21.0
164,Will Covid19 go away like the 1918 influenza and SARS did,0,5.0
252,may I know what is corona?,0,5.0
325,Should I wear mask,0,5.0
351,How to protect my family from COVID-19?,0,5.0
359,when is this pandemic going to end?,0,5.0
422,Is it safe for seniors to go out for a walk or inside shopping malls which are quite isolated these days?,0,5.0
461,I think I’m sick,0,5.0
525,Is ACE Inhibitor harmful ,0,5.0
616,what is social distancing?,0,5.0
649,Where is the closest testing facility to me?,0,5.0
695,How long does the virus live on clothes?,0,5.0
710, When should I consult after the vomitting symptoms for a 4 y-o child? ,0,5.0
756,I am coughing but I don't have fever. Could I have covid-19?,0,5.0
815,What shall I do if I have to go out to buy things to protect myself from corona virus?,0,5.0
883,"If there are kids around me, do I have to worry if they are infected and I do not know?",0,5.0
905,I have Hashimoto's hypothyroiditis. Am I more at risk? I also had a PE due to Fv-leiden and oral contraceptives in 2001...what do you recommend I do?,0,5.0
908,What was the total number of deaths before and after the virus?,0,5.0
925,Is staying at home mandatory?,0,5.0
989,Can I die from Covid-19?,0,5.0
999,Should I be worried about getting sick if the government does not lock down everything?,0,5.0
1026,How many days should I isolate for,0,5.0
1030,what is self monitoring?,0,5.0
1048,How much it's prevelent in Pakistan?,0,5.0
1088,"If I have symptoms and I am told to stay home, can I take Tylenol?",0,5.0
1118,Are there any risk for the foetus? ,0,5.0
1258,what is self isolation?,0,5.0
1263,Can I fo,0,5.0
1272,What are you symtoms of covid? ,0,5.0
1293,how long people live after being infected by coronavirus,0,5.0
1307,is there a new form of corona virus?,0,5.0
1309,How long has the virus been spreading in Canada?,0,5.0
1312,Would using heated-vapor humidifier help with sanitizing the sinuses of the covid-19?,0,5.0
1450,How do I know if I have been infected?,0,5.0
1483,Suffering from trout echiting,0,5.0
1526,Is Covid19 an airborne? ,0,5.0
1646,I'm feeling dizzy with fever do I have corona? ,0,5.0
1657,How do I know when to get tested?,0,5.0
1667,"If I have covid-19, how long will I be contagious?",0,5.0
1775,Can I move in with family if we have all been symptom free for 14 days?,0,5.0
1800,What is the likelihood of having covid if only showing one symptoms for example dry cough,0,5.0
1802,Can you die from contracting covid?,0,5.0
7,What are the synthoms?,0,3.0
12,How's the shortness of breath?,0,3.0
179,Precautions to measure? ,0,3.0
233,Is the virus infectious during incubation period?,0,3.0
299,who is at risk of dying after contracting the virus?,0,3.0
300,Is the test covered in in CIHIP?,0,3.0
326,What are the most common symptoms of COVID-19?,0,3.0
335,How does coronavirus propagate?,0,3.0
357,How many people are infected in Lithuania?,0,3.0
358,What are the best food to get good immune ,0,3.0
389,What are the main synptoms?,0,3.0
440,I cough. is it Covid-19?,0,3.0
469,What if I have cough ?,0,3.0
478,Do I need a mask?,0,3.0
489,How severe is the virus? ,0,3.0
494,When will be done?,0,3.0
520,How is covid transmitted?,0,3.0
594,what are the main symptoms of coronavirus,0,3.0
608,what is this site,0,3.0
643,How many days can you be contagious without showing symptoms?,0,3.0
646,Can anti-viral drugs be used to treat the coronavirus?,0,3.0
716,Hypertension ,0,3.0
781,How long can the covid-19 survive outside the body,0,3.0
824,Where did COVID-19 come from?,0,3.0
958,Can my cat get the virus?,0,3.0
994,how long would it take for the virus to disappear ? ,0,3.0
1069,I am in self isolation.   Is it ok to let in family members who must continue to go to work?,0,3.0
1112,What are the covid simptons?,0,3.0
1219,List of Canadian hospitals treating (not testing) patients with COVID-19?,0,3.0
1228,How long will it take for a vaccine to be produced?,0,3.0
1247,how many death now,0,3.0
1264,"What measures can I take, if someone I know is effected with the virus",0,3.0
1387,What are the Symptom for covid19,0,3.0
1544,Mortality rate today,0,3.0
1564,"If someone was infected once, can they be reinfected? Can they still carry the virus and infect others?",0,3.0
1623,What is most usual symptom of Covid-19 ,0,3.0
1624,Impacts of it,0,3.0
1637,What about the researches with respect to treatment of COVID-19,0,3.0
1641,How many will lose their jobs due to the chinese virus?,0,3.0
1644,Is ordering food from a restaurant discouraged?,0,3.0
1652,Can I get the virus from breathing infected airborn particules,0,3.0
1796,I have a sore throat. Is that a sign of Covid19?,0,3.0
1815,From the infected worldwide population what will be the ratio of asymptomatic people,0,3.0
14,covid19 symptons?,0,0.0
161,Can the Covid survive in the air?,0,0.0
223,How long are you contagious if you have Coronavirus?,0,0.0
236,Am I allowed to go for a walk?,0,0.0
253,What is a vaccin becoming available?,0,0.0
297,How do people get infected with Coronavirus?,0,0.0
310,Why are death rates so different across countries?,0,0.0
316,I am 43. What’s the chance of my survival if I get covid. ,0,0.0
390,what is canada's situation right now?,0,0.0
394,how to interact with people,0,0.0
429,"Hello, what happens after corona?",0,0.0
447,Symptoms of Covid ,0,0.0
491,how can I prevent to get infected?,0,0.0
495,Does temperature has any effect on the virus,0,0.0
546,age wise statistics for covid-19,0,0.0
557,Is covid very dangerous,0,0.0
573,what are cov19 symptoms,0,0.0
583,My sister-in-law is pregnant and lives in a house with extended family where one member is isolated due to possible contact with someone with COVID-19. Are the risks for pregnant woman Higher? How can she protect?,0,0.0
653,where did it start,0,0.0
712,What is the period of incubation?,0,0.0
728,How effective is the new drug manufactured by Fujifilm Toyama Chemicals in treating COVID-19?,0,0.0
744,Is it safe to get a new job that deals with the public?,0,0.0
753,is fever a symptom of coronavirus? ,0,0.0
776,Why is it called Corona virus?,0,0.0
780,Does my neighbour have covid-19 symptoms?,0,0.0
909,What is the current COVID-19 confirmed cases trend for Canada?,0,0.0
922,How long does the virus remain active and alive after attacking a human body?,0,0.0
1034,My brother has COVID-19. What to do?,0,0.0
1144,"How long the sickens last, m",0,0.0
1184,Doeas the software is automatic in English because I use an English device? If I ask in French the answer will be in French?,0,0.0
1343,"I’ve have mild cough and not the continuous one. And symptoms of fever like burning eyes, but not the temperature. What do I do?",0,0.0
1377,What is an Asymptomatic Carrier?,0,0.0
1378,what are covid symptoms,0,0.0
1417,What is the main symptoms of the disease related to new coronavirus,0,0.0
1449,Have there been any deceased children so far?,0,0.0
1489,how many new cases,0,0.0
1507,I have a lot of stress regarding COVID-19,0,0.0
1530,How long do you think we will have to be in a lockdown ,0,0.0
1556,How to take care of infected people ,0,0.0
1586,How long before we have a vaccine for corona? ,0,0.0
1615,when will germany reach the peak?,0,0.0
1620,Should I visit my parents in a seniors home?,0,0.0
1642,What are the side-effects of hydroxychloroquine for treating COVID-19?,0,0.0
1739,How much the quarantine process has a positive impact on reducing contamination spread?,0,0.0
1741,What should you do if you dont have water and soap and sanitizer?,0,0.0
1819,Should I stay home?,0,0.0
