,question,ahc_label,cluster
465,What are you symtoms of covid,,symptom
466,What is COVID 19,,about
470,Can I go out after recovery even if I am still in quarantine time,,can
471,What is corona virus,,about
472,what is covid 19,,about
473,how long people live after being infected by coronavirus,,infection
474,Get I get infected from a dog,,infection
477,How many cases in Canada now,,cases
478,Should he self isolate when he gets here even if he feels well,,isolation
480,Were can I get tested,,test
488,I have shortness of breath but no fever,,nextsteps
491,How long does it takes to get first symptom of Covid 19,,symptom
494,What is the difference between a pandemic epidemic Why did WHO declare this a pandemic What is the difference between social distancing self isolating and quarantine To what extent is social distancing helpful Why should I do this When should you self isolate Will the virus be less effective when we get warmer weather When should I go to the hospital Should I get tested if I was in contact with someone who has or is suspected of having covid19 but do not have any symptoms Should I stop taking medications that suppress my immune system When someone in the household is coming and going for work how can we keep the home a safe place Can the virus be transmitted through Air Conditioning from outside or from within the home How long does the virus last on inanimate objects plastic glass cardboard metal What have we learned from countries like China South Korea and Singapore that have been dealing with this for a longer period of time and have slowed the spread,,hospital
497,I ve have mild cough and not the continuous one And symptoms of fever like burning eyes but not the temperature What do I do,,symptom
498,what is the symptoms,,symptom
499,symptoms of covid 19,,symptom
502,Do I have covid,,nextsteps
504,Can antibiotics deal with viral infection,,infection
506,what are covid 19 symptoms,,symptom
507,What do I have to expect after the disease,,nextsteps
508,What is an Asymptomatic Carrier,,symptom
509,what are covid symptoms,,symptom
510,I have a fever what should I do now,,nextsteps
511,What are the daily death rates in Italy that are Not from COVID19,,cases
512,What are the Symptom for covid19,,symptom
513,When should I go to the hospital,,hospital
515,I have a headache for the past 3 days should I be tested,,nextsteps
517,Is it safe to go outside for a walk social distancing from others,,isolation
518,Is it possible to be infected again,,infection
519,Which are its first symptoms,,symptom
520,Can I get infected from food or grocery delivery,,infection
521,How many people died in NYC,,cases
522,I was very sick with covid symptoms in late February and still coughing Should I go get tested,,test
524,What is the main symptoms of the disease related to new coronavirus,,symptom
525,what are the symptoms of coronavirus,,symptom
526,If my son if suppose to get tested tomorrow but just starting to feel better Can I cancel or should we still go,,test
527,How do I know I have covid,,nextsteps
528,can you please tell me symptoms of corona virus,,symptom
530,Is sore throats a symptom,,symptom
531,How many people died in Belgium,,cases
532,What are the symptoms,,symptom
533,Is it possible to have Covid 19 if you only have one of the symptoms,,symptom
535,How do I know if I have been infected,,nextsteps
537,From the infected worldwide population what is the ratio that will need medical attention eg ICU or ventilators,,infection
543,how many new cases,,cases
544,i have some headeche,,nextsteps
547,What is covid 19,,about
550,how many people have died,,cases
552,I have a lot of stress regarding COVID 19,,nextsteps
553,If I m in self quarantine with mild symptoms of some sort of respiratory thing when can I stop self quarantining,,symptom
554,What is COVID 19,,about
556,what are the symtoms,,symptom
557,What are the symptoms of COVID 19,,symptom
559,if i think i have it should i got get tested,,nextsteps
560,What are the symptoms,,symptom
562,what is covid 19,,about
565,What s a waiting time to get covid 19 results,,about
569,What are the confirmed symptoms of COVID19,,symptom
572,How to take care of infected people,,infection
573,I have a bit of nausea and headache Do i have covid 19,,nextsteps
574,If someone was infected once can they be reinfected Can they still carry the virus and infect others,,infection
576,What should I do if I have Coronavirus symptoms,,nextsteps
580,what should I do if I think I infected by corona virus,,infection
582,How long does this virus incubate,,incubation
585,Does the amount of virus one is exposed to change the severity of the symptoms,,symptom
586,Does Pneumonia vaccine which is for a bacterial infections helps the immune system to deal with the viral infection of Covid 19 more easily By removing the possibility of bacterial infection and just focusing on viral infection,,infection
594,What is most usual symptom of Covid 19,,symptom
598,where can I get tested,,test
602,Can I still go out for grocery shopping even if I m just getting back from vacations,,can
603,I m feeling dizzy with fever do I have corona,,nextsteps
606,What is the total number of deaths,,cases
607,Can I get the virus from breathing infected airborn particules,,infection
608,What are the symptoms of corona virus,,symptom
609,How covid 19 virus infected,,infection
611,How do I know when to get tested,,test
614,If I have covid 19 how long will I be contagious,,nextsteps
619,When can I go to my cabin,,can
622,what is coronavirus,,about
625,If I was traveling abroad recently what should I do when coming back home,,about
626,How many cases of coronavirus in Madagascar,,cases
627,To get an idea of how widespread the virus is why don t we simply test a random sample of people,,test
628,What to do if I think I have covid 19,,nextsteps
631,What are the symptoms I should feel if I am infected with Corona virus,,infection
632,How many days does it take to see the symptoms,,symptom
635,My COVID 19 test results are pending and my temperature reached 40C What should I do,,test
636,I have asthma How at risk am I about the possibility of complications,,nextsteps
637,My employer is not implementing social distancing or safety measures in my workplace What recourse do I have,,nextsteps
638,Can you see friends if you stick to the social distancing guidelines,,isolation
640,What are covid 19 test centres location in Montreal,,test
644,how many people died so far,,cases
646,how i can test if i have the diease,,nextsteps
647,What is corona,,about
648,When having covid 19 What are the next possible symptoms for a 4 years old child,,symptom
650,I am feeling itchy around my body Is it a symptom of covid,,symptom
651,How long after testing do you receive your COVID 19 results,,test
652,If I have diabetes am I at a higher risk,,nextsteps
654,Can I move in with family if we have all been symptom free for 14 days,,symptom
659,What is the death rate in South Carolina,,cases
660,I have a sore throat Is that a sign of Covid19,,nextsteps
662,What is the likelihood of having covid if only showing one symptoms for example dry cough,,symptom
669,From the infected worldwide population what will be the ratio of asymptomatic people,,infection
674,If you start showing flu symptoms should you consult a doctor or stay home,,symptom
675,What s COVID 19,,about
677,What are the symptoms,,symptom
678,What is corona,,about
679,What are the top symptoms,,symptom
680,How long do the symptoms of COVID 19 last for,,symptom
