,timestamp_est,anonymous_id,language,question,detected_lang,text,translation,cluster,ahc_label
852,2020-03-22T08:22:59.259Z,a512d5ba-f0ee-4bb2-a426-83aecae3edb7,fr,Est-ce vrai que 75% de la population sera infecté de toutes façons? ,fr,est ce vrai que de la population sera infecte de toutes facons,Is it true that 75% of the population will be infected anyway? ,unclassified,27.0
854,2020-03-22T09:47:59.301Z,b5f697a4-94b2-4e57-8632-24a1af11deb5,fr,Je ne fais pas de fièvre mais je tousse un peu. Comment puis-je savoir si j’ai la Covid19?,fr,je ne fais pas de fievre mais je tousse un peu comment puis je savoir si j ai la covid,I don't have a fever but I cough a little. How do I know if I have the Covid19? ,nextsteps,
855,2020-03-22T07:28:52.566Z,17dda59a-6378-4429-a6d9-9f2e056f893f,en,Est-ce que le virus est transmissible de l’homme aux animaux?,fr,est ce que le virus est transmissible de l homme aux animaux,Is the virus transmissible from humans to animals?,animals,
857,2020-03-22T09:46:21.246Z,609ac046-addf-4de3-addd-c96d5eee2553,fr,Nous sommes allés en voyage à la relâche et terminons notre 14e jour de confinement. Est-ce que nous pouvons recevoir un ami à la maison si celui-ci est en santé ? ,fr,nous sommes alles en voyage a la relache et terminons notre e jour de confinement est ce que nous pouvons recevoir un ami a la maison si celui ci est en sante,We went on a spring break and are finishing our 14th day of confinement. Can we have a friend at home if the friend is healthy? ,isolation,
862,2020-03-22T12:51:00.317Z,41801bb5-f4d0-496f-9828-dbf528adad67,fr,Quels sont les symptômes du COVID-19?,fr,quels sont les symptomes du covid,What are the symptoms of COVID-19? ,symptom,
863,2020-03-22T11:58:11.865Z,5b72d0b3-1d4d-412e-932e-51a91b73a269,fr,Ou est ce que je peux faire un test de dépistage?,fr,ou est ce que je peux faire un test de depistage,Where can I get tested? ,caution,
865,2020-03-22T12:01:24.01Z,1e7ced68-49e2-4a49-8228-45d791ac22fb,en,comment désinfecter l’épicerie?,fr,comment desinfecter l epicerie,how to disinfect the grocery store? ,unclassified,48.0
867,2020-03-22T09:23:16.996Z,9143235b-d867-4a37-bd02-a102d1fa7a35,fr,Quoi prendre pour soulager nos symptômes?,fr,quoi prendre pour soulager nos symptomes,What to take to relieve our symptoms? ,symptom,
868,2020-03-22T03:23:48.15Z,96606bc2-3f2c-4a07-978d-886a325dd0e1,fr,Je tousse,fr,je tousse,I cough ,nextsteps,
871,2020-03-22T11:22:58.61Z,e8f49a0b-4b64-475e-9ad9-9909f45585ed,fr,Peut-on faire le test de dépistage après avoir eu des symptômes?,fr,peut on faire le test de depistage apres avoir eu des symptomes,Can we get tested after having symptoms? ,test,
872,2020-03-22T10:44:58.427Z,a7f0c2cb-dcb7-45d9-b24b-27c92e0026f4,fr,Si je joue au jeu Pandémie avec des amis. Cela nous aidera-t-on à trouver un remède contre le COVID19? ,fr,si je joue au jeu pandemie avec des amis cela nous aidera t on a trouver un remede contre le covid,If I play the Pandemic game with friends. Will this help us find a cure for COVID19? ,unclassified,16.0
873,2020-03-22T08:49:36.58Z,b3d88cbf-9102-428d-bd66-1b3056c42f36,fr,Je tousse et coule du nez mais je n’ai pas été en voyage dois-je rester en quarantaine ?,fr,je tousse et coule du nez mais je n ai pas ete en voyage dois je rester en quarantaine,I cough and run from the nose but I have not been traveling should I stay in quarantine? ,nextsteps,
874,2020-03-22T08:33:41.904Z,645b0a55-5bae-4284-be2d-58ae9d4a010a,fr,Devrais-je faire obligatoirement du télé-travail?,fr,devrais je faire obligatoirement du tele travail,Should I be required to telecommute?,unclassified,21.0
877,2020-03-22T08:48:45.452Z,75dce7f7-f98a-495c-a58b-b8b87cf3146e,fr,Est-ce que je suis immunisé pour longtemps après avoir été infecté et avoir guéri?,fr,est ce que je suis immunise pour longtemps apres avoir ete infecte et avoir gueri,Am I immune for a long time after being infected and having recovered? ,unclassified,17.0
886,2020-03-22T02:25:41.329Z,a9495918-eda1-4562-bd9c-a8ee5cb54c6f,fr,Comment Facebook contribue a trouvé le vaccin ?,fr,comment facebook contribue a trouve le vaccin,How Facebook helps found the vaccine? ,treatment,
888,2020-03-22T10:30:24.778Z,e71124b1-9897-4824-b8e8-06cad6f854ef,en,Pendant comment de temps faudra-t-il rester chez soi?,fr,pendant comment de temps faudra t il rester chez soi,How long will it be necessary to stay at home? ,isolation,
889,2020-03-22T04:41:43.576Z,f070c229-58ee-43c1-ade3-310173fff089,fr,Quelles sont les régions de Montréal les plus touchées?,fr,quelles sont les regions de montreal les plus touchees,Which regions of Montreal are most affected? ,unclassified,1.0
892,2020-03-22T10:54:55.624Z,f10ab78e-542e-427f-99df-987b6f4817ee,fr,Quand serions-nous confiné(s)?,fr,quand serions nous confine s,When would we be confined? ,isolation,
893,2020-03-22T11:23:50.246Z,2728577d-b84e-4e0d-9c49-952fb2c9c892,en,"Mon fils a le nez bouché mais aucun autre symptôme, doit-on le faire tester?",fr,mon fils a le nez bouche mais aucun autre symptome doit on le faire tester,"My son has a stuffy nose but no other symptoms, should we have him tested? ",test,
894,2020-03-22T07:38:17.832Z,e92eaaa1-1eaf-4dba-ba03-affd119e9ecd,fr,Je me sens essoufflée en permanence est ce normal?,fr,je me sens essoufflee en permanence est ce normal,I feel constantly short of breath is this normal? ,unclassified,6.0
895,2020-03-22T09:21:34.49Z,40dcc490-e42a-431d-907c-61acb0697cd0,fr,Si j'ai seulement mal à la gorge et je n'ai pas voyagé est-ce que je peux être infectée?,fr,si j ai seulement mal a la gorge et je n ai pas voyage est ce que je peux etre infectee,If I only have a sore throat and have not traveled can I be infected? ,caution,
896,2020-03-22T06:58:33.476Z,3b7e1009-fc24-441a-9cdb-28a9c123c878,fr,Oui,fr,oui,Yes ,unclassified,6.0
897,2020-03-22T12:01:24.01Z,1e7ced68-49e2-4a49-8228-45d791ac22fb,en,est-ce que la diarrhée est un symptôme du covid-19?,fr,est ce que la diarrhee est un symptome du covid,is diarrhea a symptom of covid-19? ,symptom,
898,2020-03-22T11:23:50.246Z,2728577d-b84e-4e0d-9c49-952fb2c9c892,en,Est-ce que mes enfants peuvent jouer dehors avec les voisins,fr,est ce que mes enfants peuvent jouer dehors avec les voisins,Can my children play outside with the neighbors ,unclassified,29.0
900,2020-03-22T10:19:37.594Z,4179ef0d-5f09-487e-9979-1d348a39d9c9,fr,Combien de temps le virus est actif sur les différentes surfaces?,fr,combien de temps le virus est actif sur les differentes surfaces,How long is the virus active on different surfaces?,unclassified,41.0
901,2020-03-22T10:50:23.146Z,5ad607d1-b66f-4162-b5c3-12842e8b8552,en,Quel est le nombre de cas au québec ?,fr,quel est le nombre de cas au quebec,What is the number of cases in Quebec? ,statistics,
903,2020-03-22T10:12:55.571Z,7962ec16-61b0-4915-b3f1-77fdb69f9f1c,fr,Est-ce que les quincailleries sont ouverte à Montréal?,fr,est ce que les quincailleries sont ouverte a montreal,Are the hardware stores open in Montreal? ,unclassified,30.0
905,2020-03-22T10:44:58.378Z,a7f0c2cb-dcb7-45d9-b24b-27c92e0026f4,fr,J'ai éternué hier. Suis-je infecté?,fr,j ai eternue hier suis je infecte,I sneezed yesterday. Am i infected ,nextsteps,
906,2020-03-22T11:27:54.364Z,683b8cc5-35e6-450f-a5ee-a04eb00822ad,fr,Combien de temps le virus survit-il sur les différentes surfaces et en aérosol ?,fr,combien de temps le virus survit il sur les differentes surfaces et en aerosol,How long does the virus survive on different surfaces and in aerosol? ,viruslife,
907,2020-03-22T08:30:57.924Z,db2a91e5-3df0-408c-9e2a-cb3a4fbf0bc0,fr,"Est-ce qu'il y a des porteurs sains, c'est à dire ceux qui portent le virus sans avoir de symptômes ?",fr,est ce qu il y a des porteurs sains c est a dire ceux qui portent le virus sans avoir de symptomes,"Est-ce qu'il y a des porteurs sains, c'est à dire ceux qui portent le virus sans avoir de symptômes ?",symptom,
910,2020-03-22T09:25:14.771Z,216948e0-2d7a-4321-847d-8493657be9bd,fr,Si je tousse qu'est ce que je dois faire? ,fr,si je tousse qu est ce que je dois faire,"If I cough, what should I do? ",nextsteps,
916,2020-03-22T09:37:40.345Z,2d79d8d5-603d-4e2e-9f4e-27d13b69205c,fr,Quels sont le symptômes du corona virus?,fr,quels sont le symptomes du corona virus,What are the symptoms of corona virus? ,symptom,
919,2020-03-22T10:12:55.564Z,7962ec16-61b0-4915-b3f1-77fdb69f9f1c,fr,Combien de nouveaux cas sont répertoriés au Québec aujourd'hui?,fr,combien de nouveaux cas sont repertories au quebec aujourd hui,How many new cases are listed in Quebec today? ,unclassified,12.0
921,2020-03-22T11:23:50.247Z,2728577d-b84e-4e0d-9c49-952fb2c9c892,en,Est-ce que je peux faire entrer les voisins chez moi?,fr,est ce que je peux faire entrer les voisins chez moi,Can I bring the neighbors into my house? ,caution,
924,2020-03-22T08:28:12.691Z,a64ddd7c-e414-40c2-bb01-7d793508f142,fr,Je tousse mais je n'ai pas de fièvre devrais-je me faire tester?,fr,je tousse mais je n ai pas de fievre devrais je me faire tester,I'm coughing but I don't have a fever should I get tested? ,nextsteps,
925,2020-03-22T10:08:51.431Z,5f21c238-f2a4-4e44-8bc1-73f89bfca8dc,fr,le covid 19 dangereux,fr,le covid dangereux,the dangerous covid 19 ,dangerisk,
926,2020-03-22T08:33:42.062Z,645b0a55-5bae-4284-be2d-58ae9d4a010a,fr,Quand est-ce que les frontières ouvriront de nouveau et quand est-ce que nous pourrons recommencer à voyager sécuritairement?,fr,quand est ce que les frontieres ouvriront de nouveau et quand est ce que nous pourrons recommencer a voyager securitairement,When will the borders open again and when can we start traveling safely again? ,unclassified,38.0
928,2020-03-22T06:46:17.081Z,ec0e1c90-0df4-47bc-8a1f-9a2b67fcbac0,fr,Peut-On laver les fruits et les légumes à l'eau seulement?,fr,peut on laver les fruits et les legumes a l eau seulement,Can we wash fruits and vegetables with water only?,unclassified,36.0
929,2020-03-22T09:47:11.878Z,65b739a0-9a02-41b0-9d61-b1857d5073ae,fr,Est-ce qu'on peut encore être un agent porteur de la COVID-19 si on l'a eu et on a été guéri?,fr,est ce qu on peut encore etre un agent porteur de la covid si on l a eu et on a ete gueri,Can we still be a carrier of COVID-19 if we got it and we were cured? ,unclassified,46.0
933,2020-03-22T08:12:46.894Z,437bd26b-c161-4ff3-835f-6e9aa24efe92,fr,Est-ce que le groupe sanguin a une influence sur la capacité du virus à contaminer une personne ?,fr,est ce que le groupe sanguin a une influence sur la capacite du virus a contaminer une personne,Does blood type influence the ability of the virus to infect a person? ,unclassified,26.0
934,2020-03-22T10:25:06.373Z,53d955dd-1cf6-4ab3-961f-b291f9b7b839,fr,Quels sont les endroits pour traiter le covid-19 à Montréal?,fr,quels sont les endroits pour traiter le covid a montreal,Where are the places to process covid-19 in Montreal? ,unclassified,1.0
935,2020-03-22T10:44:58.348Z,a7f0c2cb-dcb7-45d9-b24b-27c92e0026f4,fr,Est-ce que mon chat peut transmettre le virus?,fr,est ce que mon chat peut transmettre le virus,Can my cat transmit the virus? ,animals,
936,2020-03-22T10:19:37.594Z,4179ef0d-5f09-487e-9979-1d348a39d9c9,fr,Doit-on faire absolument le test si nous avons les symptômes? Ou doit-on simplement rester à la maison en quarantaine?,fr,doit on faire absolument le test si nous avons les symptomes ou doit on simplement rester a la maison en quarantaine,Should we absolutely do the test if we have the symptoms? Or should we just stay at home in quarantine? ,test,
937,2020-03-22T12:58:33.929Z,211b6c7a-456e-426e-8038-bb9472654b15,fr,Puis-je attraper le virus si mon facteur est contaminé et qu’il met le courrier dans ma boîte postale?,fr,puis je attraper le virus si mon facteur est contamine et qu il met le courrier dans ma boite postale,Can I get the virus if my postman is infected and it puts mail in my mailbox? ,unclassified,26.0
938,2020-03-22T12:51:00.271Z,41801bb5-f4d0-496f-9828-dbf528adad67,fr,Est-ce que je peux visiter mes parents chez eux?,fr,est ce que je peux visiter mes parents chez eux,Can I visit my parents at home? ,caution,
939,2020-03-22T11:58:11.992Z,5b72d0b3-1d4d-412e-932e-51a91b73a269,fr,"Il y a beaucoup d'information contradictoires, parfois, sur la COVID-19, pouvez vous me donner des informations simples à propos de cette pandémie?",fr,il y a beaucoup d information contradictoires parfois sur la covid pouvez vous me donner des informations simples a propos de cette pandemie,"There is a lot of contradictory information, sometimes, on COVID-19, can you give me simple information about this pandemic?",unclassified,32.0
941,2020-03-22T11:27:54.374Z,683b8cc5-35e6-450f-a5ee-a04eb00822ad,fr,Où appeler pour de l’aide à faire livrer mes produits ?,fr,ou appeler pour de l aide a faire livrer mes produits,Where to call for help getting my products delivered? ,unclassified,3.0
943,2020-03-22T10:43:00.472Z,8dad65ac-4b21-43c0-a9dc-cbece5a9691f,fr,Est-ce que la suspension des réseaux scolaires va retarder mon entrer à l’Université? ,fr,est ce que la suspension des reseaux scolaires va retarder mon entrer a l universite,Will the suspension of school networks delay my entry to university? ,unclassified,38.0
945,2020-03-22T10:29:15.442Z,041ebf17-8ebd-4bfd-8672-a8fc83e644b9,fr,"Bonjour, ça va?",fr,bonjour ca va,,unclassified,10.0
947,2020-03-22T05:02:36.056Z,b9cca9f7-e15a-48c2-b40f-3d119421cde6,fr,"Si une personne est testée positive à la Covid-19, son isolement se fait-il à la maison où à l'hôpital ?",fr,si une personne est testee positive a la covid son isolement se fait il a la maison ou a l hopital,"If a person is tested positive for Covid-19, is his isolation done at home or at the hospital? ",test,
952,2020-03-22T11:56:03.662Z,8b08a812-2dc3-454d-ac7c-2f1aa1a642eb,fr,Quels sont les gestes barrières ?,fr,quels sont les gestes barrieres,What are the barrier gestures? ,unclassified,1.0
953,2020-03-22T10:23:55.974Z,930c7513-d565-4ec1-af37-20e77ff95dac,fr,Comment savoir si j’ai contracté le virus si je n’ai aucun symptôme?,fr,comment savoir si j ai contracte le virus si je n ai aucun symptome,How do I know if I have the virus if I have no symptoms? ,nextsteps,
955,2020-03-22T09:45:17.468Z,7c191fed-ce74-4f4b-90e9-2a1f816c431c,en,combien de temps le covid peut rester sur une surface,fr,combien de temps le covid peut rester sur une surface,how long can the covid stay on a surface ,viruslife,
956,2020-03-22T10:25:06.385Z,53d955dd-1cf6-4ab3-961f-b291f9b7b839,fr,Est-ce qu'il y a un numéro de téléphone sans frais pour qui des personnes qui vivent seuls puissent demander de l'aide?,fr,est ce qu il y a un numero de telephone sans frais pour qui des personnes qui vivent seuls puissent demander de l aide,Is there a toll-free number for people who live alone to ask for help? ,unclassified,0.0
959,2020-03-22T06:55:02.899Z,2b4bd3d0-e73f-48a5-8dcf-795036ebcca5,fr,Si je suis récupéré du COVID-19. Quelle est la chance de ne pas le réattraper dans le pire des cas?,fr,si je suis recupere du covid quelle est la chance de ne pas le reattraper dans le pire des cas,If I am recovered from COVID-19. What is the chance of not catching it in the worst case? ,unclassified,17.0
960,2020-03-22T06:56:13.181Z,8228b488-6ce7-4bcc-935f-e1a8f3ca480b,en,J’ai une toux sèche. Qu’est-ce que je fais?,fr,j ai une toux seche qu est ce que je fais,I have a dry cough. What do I do? ,nextsteps,
966,2020-03-22T11:50:58.081Z,75b60385-16cc-4205-a039-90eae872ee0b,fr,Pourquoi ne pas obliger le port du masque par tous?,fr,pourquoi ne pas obliger le port du masque par tous,Why not make everyone wear the mask?,caution,
968,2020-03-22T12:51:00.263Z,41801bb5-f4d0-496f-9828-dbf528adad67,fr,Est-ce que je peux sortir de chez moi?,fr,est ce que je peux sortir de chez moi,Can I get out of my house? ,caution,
970,2020-03-22T11:08:34.033Z,5abcadf1-9bd1-4e6f-a583-159d7b323d66,fr,A quel temperature cela est considéré comme faisant de la fièvre ? ,fr,a quel temperature cela est considere comme faisant de la fievre,At what temperature is this considered to have a fever? ,unclassified,35.0
973,2020-03-22T10:57:47.6Z,15c0f589-174d-4fd5-98fc-b7f5f450d9d1,fr,Doit-on porter un masque si on doit aller à l’épicerie?,fr,doit on porter un masque si on doit aller a l epicerie,Should we wear a mask if we have to go to the grocery store? ,caution,
975,2020-03-22T08:12:46.896Z,437bd26b-c161-4ff3-835f-6e9aa24efe92,fr,Comment tester le maximum de monde ?,fr,comment tester le maximum de monde,How to test the maximum of people? ,test,
976,2020-03-22T03:39:38.428Z,6ae12337-ce41-48d6-a59d-37e2d4aa64f8,fr,La toux est elle toujours sèche?,fr,la toux est elle toujours seche,Is the cough still dry? ,unclassified,9.0
981,2020-03-22T10:54:19.986Z,efe7d23a-6de8-4930-8c9e-beb4c185b621,en,Ça prend combien de temps avant que les premiers symptômes puissent être détectés?,fr,ca prend combien de temps avant que les premiers symptomes puissent etre detectes,How long does it take before the first symptoms can be detected? ,symptom,
982,2020-03-22T07:28:52.573Z,17dda59a-6378-4429-a6d9-9f2e056f893f,en,Est-ce que le virus est transmissible des animaux à l’homme?,fr,est ce que le virus est transmissible des animaux a l homme,Is the virus transmissible from animals to humans? ,animals,
984,2020-03-22T11:16:45.754Z,8e85946c-48e5-4e5b-80fd-876b1be4a404,en,Pour combien de temps le confinement sera-t-il mis en place ?,fr,pour combien de temps le confinement sera t il mis en place,How long will containment be in place? ,isolation,
988,2020-03-22T08:28:12.716Z,a64ddd7c-e414-40c2-bb01-7d793508f142,fr,"Je fais de la fièvre et je n'ai pas d'autres symptômes, devrais-je me faire tester?",fr,je fais de la fievre et je n ai pas d autres symptomes devrais je me faire tester,"I have a fever and I have no other symptoms, should I get tested? ",test,
989,2020-03-22T10:44:58.487Z,a7f0c2cb-dcb7-45d9-b24b-27c92e0026f4,fr,Est-ce que je peux transmettre le virus par la pensée?,fr,est ce que je peux transmettre le virus par la pensee,Can I transmit the virus by thought? ,caution,
992,2020-03-22T10:29:15.448Z,041ebf17-8ebd-4bfd-8672-a8fc83e644b9,fr,Quel est ton nom?,fr,quel est ton nom,What is your name? ,unclassified,35.0
994,2020-03-22T11:58:11.843Z,5b72d0b3-1d4d-412e-932e-51a91b73a269,fr,Quel est le taux de survie de la COVID-19?,fr,quel est le taux de survie de la covid,What is the survival rate of COVID-19?,statistics,
996,2020-03-22T05:02:36.076Z,b9cca9f7-e15a-48c2-b40f-3d119421cde6,fr,Combien de temps dure la Covid-19 lorsqu'elle est contractée par une personne ?,fr,combien de temps dure la covid lorsqu elle est contractee par une personne,How long does Covid-19 last when it is contracted by a person? ,unclassified,49.0
997,2020-03-22T04:21:46.943Z,92169b55-0ba6-44a1-9c5a-d4344c214cee,fr,"J’ai la gastro et fait de la fièvre, devrais-je faire un test ",fr,j ai la gastro et fait de la fievre devrais je faire un test,"I have gastroenteritis and have a fever, should I have a test ",nextsteps,
998,2020-03-22T10:30:24.772Z,e71124b1-9897-4824-b8e8-06cad6f854ef,en,Quel est le taux de mortalité du Covid?,fr,quel est le taux de mortalite du covid,What is the mortality rate from Covid? ,statistics,
1005,2020-03-22T08:28:12.926Z,a64ddd7c-e414-40c2-bb01-7d793508f142,fr,"J'ai besoin d'aide d'une gardienne pour s'occuper des enfants pour travailler, est ce sécuritaire d'avoir une gardienne chez moi?",fr,j ai besoin d aide d une gardienne pour s occuper des enfants pour travailler est ce securitaire d avoir une gardienne chez moi,"I need the help of a babysitter to take care of children to work, is it safe to have a babysitter in my house? ",nextsteps,
1006,2020-03-22T10:15:09.54Z,96e01d73-a880-4b71-a876-10a4099b3c4c,fr,Est-ce que la quarantaine peut durer jusqu’à l’éré,fr,est ce que la quarantaine peut durer jusqu a l ere,Can quarantine last until Ere? ,unclassified,38.0
1008,2020-03-22T08:28:12.585Z,a64ddd7c-e414-40c2-bb01-7d793508f142,fr,Comment savoir si j'ai le Covid 19?,fr,comment savoir si j ai le covid,How do I know if I have the Covid 19? ,nextsteps,
1009,2020-03-22T11:58:11.958Z,5b72d0b3-1d4d-412e-932e-51a91b73a269,fr,Faut il un rendez-vous?,fr,faut il un rendez vous,Do you need an appointment? ,unclassified,43.0
1012,2020-03-22T09:38:58.947Z,50d543d9-315b-4510-9c6b-b48292f1dee5,en,"Après la disparition de symptômes, combien de temps est-ce qu'une personne reste-elle contagieuse?",fr,apres la disparition de symptomes combien de temps est ce qu une personne reste elle contagieuse,How long does a person stay contagious after symptoms disappear? ,dangerisk,
1016,2020-03-22T08:52:53.469Z,84ee56cb-d4e6-4fa0-ba18-b579ac6f4585,fr,Quels sont les symptômes de la Covid-19?,fr,quels sont les symptomes de la covid,What are the symptoms of Covid-19? ,symptom,
1018,2020-03-22T08:28:12.85Z,a64ddd7c-e414-40c2-bb01-7d793508f142,fr,"Mes parents sont âgés, puis je leur rendre visite pour les aider?",fr,mes parents sont ages puis je leur rendre visite pour les aider,"My parents are old, can I visit them to help them? ",unclassified,8.0
1019,2020-03-22T10:15:03.157Z,be12d5b3-3393-400c-a69f-6ac8a830fde4,fr,Quels sont les symptômes ?,fr,quels sont les symptomes,What are the symptoms ?,symptom,
1021,2020-03-22T08:28:12.961Z,a64ddd7c-e414-40c2-bb01-7d793508f142,fr,Comment faire pour minimiser les risques de propagation?,fr,comment faire pour minimiser les risques de propagation,How to minimize the risk of spread? ,dangerisk,
1023,2020-03-22T06:58:33.523Z,3b7e1009-fc24-441a-9cdb-28a9c123c878,fr,Quelles sont les symptômes du coronavirus ?,fr,quelles sont les symptomes du coronavirus,What are the symptoms of coronavirus? ,symptom,
1024,2020-03-22T07:35:10.637Z,32c6ea03-d35b-4b16-aac5-2b204a8a91b4,fr,Quels sont les symptômes liés au coronavirus,fr,quels sont les symptomes lies au coronavirus,What are the symptoms of coronavirus ,symptom,
1025,2020-03-22T06:55:02.869Z,2b4bd3d0-e73f-48a5-8dcf-795036ebcca5,fr,Si je suis récupéré du COVID-19. Est-ce que mon corps developpe un anticorps m'évitant de le réattraper? ,fr,si je suis recupere du covid est ce que mon corps developpe un anticorps m evitant de le reattraper,If I am recovered from COVID-19. Does my body develop an antibody preventing me from catching it again? ,unclassified,17.0
1026,2020-03-22T10:07:11.613Z,756a419c-2df2-4bef-b01d-7fc41859846d,en,"Pouvez-vous m'expliquer pourquoi limiter le nombre de jours et heures d'ouverture de ma boulangerie et du marché Atwater est une bonne chose?  Le bon sens dit qu'en limitant les heures d'ouverture, l'achalandage sera plus grand pendant que c'est ouvert et il y aura donc une plus grande densité de gens qui attendent en même temps devant la porte.  Et c'est aussi ce que je vois!   ",fr,pouvez vous m expliquer pourquoi limiter le nombre de jours et heures d ouverture de ma boulangerie et du marche atwater est une bonne chose le bon sens dit qu en limitant les heures d ouverture l achalandage sera plus grand pendant que c est ouvert et il y aura donc une plus grande densite de gens qui attendent en meme temps devant la porte et c est aussi ce que je vois,"Can you explain to me why limiting the number of days and hours of opening of my bakery and the Atwater market is a good thing? Common sense says that by limiting opening hours, traffic will be greater while it is open and therefore there will be a greater density of people waiting at the same time at the door. And this is also what I see!   ",statistics,
1029,2020-03-22T08:52:53.5Z,84ee56cb-d4e6-4fa0-ba18-b579ac6f4585,fr,Quelle est la source de la maladie?,fr,quelle est la source de la maladie,What is the source of the disease? ,unclassified,28.0
1030,2020-03-22T08:28:12.814Z,a64ddd7c-e414-40c2-bb01-7d793508f142,fr,J'ai aidé une personne âgée dois-je m'inquiéter de lui avoir transmis le Covid 19?,fr,j ai aide une personne agee dois je m inquieter de lui avoir transmis le covid,I helped an elderly person do I have to,nextsteps,
1033,2020-03-22T11:58:11.962Z,5b72d0b3-1d4d-412e-932e-51a91b73a269,fr,Est ce que le rendez-vous se prend avec vous?,fr,est ce que le rendez vous se prend avec vous,Is the appointment made with you? ,unclassified,52.0
1037,2020-03-22T08:57:05.954Z,9ba7771e-87b4-4055-af2c-454952258373,fr,Est-ce que des enfants sont décédés suite à la contraction du covid-19 ?,fr,est ce que des enfants sont decedes suite a la contraction du covid,Have any children died as a result of the covid-19 contraction? ,unclassified,15.0
1038,2020-03-22T09:03:13.428Z,33cdb1a7-dca0-4329-b415-2f4b670ec2ee,fr,Peut-on visiter un nouveau-né,fr,peut on visiter un nouveau ne,Can we visit a newborn ,unclassified,44.0
1039,2020-03-22T07:38:24.113Z,6d02dad0-447a-44a0-b4bd-18a30551aad9,fr,Que veux dire assynptomatique ,fr,que veux dire assynptomatique,What does assynptomatic mean ,symptom,
1040,2020-03-22T06:25:10.597Z,27e7e448-98d4-45ea-9138-06ad61b89a33,fr,En parallèle avec le covid-19 combien de cas de la grippe ont tué de personnes,fr,en parallele avec le covid combien de cas de la grippe ont tue de personnes,In parallel with covid-19 how many cases of influenza have killed people ,statistics,
1043,2020-03-22T10:12:55.588Z,7962ec16-61b0-4915-b3f1-77fdb69f9f1c,fr,Est-ce que des vols sont encore possibles entre Montréal et Paris?,fr,est ce que des vols sont encore possibles entre montreal et paris,Are flights still possible between Montreal and Paris? ,unclassified,50.0
1044,2020-03-22T08:28:12.884Z,a64ddd7c-e414-40c2-bb01-7d793508f142,fr,"Ma femme de ménage est âgée, dois je lui dire de ne pas venir faire le ménage chez moi?",fr,ma femme de menage est agee dois je lui dire de ne pas venir faire le menage chez moi,"My cleaning lady is old, should I tell her not to come and do the cleaning at my house? ",unclassified,6.0
1045,2020-03-22T08:28:12.661Z,a64ddd7c-e414-40c2-bb01-7d793508f142,fr,Comment savoir si je suis contagieux?,fr,comment savoir si je suis contagieux,How do I know if I am contagious? ,dangerisk,
1046,2020-03-22T09:03:18.624Z,3ac5106a-2db8-4e2b-83c2-3626c9d4f820,en,Suis-je à risque di ma toux n’est pas sèche?,fr,suis je a risque di ma toux n est pas seche,Am I at risk if my cough is not dry? ,dangerisk,
1049,2020-03-22T10:44:58.57Z,a7f0c2cb-dcb7-45d9-b24b-27c92e0026f4,fr,J'ai une toux sèche. Devrais je faire un test de dépistage du COVID19?,fr,j ai une toux seche devrais je faire un test de depistage du covid,I have a dry cough. Should I be tested for COVID19? ,nextsteps,
1050,2020-03-22T11:27:54.365Z,683b8cc5-35e6-450f-a5ee-a04eb00822ad,fr,Devrais-je me faire prescrire de l’hydroxychloroquine avec de l’azithromycine si je suis atteint ?,fr,devrais je me faire prescrire de l hydroxychloroquine avec de l azithromycine si je suis atteint,Should I be prescribed hydroxychloroquine with azithromycin if I have it?,unclassified,17.0
1060,2020-03-22T10:30:24.793Z,e71124b1-9897-4824-b8e8-06cad6f854ef,en,Une fois que le nombre de nouveaux cas plafonne ou diminue pendant combien de temps faudra-t-il garder la distanciation sociale?,fr,une fois que le nombre de nouveaux cas plafonne ou diminue pendant combien de temps faudra t il garder la distanciation sociale,Once the number of new cases has leveled off or decreased for how long will it be necessary to keep social distance? ,unclassified,12.0
1062,2020-03-22T08:28:12.6Z,a64ddd7c-e414-40c2-bb01-7d793508f142,fr,Où me faire tester?,fr,ou me faire tester,Where to get tested? ,test,
1063,2020-03-22T09:38:58.928Z,50d543d9-315b-4510-9c6b-b48292f1dee5,en,Dois-je aller me faire tester si j'ai certains symptômes de la grippe saisonnière?,fr,dois je aller me faire tester si j ai certains symptomes de la grippe saisonniere,Should I go get tested if I have certain symptoms of seasonal flu? ,nextsteps,
1064,2020-03-22T12:44:20.881Z,25694c3f-47ef-4b93-aa7d-7e804822d53a,fr,J ai fait de la fièvre il y a deuz semaines est-ce possible que ce soit le covid-19?,fr,j ai fait de la fievre il y a deuz semaines est ce possible que ce soit le covid,I had a fever two weeks ago is it possible that it is covid-19? ,nextsteps,
1066,2020-03-22T09:25:14.708Z,216948e0-2d7a-4321-847d-8493657be9bd,fr,Est-ce que la fermeture des écoles va durer plus longtemps? ,fr,est ce que la fermeture des ecoles va durer plus longtemps,Will the school closings last longer? ,unclassified,27.0
1068,2020-03-22T05:02:36.095Z,b9cca9f7-e15a-48c2-b40f-3d119421cde6,fr,"Si une personne de notre famille Contract la Covid-19 et qu'elle vit seule, que devons nous faire, est-ce qu'elle aura de l'aide ?",fr,si une personne de notre famille contract la covid et qu elle vit seule que devons nous faire est ce qu elle aura de l aide,"If someone in our Contract Covid-19 family lives alone, what should we do, will they get help? ",unclassified,23.0
