,question,translated_question
627,Où puis-je trouver de l'information sur ce que les personnes âgées devraient faire ou pas?,Where can I find information on what seniors should and should not do?
628,Est-ce que je devrais porter des gants en public?,Should I wear gloves in public?
629,Si j'ai la COVID-19 quels sont les symptômes qui devraient faire en sorte que j'aille à l'hôpital ?,If I have COVID-19 what are the symptoms that should cause me to go to the hospital?
630,Durée des symptômes ,Duration of symptoms 
632,Est-ce qu'on doit prendre des douches plus souvent?,Do we need to take showers more often?
633,Est-ce que ca donne la diarrhée ?,Does it give diarrhea?
634,quels sont les symptomes principaux,what are the main symptoms
639,Quel sont les symptômes de la covid-19?,What are the symptoms of covid-19?
640,Est-ce que la situation va empirer au Québec?,Will the situation get worse in Quebec?
641,"Le ministre conseille de rester dans notre région, mais puis-je aller chez ma mère de 74 ans dans une autre ville si je reste chez elle et ne va nul part d'autre? à noter que je suis en quarantaine depuis 9 jours, donc cotôyer personne d'autre.","The minister advises staying in our region, but can I go to my 74-year-old mother's house in another city if I stay at her place and go nowhere else? Note that I have been in quarantine for 9 days, so sleep with no one else."
642,puis-je garder mes petits enfants chez eux a l occasion ,can i keep my grandchildren at home occasionally 
645,"Les experts des pays ayant le plus d‘experience avec le virus nous disent tous qu‘il faut Des tests de masse, alors que nous limitons les tests à ceux qui ont des symptômes et, pour le moment, qui ont voyagé. Pourquoi ne testons nous pas au moins tout l’Entourage Des personnes infectées, même si asymptomatiques.  ","Experts from countries with the most experience with the virus tell us all that mass testing is needed, while we limit testing to those who have symptoms and, for the time being, who have traveled. Why don't we test at least the whole environment of infected people, even if asymptomatic.  "
646,Est-ce que le coronavirus est un nouvau virus?,Is coronavirus a new virus?
648,"Je travaille au complexe g, suis-je à risque?","I work at complex g, am I at risk?"
651,Est-ce que les adolescents sont à risque  de développer des complications?,Are adolescents at risk of developing complications?
654,Je le vois poursuivre ses activités professionnnelles. Que faire?,I see him continuing his professional activities. What to do?
655,Quel est l’impact économique de ce virus ?,What is the economic impact of this virus?
657,"Les experts des pays ayant le plus d‘experience avec le virus nous disent tous qu‘il faut Des tests de masse, alors que nous limitons les tests à ceux qui ont des symptômes et, pour le moment, qui ont voyagé.   Pourquoi ne testons nous pas au moins tout l","Experts from countries with the most experience with the virus tell us all that mass testing is needed, while we limit testing to those who have symptoms and, for the time being, who have traveled. Why don't we test at least everything"
660,Quelles sont les danger pour les personne de plus de 70 ans?,What are the dangers for people over 70?
664,"Après mes 14 jours en quarantaine, je peux aller voir ma famille? ","After my 14 days in quarantine, can I go see my family? "
665,"Utilisation du zinc , ou ciclesonide ","Use of zinc, or ciclesonide "
666,Suis-je à risque,Am i at risk
668,"L'origine est de Chine, mais est-ce vraiment à la suite d'avoir manger un animal exotique ","Origin is from China, but is it really as a result of eating an exotic animal "
671,Quels sont les symptômes?,What are the symptoms?
672,où la femme contagieuse interpellée à limoilou s'est-elle promenée?,where did the contagious woman arrested in limoilou walk?
673,"J’ai une condition cardiaque, est ce que je peux me rendre à l’urgence quand même? ","I have a heart condition, can I still go to the emergency room? "
676,Est-ce que je peux transmettre le virus même si je n’ai pas de symptômes?,Can I spread the virus even if I have no symptoms?
677,Est-ce que je peux faire un auto-diagnostic avant de m'affoler et contacter les urgences? ,Can I make a self-diagnosis before I panic and contact the emergency room? 
679,que faire quand les symptomes arrivent?,what to do when symptoms occur?
680,Quels sont les délais d'attente pour obtenir le résultat à un test de dépistage?,What are the waiting times to obtain the result of a screening test?
681,combien de temps pourrait durer le covid?,how long could the covid last?
683,Que puis-je faire pour me préparer si un membre de la maison tombe malade?,What can I do to prepare myself if someone in the household gets sick?
684,"Mon conjoint est allé à Toronto la semaine dernière, devrait-il être en confinement volontaire? Et moi?","My partner went to Toronto last week, should he be in voluntary confinement? And me?"
685,Que faire si j'ai des signes?,What if I have signs?
686,Avons-nous le droit de visiter quelqu’un chez lui? Être deux ou trois personnes ensemble pour souper?,Do we have the right to visit someone's home? Being two or three people together for dinner?
689,Pendant combien de temps suis-je contagieuse si j’ai le covid-19?,How long am I contagious if I have covid-19?
690,Peux-t-on aller au magasin avec les enfants?,Can we go to the store with the kids?
691,Âges à risque,Ages at risk
694,Quels sont les manifestations du covid 19 chez les en,What are the manifestations of covid 19 in
695,Pourquoi la Covid-19 et non pas le Covid-19?,Why the Covid-19 and not the Covid-19?
698,"j,ai souvent eu des sinusites qui sont longues a guérir , j,en ai une présentement depuis 2 semaines . Faut-il que je passe un test","I have often had sinusitis which takes a long time to heal, I have had it now for 2 weeks. Do I have to take a test"
699,Est ce que je peux aller me faire dépister pour le COVID?,Can I get tested for COVID?
700,"Je me demande s'il est sécuritaire de faire mon lavage dans la buanderie collective de mon immeuble, en yant désinfecté avant? ","I wonder if it is safe to do my washing in the collective laundry room of my building, having disinfected there before? "
702,Est ce que je peux attraper le covid19 une deuxieme fois,Can i catch covid19 a second time
703,Je crois avoir la COVID-19. Est-ce que je dois aller à l'hôpital ?,I believe I have COVID-19. Do I have to go to the hospital?
705,Combien de temps suis-je contagieux ?,How long am I contagious?
708,"Si j'ai de la température et de la toux, que dois-je faire?","If I have temperature and cough, what should I do?"
709,Est ce que les aliments crus comme les sushis sont à éviter durant cette période? ,Are raw foods like sushi to be avoided during this period? 
710,Est-il vrai que la pandémie va s'atténuer pendant la période estivale? ,Is it true that the pandemic will ease during the summer? 
711,Comment on se protège contre le covid-19?,How do you protect yourself from covid-19?
712,"Je tousse beaucoup et creux, comment puis-je savoir si c’est le COVID? ","I cough a lot and hollow, how do I know if it's COVID? "
714,Est-ce que mon chat ou mon chien peuvent attraper la covid-19?,Can my cat or dog catch covid-19?
715,Combien de temps va durer la pandémie?,How long will the pandemic last?
716,mon copain demeure dans une autre région est-ce que je peux le voir quelques jours?,my boyfriend lives in another region can i see him for a few days?
717,Quelle est la période de contagion ?,What is the contagion period?
719,Comment guérir du COVID? ,How to cure COVID? 
721,quels sont les symptômes majeurs?,what are the major symptoms?
724,Quels sont les symptômes associés au covid-19? ,What are the symptoms of covid-19? 
725,Quels sont les symptômes?,What are the symptoms?
726,Carte des cas de co vid à Montréal ,Map of joint cases in Montreal 
727,Que puis-je faire pour aider?,What can I do to help?
730,Comment cette structure protéinique du Coved-19 se comporte-t-elle par rapport aux autres protéines lors de l'envahissement du système respiratoire??,How does this protein structure of Coved-19 behave compared to other proteins during the invasion of the respiratory system?
732,"Si j'ai vu quelqu'un qui a été en contact avec quelqu'un qui a testé positif au covid, qu'elles sont mes chances de le contracter?","If I have seen someone who has been in contact with someone who has tested positive for covid, what are my chances of getting it?"
734,Combien de temps le coronavirus peut-il vivre sur une surface à l’air libre? ,How long can coronavirus live on an outdoor surface? 
735,Est-il sécuritaire commander de la nourriture (take-out)?,Is it safe to order food (take-out)?
737,Quelle est la durée de propagation,What is the propagation time
738,Quelle est la taille réelle du Coved-19? comparatif...,What is the actual size of the Coved-19? comparative...
741,"Devrais-je dénoncer les rassemblements dont je suis témoin dans mon voisinage? Si oui, comment?","Should I report the gatherings I witness in my neighborhood? If yes, how?"
742,Est-ce qu’un vaccin contre le covid-19 sera obligatoire? ,Is a vaccine against Covid-19 will be compulsory?
743,Est-ce que les frais de garde nous seront repris plus tard comme nous nenvoyons plus nos enfants à la garderie,Will child care costs be taken back later as we no longer send our children to daycare
745,Are you sick?,Are you sick?
746,faut-il éviter de prendre de l’ibuprofène?,should i avoid taking ibuprofen?
747,Le COVID-19 est-il transmissible sexuellement?,Is COVID-19 sexually transmitted?
751,Je dois travailler à la maison avec mes enfants pourquoi je ne peux pas avoir de service de garde? ,"I have to work at home with my children, why can't I have daycare? "
753,"J’ai des problèmes digestifs, est-ce que cela pourrait être un symptôme de la maladie?","I have digestive problems, could this be a symptom of the disease?"
755,Dois-je me laver les mains à l’eau chaude pour détruire le coronavirus? ,Do I have to wash my hands with hot water to destroy the coronavirus? 
757,Est-ce vrai que le test de dépistage n’est pas valable si la personne n’a pas encore de symptômes?,Is it true that the screening test is not valid if the person does not yet have symptoms?
763,"Si je tousse, est-ce c'est la covid-19?","If I cough, is it covid-19?"
766,La période d’incubation est de deux semaines mais qu’en est-il de la période de contagion?,"The incubation period is two weeks, but what about the contagion period?"
767,"Je vis avec une personne agée, quelles sont les précautions d’usage pour sa toilette","I live with an elderly person, what are the usual precautions for their toilet"
768,Qu'est-ce que le COVID?,What is COVID?
769,Quels sont les les symptômes ?,What are the symptoms?
771,"J'habite dans un édifice à condos, est-ce que le COVID peut circuler dans l'air à travers les unités ?","I live in a condominium building, can COVID circulate in the air through the units?"
772,J’arrive de voyage que dois-je faire?,"I'm coming from a trip, what should I do?"
773,Quand la situation sera-t-elle sous contrôle?,When will the situation be under control?
775,Est-ce que mes parents peuvent garder mes enfants? ,Can my parents babysit my children? 
778,Le Coved-19 a-t-il une vitesse de déplacement ( mobilité per se) en soi sur une surface?,Does the Coved-19 have a movement speed (mobility per se) per se on a surface?
779,Quels produits dois-je utiliser pour éliminer le COVID des surfaces?,What products should I use to remove COVID from surfaces?
780,Combien de temps le virus reste-t-il sur les fruits et les legumes?,How long does the virus stay on fruits and vegetables?
781,Je ne suis pas allé en voyage mais je fais partie de la communauté iranienne. Je n'ai pas de symptômes de virus. Est-ce que je devrais passer le test?,I did not go on a trip but I am part of the Iranian community. I have no virus symptoms. Should I take the test?
783,Quel est le taux de létalité ?,What is the case fatality rate?
784,Le confinement total est il prévu au Canada ?,Is full containment planned in Canada?
785,"J'ai le nez qui coule, pas de fièvre, mais de la toux. Est-ce que je devrais passer un test?","I have a runny nose, no fever, but cough. Should I take a test?"
786,"Si une personne Contract la Covid-19 et que celle ci allaite, qu'elles sont les mesures à prendre ?","If a person contracts Covid-19 and they are breastfeeding, what are the measures to be taken?"
789,Est-ce que tout le monde pourrait être testé même sans symptôme ?,Could everyone be tested even without symptoms?
790,Est-ce que le virus survit au froid?,Does the virus survive the cold?
791,Quels sont les symptômes du coronavirus?,What are the symptoms of coronavirus?
792,Quand est-ce que les écoles recommenceront?,When will the schools start again?
796,"Si j’ai des symptômes, dois-je m’isoler complètement seul?","If I have symptoms, should I isolate myself completely alone?"
798,Est-ce que l'alcool à friction peut remplacer les gels de type Purel?,Can rubbing alcohol replace Purel type gels?
799,Quelles sont les meilleures façons de se protéger de la covid-19?,What are the best ways to protect yourself from covid-19?
800,Sommes-nous contagieux si nous n’avons pas de symptômes,Are we contagious if we don't have symptoms
801,"Si une personne contracte la Covid-19 et qu'un membre de sa famille qui vit sous le même toit est dans l'impossibilité de l'aider, qu'elles sont les options ?","If a person contracts Covid-19 and a family member who lives under the same roof is unable to help, what are the options?"
802,Est-ce que ma fille qui est adolescente peut voir ses amis s'ils restent à l'extérieur et à 2 mètres l'un de l'autre?,Can my teenage daughter see her friends if they stay outside and within 2 meters of each other?
803,"Après avoir contracté la COVID-19 et s’être rétabli, Est-ce toujours possible de contaminer d’autres personnes?","After contracting COVID-19 and recovering, is it still possible to infect other people?"
808,Combien de temps doivent rester en quarantaine?,How long should quarantine be?
814,Combien de malades et combien de morts en Québec? ,How many patients and how many deaths in Quebec? 
815,Ai je le droit de sortir dans des lieux publics?,Do I have the right to go out in public places?
817,Si j’ai un rhume comme je fait pour le distinguer du Cobid19?,If I have a cold like I do to distinguish it from Cobid19?
820,Est-ce que je peux aller à l'hôpital pour autre chose? ,Can I go to the hospital for something else? 
824,Combien de questions voulez-vous avant d’être lancé,How many questions do you want before being launched
828,Quel serait l'impact d'un médicament soignant plus rapidement les symptômes du Covid?,What would be the impact of a drug that heals Covid symptoms more quickly?
829,Comment laver les mains,How to wash your hands
831,Quels risques je cours en allant dehors?,What risks do I run by going outside?
833,Quoi ne pas prendre si on fait de la fièvre et qu’on ne sait pas si c’est le COVID-19?,What not to take if you have a fever and you do not know if it is COVID-19?
834,"Pourquoi on dit ""LA"" Covid-19 et non ""LE""?","Why do we say ""LA"" Covid-19 and not ""LE""?"
835,Sommes nous immunisés si nous attrapons le covid-19?,Are we immune if we catch covid-19?
836,Quelle est l'origine de COVID-19 ?,What is the origin of COVID-19?
840,Devons-nous craindre une seconde vague de contagion si nous mettons fin trop rapidement aux moyens de confinement ?,Should we fear a second wave of contagion if we end containment too quickly?
842,Quels sont les symptômes du coronavirus?,What are the symptoms of coronavirus?
846,"Des Canadiens sont pris au Pérou, est-ce que des vols de rapatriement son prévu dans ce pays?","Canadians are caught in Peru, are repatriation flights planned in this country?"
847,risque de mourir? ,risk dying? 
848,Quels sont les taux d'hospitalisation et de nécessité des soins intensifs,What are the rates of hospitalization and the need for intensive care
851,À combien peut monter les compensations financières relié au heures perdu de travaille,How much can financial compensation related to hours lost from work amount to?
852,"Si une personne Contract la Covid-19 et qu'elle habite avec sa famille (deux adultes, deux enfants par exemple) qu'elles sont les mesures à prendre ?","If a person contracts Covid-19 and lives with their family (two adults, two children for example) what are the measures to take?"
853,Est-ce vrai que 75% de la population sera infecté de toutes façons? ,Is it true that 75% of the population will be infected anyway? 
855,Je ne fais pas de fièvre mais je tousse un peu. Comment puis-je savoir si j’ai la Covid19?,I don't have a fever but I cough a little. How do I know if I have the Covid19?
856,Est-ce que le virus est transmissible de l’homme aux animaux?,Is the virus transmissible from humans to animals?
858,Nous sommes allés en voyage à la relâche et terminons notre 14e jour de confinement. Est-ce que nous pouvons recevoir un ami à la maison si celui-ci est en santé ? ,We went on a spring break and are finishing our 14th day of confinement. Can we have a friend at home if the friend is healthy?
863,Quels sont les symptômes du COVID-19?,What are the symptoms of COVID-19?
864,Ou est ce que je peux faire un test de dépistage?,Where can I get tested?
866,comment désinfecter l’épicerie?,how to disinfect the grocery store?
868,Quoi prendre pour soulager nos symptômes?,What to take to relieve our symptoms?
869,Je tousse,I have a cough
872,Peut-on faire le test de dépistage après avoir eu des symptômes?,Can I get tested after having symptoms?
873,Si je joue au jeu Pandémie avec des amis. Cela nous aidera-t-on à trouver un remède contre le COVID19? ,If I play the Pandemic game with friends. Will this help us find a cure for COVID19?
874,Je tousse et coule du nez mais je n’ai pas été en voyage dois-je rester en quarantaine ?,I cough and run from the nose but I have not been traveling should I stay in quarantine?
875,Devrais-je faire obligatoirement du télé-travail?,Should I be required to telecommute?
878,Est-ce que je suis immunisé pour longtemps après avoir été infecté et avoir guéri?,Am I immune for a long time after being infected and having recovered?
887,Comment Facebook contribue a trouvé le vaccin ?,How Facebook helps found the vaccine?
889,Pendant comment de temps faudra-t-il rester chez soi?,How long will it be necessary to stay at home?
890,Quelles sont les régions de Montréal les plus touchées?,Which regions of Montreal are most affected?
893,Quand serions-nous confiné(s)?,When would we be confined?
894,"Mon fils a le nez bouché mais aucun autre symptôme, doit-on le faire tester?","My son has a stuffy nose but no other symptoms, should we have him tested?"
895,Je me sens essoufflée en permanence est ce normal?,I feel constantly short of breath is this normal?
896,Si j'ai seulement mal à la gorge et je n'ai pas voyagé est-ce que je peux être infectée?,If I only have a sore throat and have not traveled can I be infected?
897,Oui,Yes
898,est-ce que la diarrhée est un symptôme du covid-19?,is diarrhea a symptom of covid-19?
899,Est-ce que mes enfants peuvent jouer dehors avec les voisins,Can my children play outside with the neighbors
901,Combien de temps le virus est actif sur les différentes surfaces?,How long has the virus been active on different surfaces?
902,Quel est le nombre de cas au québec ?,What is the number of cases in Quebec?
904,Est-ce que les quincailleries sont ouverte à Montréal?,Are the hardware stores open in Montreal?
906,J'ai éternué hier. Suis-je infecté?,I sneezed yesterday. Am i infected
907,Combien de temps le virus survit-il sur les différentes surfaces et en aérosol ?,How long does the virus survive on different surfaces and in aerosol?
908,"Est-ce qu'il y a des porteurs sains, c'est à dire ceux qui portent le virus sans avoir de symptômes ?","Are there healthy carriers, ie those who carry the virus without having symptoms?"
911,Si je tousse qu'est ce que je dois faire? ,"If I cough, what should I do? "
917,Quels sont le symptômes du corona virus?,What are the symptoms of corona virus?
920,Combien de nouveaux cas sont répertoriés au Québec aujourd'hui?,How many new cases are listed in Quebec today?
922,Est-ce que je peux faire entrer les voisins chez moi?,Can I bring the neighbors into my house?
925,Je tousse mais je n'ai pas de fièvre devrais-je me faire tester?,I'm coughing but I don't have a fever should I get tested?
926,le covid 19 dangereux,the dangerous covid 19
927,Quand est-ce que les frontières ouvriront de nouveau et quand est-ce que nous pourrons recommencer à voyager sécuritairement?,When will the borders open again and when can we start traveling safely again?
929,Peut-On laver les fruits et les légumes à l'eau seulement?,Can we wash fruits and vegetables with water only?
930,Est-ce qu'on peut encore être un agent porteur de la COVID-19 si on l'a eu et on a été guéri?,Can we still be a carrier of COVID-19 if we got it and we were cured?
934,Est-ce que le groupe sanguin a une influence sur la capacité du virus à contaminer une personne ?,Does blood type influence the ability of the virus to infect a person?
935,Quels sont les endroits pour traiter le covid-19 à Montréal?,Where are the places to process covid-19 in Montreal?
936,Est-ce que mon chat peut transmettre le virus?,Can my cat transmit the virus?
937,Doit-on faire absolument le test si nous avons les symptômes? Ou doit-on simplement rester à la maison en quarantaine?,Should we absolutely do the test if we have the symptoms? Or should we just stay at home in quarantine?
938,Puis-je attraper le virus si mon facteur est contaminé et qu’il met le courrier dans ma boîte postale?,Can I get the virus if my postman is infected and it puts mail in my mailbox?
939,Est-ce que je peux visiter mes parents chez eux?,Can I visit my parents at home?
940,"Il y a beaucoup d'information contradictoires, parfois, sur la COVID-19, pouvez vous me donner des informations simples à propos de cette pandémie?","There is a lot of contradictory information, sometimes, on COVID-19, can you give me simple information about this pandemic?"
942,Où appeler pour de l’aide à faire livrer mes produits ?,Where to call for help getting my products delivered?
944,Est-ce que la suspension des réseaux scolaires va retarder mon entrer à l’Université? ,Will the suspension of school networks delay my entry to university? 
948,"Si une personne est testée positive à la Covid-19, son isolement se fait-il à la maison où à l'hôpital ?","If a person is tested positive for Covid-19, is their isolation done at home or in the hospital?"
953,Quels sont les gestes barrières ?,What are the barrier gestures?
954,Comment savoir si j’ai contracté le virus si je n’ai aucun symptôme?,How do I know if I have the virus if I have no symptoms?
956,combien de temps le covid peut rester sur une surface,how long the covid can stay on a surface
957,Est-ce qu'il y a un numéro de téléphone sans frais pour qui des personnes qui vivent seuls puissent demander de l'aide?,Is there a toll-free phone number for people who live alone to ask for help?
960,Si je suis récupéré du COVID-19. Quelle est la chance de ne pas le réattraper dans le pire des cas?,If I am recovered from COVID-19. What is the chance of not catching it in the worst case?
961,J’ai une toux sèche. Qu’est-ce que je fais?,I have a dry cough. What do I do?
967,Pourquoi ne pas obliger le port du masque par tous?,Why not make everyone wear the mask?
969,Est-ce que je peux sortir de chez moi?,Can I get out of my house?
971,A quel temperature cela est considéré comme faisant de la fièvre ? ,At what temperature is this considered to have a fever? 
974,Doit-on porter un masque si on doit aller à l’épicerie?,Should we wear a mask if we have to go to the grocery store?
976,Comment tester le maximum de monde ?,How to test the maximum of people?
977,La toux est elle toujours sèche?,Is the cough still dry?
982,Ça prend combien de temps avant que les premiers symptômes puissent être détectés?,How long does it take before the first symptoms can be detected?
983,Est-ce que le virus est transmissible des animaux à l’homme?,Is the virus transmissible from animals to humans?
985,Pour combien de temps le confinement sera-t-il mis en place ?,How long will containment be in place?
989,"Je fais de la fièvre et je n'ai pas d'autres symptômes, devrais-je me faire tester?","I have a fever and I have no other symptoms, should I get tested?"
990,Est-ce que je peux transmettre le virus par la pensée?,Can I transmit the virus by thought?
993,Quel est ton nom?,What is your name?
995,Quel est le taux de survie de la COVID-19?,What is the survival rate of COVID-19?
997,Combien de temps dure la Covid-19 lorsqu'elle est contractée par une personne ?,How long does Covid-19 last when it is contracted by a person?
998,"J’ai la gastro et fait de la fièvre, devrais-je faire un test ","I have gastroenteritis and have a fever, should I have a test "
999,Quel est le taux de mortalité du Covid?,What is the Covid death rate?
1006,"J'ai besoin d'aide d'une gardienne pour s'occuper des enfants pour travailler, est ce sécuritaire d'avoir une gardienne chez moi?","I need the help of a babysitter to take care of children to work, is it safe to have a babysitter in my house?"
1007,Est-ce que la quarantaine peut durer jusqu’à l’éré,Can the quarantine last until the era
1009,Comment savoir si j'ai le Covid 19?,How do I know if I have the Covid 19?
1010,Faut il un rendez-vous?,Should he go one?
1013,"Après la disparition de symptômes, combien de temps est-ce qu'une personne reste-elle contagieuse?",How long does a person stay contagious after symptoms disappear?
1017,Quels sont les symptômes de la Covid-19?,What are the symptoms of Covid-19?
1019,"Mes parents sont âgés, puis je leur rendre visite pour les aider?","My parents are old, can I visit them to help them?"
1020,Quels sont les symptômes ?,What are the symptoms ?
1022,Comment faire pour minimiser les risques de propagation?,How to minimize the risk of spread?
1024,Quelles sont les symptômes du coronavirus ?,What are the symptoms of coronavirus?
1025,Quels sont les symptômes liés au coronavirus,What are the symptoms of coronavirus
1026,Si je suis récupéré du COVID-19. Est-ce que mon corps developpe un anticorps m'évitant de le réattraper? ,If I am recovered from COVID-19. Does my body develop an antibody preventing me from catching it again?
1027,"Pouvez-vous m'expliquer pourquoi limiter le nombre de jours et heures d'ouverture de ma boulangerie et du marché Atwater est une bonne chose?  Le bon sens dit qu'en limitant les heures d'ouverture, l'achalandage sera plus grand pendant que c'est ouvert et il y aura donc une plus grande densité de gens qui attendent en même temps devant la porte.  Et c'est aussi ce que je vois!   ","Can you explain to me why limiting the number of days and hours of opening of my bakery and the Atwater market is a good thing? Common sense says that by limiting opening hours, traffic will be greater while it is open and therefore there will be a greater density of people waiting at the same time at the door. And this is also what I see!   "
1030,Quelle est la source de la maladie?,What is the source of the disease?
1031,J'ai aidé une personne âgée dois-je m'inquiéter de lui avoir transmis le Covid 19?,I have helped an elderly person. Should I worry about passing on the Covid 19 to them?
1034,Est ce que le rendez-vous se prend avec vous?,Is the appointment made with you?
1038,Est-ce que des enfants sont décédés suite à la contraction du covid-19 ?,Have any children died as a result of the covid-19 contraction?
1039,Peut-on visiter un nouveau-né,Can we visit a newborn
1040,Que veux dire assynptomatique ,What does assynptomatic mean 
1041,En parallèle avec le covid-19 combien de cas de la grippe ont tué de personnes,In parallel with covid-19 how many cases of influenza have killed people
1044,Est-ce que des vols sont encore possibles entre Montréal et Paris?,Are flights still possible between Montreal and Paris?
1045,"Ma femme de ménage est âgée, dois je lui dire de ne pas venir faire le ménage chez moi?","My cleaning lady is old, should I tell her not to come and do the cleaning at my house?"
1046,Comment savoir si je suis contagieux?,How do I know if I am contagious?
1047,Suis-je à risque di ma toux n’est pas sèche?,Am I at risk if my cough is not dry?
1050,J'ai une toux sèche. Devrais je faire un test de dépistage du COVID19?,I have a dry cough. Should I be tested for COVID19?
1051,Devrais-je me faire prescrire de l’hydroxychloroquine avec de l’azithromycine si je suis atteint ?,Should I be prescribed hydroxychloroquine with azithromycin if I have it?
1061,Une fois que le nombre de nouveaux cas plafonne ou diminue pendant combien de temps faudra-t-il garder la distanciation sociale?,Once the number of new cases has leveled off or decreased for how long will it be necessary to keep social distance?
1063,Où me faire tester?,Where to get tested?
1064,Dois-je aller me faire tester si j'ai certains symptômes de la grippe saisonnière?,Should I go get tested if I have certain symptoms of seasonal flu?
1065,J ai fait de la fièvre il y a deuz semaines est-ce possible que ce soit le covid-19?,I had a fever two weeks ago is it possible that it is covid-19?
1067,Est-ce que la fermeture des écoles va durer plus longtemps? ,Will the school closings last longer? 
1069,"Si une personne de notre famille Contract la Covid-19 et qu'elle vit seule, que devons nous faire, est-ce qu'elle aura de l'aide ?","If someone in our Contract Covid-19 family lives alone, what should we do, will they get help?"
1070,Les animaux peuvent-ils transmettre le virus?,Can animals transmit the virus?
1072,Puis-je rattraper le virus?,Can I catch the virus?
1075,Quand les enfants pourront-ils retourner à l'école?,When can children go back to school?
1076,Je fais quoi pour payer mon loyer si je peux pas travailler? ,What do I do to pay my rent if I can't work? 
1078,"J'ai des maux de têtes, suis-je malade?","I have a headache, am I sick?"
1079,Est-ce que le COVID survit sur les vêtements? ,Does COVID survive on clothing? 
1080,Combien de temps le virus peut rester sur une surface?,How long can the virus stay on a surface?
1082,Qu'est-ce qui est considéré comme une toux? Tousser littéralement une à deux fois par jour c'est une toux? J'ai commencé un nouvel emploi et j'ai la gorge irrité est-ce possible que mon irritation ne soit lié qu'au nouvel environnement de travail dans lequel je me trouve?,What is considered a cough? Literally coughing once or twice a day is a cough? I started a new job and my throat is irritated is it possible that my irritation is only related to the new work environment in which I find myself?
1083,J’ai mal à la tête. ,I have a headache. 
1084,Comment désinfecter les surfaces,How to disinfect surfaces
1085,Pourrions-nous atteindre une situation comme en Italie?,Could we reach a situation like in Italy?
1087,Je reviens d'un voyage de Chine. Je n'ai pas de symptômes. Est-ce que je devrais consulter?,I just returned from a trip from China. I have no symptoms. Should I consult?
1088,"A quelle température (haute et basse) le Coved-19 est-il définitivement neutralisé? exemple: dans le frigo, à la cuisson, à l'eau boulliante","At what temperature (high and low) is the Coved-19 permanently neutralized? example: in the fridge, when cooking, with boiling water"
1089,"Mes parent son en quarantene et je vie avec eux , je doit rentre en quarantene aussi?","My parents are in quarantine and I live with them, should I go into quarantine too?"
1092,Est-ce que je peux attraper le virus en parlant au téléphone?,Can I get the virus by talking on the phone?
1093,A quel moment doit on appeler le 15?,When should we call 15?
1094,Quels sont les symptomes du covid-19,What are the symptoms of covid-19
1095,"Je tousse, est-ce que ça fait parti des symptômes?","I'm coughing, is that part of the symptoms?"
1096,Est-ce que vous pourriez répondre aux questions des travailleurs de santé ?,Could you answer the questions of the health workers?
1102,Est-ce que c'est dangereux pour moi? ,Is it dangerous for me? 
1107,Est-ce que la toux fait partie des symptômes ,Is coughing part of the symptoms 
1108,Comment attrape t-on le Covid-19?,How do you catch the Covid-19?
1115,Est ce que le nez qui coule est un symptôme ,Is a runny nose a symptom 
1116,Mon bébé à un redressement de la bronche gauche est il plus à risque ?,Is my baby with a straightening of the left bronchus more at risk?
1117,est ce que le virus a été créer par les humains,was the virus created by humans
1120,Est-ce qu'on sait si le gouvernement compte faire un dépistage massif dans le futur ?,Do we know if the government intends to carry out massive screening in the future?
1122,Pendant combien de temps serons-nous confinés?,How long will we be confined?
1126,combien de temps le virus survit-ils sur les surfaces?,how long does the virus survive on surfaces?
1128,quelle est la tranche d'âge  des défunts?,what is the age range of the deceased?
1130,Quelles est la meilleure stratégie pour se protéger du coronavirus ?,What is the best strategy to protect yourself from coronavirus?
1133,Qu'est-ce que le COVID-19 exactement?,What is COVID-19 exactly?
1134,"Si je suis enrhumé mais que je n’ai pas de fièvre, dois-je consulter?","If I have a cold but do not have a fever, should I consult?"
1136,Est ce que le Covid 19 reste dans l’air et combien de temps????,Does the Covid 19 stay in the air and how long ????
1138,Je peux aller marcher dehors?,Can I go walking outside?
1142,Est-ce que je peux aller prendre une marche? ,Can I go for a walk? 
1143,"Un collègue de mon conjoint a été testé positif, est-ce possible que je développe des symptômes de la maladie avant mon conjoint, bien que je n’aille eu aucun contact avec son collègue. ","A colleague of my spouse has tested positive, is it possible that I develop symptoms of the disease before my spouse, although I did not have any contact with his colleague. "
1147,"Quelle est le coefficient de multiplication du virus sur une lamelle expérimentale en laboratoire? exemple 1x10/24 heures, échelle logarithmique,...","What is the multiplication coefficient of the virus on an experimental slide in the laboratory? example 1x10 / 24 hours, logarithmic scale, ..."
1150,Qui peut faire le test de dépistage?,Who can take the screening test?
1152,Est-ce qu'une mutation de la Covid-99 pourrait retarder l'arrivé d'un vaccin ?,Could a Covid-99 mutation delay the arrival of a vaccine?
1156,Est-ce que les animaux sont aussi porteurs du virus?,Do animals also carry the virus?
1160,"Mon garçon de 13 ans fait de l’asthme , est-ce plus dangereux pour lui s’il attrape le covid-19","My 13 year old boy has asthma, is it more dangerous for him if he catches covid-19"
1161,température covid-19,covid-19 temperature
1164,Quelle est l'évolution du virus à Montréal?,What is the evolution of the virus in Montreal?
1167,Combien de temps le virus reste sur nos cheveux?,How long does the virus stay on our hair?
1168,Pendant combien de temps une personne infectée sera-t-elle malade?,How long will an infected person be sick?
